time;open;high;low;close
1654662600;30296.96;30359.18;30175.28;30248.45
1654664400;30248.45;30355.66;30213.34;30260.72
1654666200;30260.71;30650.02;30250;30548.89
1654668000;30548.89;30686.63;30352.58;30428.61
1654669800;30428.69;30536.32;30390;30534.75
1654671600;30534.74;30551.52;30314.45;30385.72
1654673400;30385.72;30637.84;30357.75;30561.77
1654675200;30561.77;30616.85;30431.48;30517.03
1654677000;30517.03;30567.98;30443.97;30505.23
1654678800;30505.24;30514.07;30373.17;30446.28
1654680600;30446.29;30575.76;30412.3;30530.6
1654682400;30530.6;30535.31;30399;30417.72
1654684200;30417.73;30449.67;30336.81;30382.78
1654686000;30382.79;30477.31;30340.72;30413.91
1654687800;30413.91;30510.01;30404.96;30410.85
1654689600;30410.85;30450.22;30111.01;30214.11
1654691400;30214.11;30298.47;30137.78;30137.78
1654693200;30137.79;30390.63;30051.16;30369.54
1654695000;30369.53;30901.67;30221.92;30766.49
1654696800;30766.5;30797;30474.24;30503.52
1654698600;30503.52;30576.19;30338.75;30425.75
1654700400;30425.76;30558.06;30375.39;30480.05
1654702200;30480.05;30557.9;30391;30476.77
1654704000;30476.77;30552.64;30376.74;30439.94
1654705800;30439.93;30441.05;30213.92;30331.51
1654707600;30331.51;30457.43;30287.62;30384.54
1654709400;30384.53;30408.95;30304.44;30382.62
1654711200;30382.61;30421.05;30151.71;30212.5
1654713000;30212.49;30330;29916.45;30234.87
1654714800;30234.86;30287.99;30075.17;30229.63
1654716600;30228.8;30307.94;30127.64;30140.14
1654718400;30140.14;30217.31;30102.86;30198.03
1654720200;30198.03;30321.92;30172.46;30202.53
1654722000;30202.53;30378.34;30200.16;30304.14
1654723800;30304.14;30499;30294.45;30424.25
1654725600;30424.24;30457.23;30303;30327.08
1654727400;30327.09;30392.74;30283.32;30310.55
1654729200;30310.55;30370.17;30234.76;30290.2
1654731000;30290.19;30352.52;30189.22;30204.77
1654732800;30204.77;30243.39;30103.59;30138.22
1654734600;30138.21;30274.24;30070.24;30223.76
1654736400;30223.76;30323.51;30213.33;30279.69
1654738200;30279.69;30313.28;30090.39;30090.5
1654740000;30090.51;30195.97;30075.42;30185.85
1654741800;30185.84;30213.18;30152.22;30203.15
1654743600;30203.14;30272.49;30189.54;30260.28
1654745400;30260.28;30303.51;30231.86;30293.49
1654747200;30293.5;30302.05;30235.85;30281.1
1654749000;30281.1;30282.61;30238.47;30267.46
1654750800;30267.46;30465.59;30250.35;30379.99
1654752600;30379.99;30400.01;30315.26;30315.29
1654754400;30315.29;30341.68;30300;30312.81
1654756200;30312.8;30350;30283.57;30334.47
1654758000;30334.46;30425.48;30317.21;30417.21
1654759800;30417.22;30487.54;30339.74;30487.54
1654761600;30487.53;30569;30360.27;30435.51
1654763400;30435.5;30549;30400;30510.57
1654765200;30510.56;30618.46;30482.82;30584.25
1654767000;30584.25;30700;30493.74;30549.46
1654768800;30549.45;30587.86;30503;30587.86
1654770600;30587.85;30600.04;30384.66;30433.81
1654772400;30433.81;30453.4;30374.03;30423.99
1654774200;30424;30442.3;30251.89;30299.47
1654776000;30299.46;30366.68;30004.77;30225.51
1654777800;30225.51;30225.51;30052.66;30112.88
1654779600;30112.87;30220.43;30066.63;30139.18
1654781400;30139.18;30258.99;29944.1;30167.3
1654783200;30167.3;30271.2;30059.29;30256.64
1654785000;30256.64;30287.07;30079;30116.57
1654786800;30116.56;30186.44;30036.19;30133.64
1654788600;30133.63;30389.05;30122.71;30302.24
1654790400;30302.23;30329.72;30180.2;30215.02
1654792200;30215.01;30375.34;30188;30351.93
1654794000;30351.94;30450;30250.33;30261.51
1654795800;30261.52;30323.54;30207.92;30323.53
1654797600;30323.54;30347;30170;30238.07
1654799400;30238.07;30238.08;30141.91;30148.23
1654801200;30148.23;30173.22;30089.29;30092.54
1654803000;30092.53;30140.41;29976;30017.12
1654804800;30017.12;30157.14;29970.51;30127.47
1654806600;30127.47;30197.77;30101.04;30185.93
1654808400;30185.92;30250;30161.24;30177.2
1654810200;30177.2;30217.03;30134.61;30139.31
1654812000;30139.3;30155.66;30037.68;30093.23
1654813800;30093.23;30122.62;30017;30067.61
1654815600;30067.61;30114.75;30000;30092.3
1654817400;30092.3;30124.04;30070.72;30109.93
1654819200;30109.93;30145.38;29578.96;29806.44
1654821000;29806.43;29888.18;29692;29755.12
1654822800;29755.11;30057.51;29739.9;29969.98
1654824600;29969.97;29982.58;29865.9;29885.72
1654826400;29885.73;30039.13;29874.06;30012.96
1654828200;30012.95;30030.91;29978.44;30024
1654830000;30024;30382.8;30024;30213.88
1654831800;30213.89;30231.94;30080;30114.38
1654833600;30114.38;30147.2;30042.13;30071.91
1654835400;30071.91;30116.58;30057.96;30093
1654837200;30093;30168.62;30087.94;30161.97
1654839000;30161.97;30185;30100;30104.12
1654840800;30104.11;30226.79;30067.97;30144.96
1654842600;30144.96;30160.27;30078.5;30095.48
1654844400;30095.48;30135.68;30060;30096.28
1654846200;30096.28;30131.9;30052.43;30052.43
1654848000;30052.44;30114.25;30005;30032.09
1654849800;30032.09;30075.73;30005;30020.81
1654851600;30020.8;30078.84;29901;30041
1654853400;30041;30058.51;29868;29897.09
1654855200;29897.09;29987.31;29875.09;29975.86
1654857000;29975.85;30012.88;29950.96;30000.65
1654858800;30000.64;30040.11;29968.91;29976.83
1654860600;29976.84;30089.51;29976.83;30020.56
1654862400;30020.56;30184.4;29989.09;30106.32
1654864200;30106.32;30106.33;29501;29642.6
1654866000;29642.6;29717.1;29304.03;29449.16
1654867800;29449.17;29582.36;29258;29396.04
1654869600;29396.04;29483.72;29222.67;29453.62
1654871400;29453.62;29694.47;29447.5;29565.01
1654873200;29565.01;29622.59;29353.81;29396.91
1654875000;29396.92;29497.89;29358.74;29454.53
1654876800;29454.52;29484.45;28864.14;28971.77
1654878600;28971.78;29169.36;28850;29045.46
1654880400;29045.47;29186.55;28922.72;29157.18
1654882200;29157.17;29197.1;29067.04;29115.01
1654884000;29115.01;29142.06;29033.14;29062.81
1654885800;29062.82;29099.3;28976.67;29056.8
1654887600;29056.79;29160;28945.63;29044.27
1654889400;29044.27;29139.46;28968.76;28980.02
1654891200;28980.03;29261.39;28970;29204.95
1654893000;29204.96;29229.48;29153;29204.02
1654894800;29204.01;29226.72;29167.18;29175.59
1654896600;29175.58;29400;29154.81;29200.01
1654898400;29200.01;29304.21;29142.14;29170.11
1654900200;29170.11;29243.46;29100;29178.15
1654902000;29178.15;29212.8;29031.52;29115.46
1654903800;29115.45;29144.44;29048.24;29091.88
1654905600;29091.87;29228.7;29047.93;29190.63
1654907400;29190.63;29248.42;29175.04;29233.79
1654909200;29233.79;29259.34;29181.72;29223.12
1654911000;29223.12;29266.75;29180.81;29209.05
1654912800;29209.05;29255.51;29185.69;29246.95
1654914600;29246.95;29300.17;29215.01;29269.68
1654916400;29269.68;29315.21;29229.87;29266.46
1654918200;29266.45;29285;29253.28;29272.43
1654920000;29272.43;29342.75;29251.17;29322.62
1654921800;29322.62;29386.38;29320.03;29383.2
1654923600;29383.2;29440.41;29306.15;29330.68
1654925400;29330.69;29343.35;29253.25;29283.45
