time;open;high;low;close
1609459200;28923.63;29017.5;28690.17;28836.63
1609461000;28836.63;29031.34;28836.62;28995.13
1609462800;28995.13;29417.87;28960.35;29385.39
1609464600;29387.07;29470;29311.75;29409.99
1609466400;29410;29465.26;29201.78;29298.86
1609468200;29298.87;29341.21;29120.03;29194.65
1609470000;29195.25;29311;29150.02;29215.84
1609471800;29216.03;29367;29190.83;29278.4
1609473600;29278.41;29395;29278.4;29332.81
1609475400;29332.81;29373.6;29029.4;29220.31
1609477200;29220.31;29235.28;29084.11;29161.28
1609479000;29161.28;29213.4;29113.8;29187.01
1609480800;29187.01;29270;29100;29100
1609482600;29100;29205.76;29077.32;29174.35
1609484400;29174.35;29191.98;28806.54;29018.83
1609486200;29018.83;29100.96;29000;29092.83
1609488000;29092.84;29178.03;28872.24;29033.9
1609489800;29033.93;29122;28931.32;29000.01
1609491600;29000.01;29236.03;28970;29181.07
1609493400;29181.06;29307.73;29174.47;29202.21
1609495200;29202.21;29344.97;29152.88;29221.71
1609497000;29221.7;29311;29200.01;29223.82
1609498800;29223.82;29375.96;29212.44;29366.35
1609500600;29368.93;29402.57;29238.49;29313.49
1609502400;29313.49;29448;29186.63;29443.65
1609504200;29443.65;29600;29150;29233.49
1609506000;29233.49;29420;29200;29389.36
1609507800;29389.36;29470;29354.7;29464.79
1609509600;29464.79;29530;29356.05;29415.94
1609511400;29415.95;29440.12;29266.15;29327.84
1609513200;29327.83;29391;29223;29297.04
1609515000;29297.03;29297.04;29030.14;29188.67
1609516800;29188.67;29325;29125;29277.11
1609518600;29277.11;29360;29249.23;29300.57
1609520400;29300.79;29339.76;29230;29277.25
1609522200;29277.24;29277.24;28937;29079.64
1609524000;29077.59;29259.98;28984.85;29021.88
1609525800;29021.88;29103.18;28624.57;29072.7
1609527600;29072.7;29125.31;28950;29055.08
1609529400;29055.08;29125.32;29002.1;29029.04
1609531200;29029.04;29245.17;28880.37;29212.62
1609533000;29212.62;29279.72;29146.6;29200.96
1609534800;29200.97;29239.99;29164.7;29225.79
1609536600;29225.8;29289.82;29130;29160.39
1609538400;29163.17;29303.57;29104.57;29270.9
1609540200;29270.9;29326.74;29233;29262.32
1609542000;29262.32;29309.9;29228.14;29276.25
1609543800;29276.24;29338.89;29252.6;29331.69
1609545600;29331.7;29338.59;28946.53;29032.24
1609547400;29032.24;29204.66;28977.49;29197.48
1609549200;29197.93;29234.99;29100;29208.45
1609551000;29208.45;29400;29201.41;29359.47
1609552800;29359.46;29469;29323.66;29414.16
1609554600;29414.32;29425.58;29320.01;29323.82
1609556400;29323.82;29382.49;29280;29312.24
1609558200;29311.23;29361.58;29256.85;29351.95
1609560000;29351.95;29363.41;29220;29302.92
1609561800;29302.92;29396;29243.43;29349.63
1609563600;29349.63;29500;29349.63;29495.97
1609565400;29495.97;29590;29461.81;29589.99
1609567200;29589.99;29663.1;29450;29659.47
1609569000;29659.47;29745;29537.11;29709.07
1609570800;29709.06;29770.65;29672.09;29716.43
1609572600;29716.5;29820.5;29623.31;29750
1609574400;29751.47;29849.11;29694.36;29722.54
1609576200;29722.53;29849;29640;29844.51
1609578000;29844.52;29862;29666;29700.3
1609579800;29701.05;29899;29578.05;29612.87
1609581600;29612.88;29829;29473.91;29779.98
1609583400;29779.99;29799.94;29669.49;29680.99
1609585200;29679.51;29780.53;29622.79;29669.7
1609587000;29669.7;29771.39;29640.89;29755
1609588800;29754.99;30433;29741.39;30289.7
1609590600;30290.82;30888;30176.35;30604.03
1609592400;30604.03;30900;30521;30849.69
1609594200;30849.7;31561.87;30750;31541.17
1609596000;31546.06;31567.89;31065;31087.39
1609597800;31091.19;31335.68;31086.83;31290.53
1609599600;31290.53;31400;31236.37;31374.63
1609601400;31374.63;31800;31340;31691.29
1609603200;31691.09;32420;31616.42;32313.17
1609605000;32315.39;33000;32030;32482.28
1609606800;32484.28;32750;32394.77;32606
1609608600;32605.99;32935;32500;32856.96
1609610400;32856.95;32909.93;32421;32741.38
1609612200;32741.39;33300;32616.48;32999.98
1609614000;32999.98;33100.02;32690;33014.63
1609615800;33014.62;33220;32980.18;33027.2
1609617600;33027.2;33061.37;32100;32237.25
1609619400;32234.24;32433.57;30550;30667.22
1609621200;30669.43;32005.94;30300;31615.18
1609623000;31615.18;31857.83;31376.87;31694.59
1609624800;31693.53;32200;31424.96;32199.49
1609626600;32199.49;32311.92;32050.02;32145.66
1609628400;32143.53;32195.53;31500;31965.93
1609630200;31962.56;32246.67;31773.82;32178.33
1609632000;32176.45;32259.89;31962.99;32199.99
1609633800;32199.99;32497.8;32199.98;32447.94
1609635600;32447.95;32640.97;32201;32626.58
1609637400;32626.59;32790.07;32503.9;32585.09
1609639200;32583.04;32800;32550;32782.86
1609641000;32782.86;32884.09;32701;32741.67
1609642800;32741.68;32756;32587;32645.68
1609644600;32645.68;32733.99;32404;32573.87
1609646400;32576.11;32711.38;32450;32579.77
1609648200;32579.77;33250;32575;33192.53
1609650000;33192.53;34083.68;33109.44;33984.27
1609651800;33978.28;34180;33629.34;33758.67
1609653600;33758.67;34110.05;33651.12;33855.54
1609655400;33855.55;34080;33823.29;33967.13
1609657200;33967.13;34566.66;33737.19;34487.56
1609659000;34487.56;34778.11;34011.06;34452.34
1609660800;34451.78;34561.08;33757.29;34403.68
1609662600;34405.01;34670.41;34271.15;34367.68
1609664400;34367.35;34588.88;33856.63;34026.68
1609666200;34031.16;34247.91;33800;34190.55
1609668000;34189.98;34350;33403;33739.36
1609669800;33739.36;34119.01;33520.65;33877.96
1609671600;33877.96;34200;33787.55;33933.33
1609673400;33933.33;34450;33928.75;34413.53
1609675200;34413.53;34600;34206.1;34291.85
1609677000;34293.53;34354.53;33928.75;34103.72
1609678800;34103.73;34385.02;34100.73;34162.14
1609680600;34164.1;34193.66;33800;33880
1609682400;33877.98;34150;33641.02;33926.99
1609684200;33927;34078.53;33450;33811.54
1609686000;33811.54;33873.45;32910.81;33015.19
1609687800;33015.19;33645;32727;33506.62
1609689600;33505.15;33822.69;33380.01;33422.59
1609691400;33422.58;33532.15;32650;32676.74
1609693200;32676.75;33190;32454.73;33080.11
1609695000;33080.09;33333.33;32818.18;32909.27
1609696800;32907.51;33031.57;32500;32521.79
1609698600;32531.53;32834.3;32267;32769.76
1609700400;32769.79;32930;32540;32626.55
1609702200;32626.67;32800.52;32455.71;32772.21
1609704000;32775.1;33736.34;32727.1;33697.14
1609705800;33697.07;33816;33443.38;33726.21
1609707600;33725.72;33861.92;33550;33729.07
1609709400;33729.07;33765.85;33506;33558.34
1609711200;33559.06;33661.1;33210.43;33500.79
1609713000;33503.59;33605.08;33000;33119.14
1609714800;33119.14;33600;32881.57;33494.89
1609716600;33494.88;33579.48;32600;33000.05
1609718400;33000.05;33111.44;32657.54;32789.38
1609720200;32789.37;32878.46;32400.25;32843.88
1609722000;32843.89;32954.3;32620.01;32696.48
1609723800;32696.48;33327;32602.47;33191.04
1609725600;33191.05;33318.53;33012.02;33066.88
1609727400;33066.87;33588;32958.38;33454.22
1609729200;33454.21;33499.99;33300;33302.33
1609731000;33305.66;33510.71;33160;33505.16
