time;open;high;low;close
1655028000;1463.85;1477.1;1457.72;1460.48
1655031600;1460.49;1474.44;1452.83;1468.98
1655035200;1468.98;1476.26;1462.64;1463.09
1655038800;1463.09;1467.55;1437.62;1447.76
1655042400;1447.76;1531.76;1429;1510.1
1655046000;1510.1;1547;1504.9;1525.92
1655049600;1525.91;1532.48;1497.14;1506.61
1655053200;1506.62;1527.55;1506.02;1521.5
1655056800;1521.5;1522.99;1510.42;1512.79
1655060400;1512.78;1517.06;1477.38;1479.59
1655064000;1479.58;1488.71;1476.42;1477.42
1655067600;1477.42;1487;1472;1474.46
1655071200;1474.46;1476.35;1452;1456.41
1655074800;1456.41;1467;1433;1434.84
1655078400;1434.84;1455;1385.28;1387.4
1655082000;1387.31;1400.38;1343.06;1364.36
1655085600;1364.35;1367.31;1338.09;1339.41
1655089200;1339.4;1371.08;1304.39;1350.83
1655092800;1350.96;1387.32;1343.26;1349.69
1655096400;1349.69;1368.7;1319.49;1323.04
1655100000;1323.05;1348.89;1300;1324.35
1655103600;1324.35;1339.66;1262.76;1283.46
1655107200;1283.07;1288.95;1205;1206.93
1655110800;1206.93;1267.85;1180;1237.56
1655114400;1237.55;1259.4;1215.53;1221.85
1655118000;1221.85;1232.1;1180;1209.23
1655121600;1209.14;1258.69;1208.38;1218.33
1655125200;1218.32;1250;1201.92;1237.32
1655128800;1237.33;1244.82;1165.45;1192.55
1655132400;1192.55;1244.71;1185;1229.97
1655136000;1229.75;1279.74;1218.59;1240.14
1655139600;1240.15;1242.67;1209.02;1239.47
1655143200;1239.47;1261;1231.02;1231.9
1655146800;1231.91;1237.62;1217.84;1228.69
1655150400;1228.69;1284.33;1228.12;1242.17
1655154000;1242.17;1248.55;1222.5;1229.6
1655157600;1229.6;1237.19;1191.81;1193.59
1655161200;1193.59;1212.76;1168.5;1209.82
1655164800;1209.35;1225;1171.68;1172.53
1655168400;1172.53;1187.97;1102;1102.52
1655172000;1102.51;1133.5;1075.8;1119.59
1655175600;1119.1;1178;1105.01;1174.1
1655179200;1174.09;1196.93;1136;1156.88
1655182800;1156.88;1250.2;1150.61;1227.13
1655186400;1227.13;1238.22;1206.15;1234.18
1655190000;1234.18;1254;1210.84;1241.16
1655193600;1241.15;1244.48;1214.17;1219.4
1655197200;1219.4;1230.91;1188.96;1190.94
1655200800;1190.93;1205.89;1176.54;1186.26
1655204400;1186.26;1191.12;1154.37;1175.23
1655208000;1175.22;1218.55;1158;1197.95
1655211600;1197.94;1229.41;1188.81;1219.05
1655215200;1219.05;1229.34;1190.18;1222.38
1655218800;1222.38;1259.99;1213.17;1250.67
1655222400;1250.66;1268.45;1221.73;1226.94
1655226000;1226.94;1244.37;1213.35;1213.4
1655229600;1213.4;1231.85;1205.66;1209.5
1655233200;1209.49;1212.8;1195.17;1206.15
1655236800;1206.15;1210.41;1177.9;1189.32
1655240400;1189.32;1193.94;1159.12;1169
1655244000;1169.01;1182.25;1166.68;1176.81
1655247600;1176.94;1221.29;1175.22;1208.9
1655251200;1208.9;1218.2;1188.51;1193.26
1655254800;1193.27;1231.67;1190.53;1221.17
1655258400;1221.16;1221.99;1195.04;1204.7
1655262000;1204.7;1210.02;1169;1173.09
1655265600;1173.09;1175.73;1121.2;1137.52
1655269200;1137.52;1145.09;1092.93;1123.93
1655272800;1123.93;1142.02;1106.09;1136.22
1655276400;1136.21;1138.93;1082.37;1094.38
1655280000;1094.38;1094.41;1023.32;1029.59
1655283600;1029.59;1044;1014.4;1031.48
1655287200;1031.48;1079.79;1026;1065.03
1655290800;1065.04;1136.96;1050.29;1120.05
1655294400;1120.05;1150;1105.24;1112.49
1655298000;1112.49;1164;1108.09;1140
1655301600;1140;1154.87;1093.66;1106.1
1655305200;1106.11;1125.84;1096.05;1120.15
1655308800;1120.17;1128.73;1072.61;1078.67
1655312400;1078.66;1134.99;1058.58;1114.25
1655316000;1114.24;1227.29;1045;1171.97
1655319600;1172.13;1216.47;1163.03;1171.03
1655323200;1171.02;1190.52;1153.12;1180.21
1655326800;1180.21;1250;1177.31;1227
1655330400;1227;1246;1214.01;1217.63
1655334000;1217.64;1239.56;1214.45;1237.52
