time,open,high,low,close
1577836800,7195.24,7196.25,7175.46,7177.02
1577840400,7176.47,7230,7175.71,7216.27
1577844000,7215.52,7244.87,7211.41,7242.85
1577847600,7242.66,7245,7220,7225.01
1577851200,7225,7230,7215.03,7217.27
1577854800,7217.26,7229.76,7216.65,7224.21
1577858400,7224.24,7236.27,7221.51,7225.62
1577862000,7225.88,7232.94,7199.11,7209.83
1577865600,7209.83,7210,7180,7200.64
1577869200,7200.29,7210.51,7188,7188.77
1577872800,7189.07,7210,7185.2,7202
1577876400,7202.01,7237.73,7188.61,7197.2
1577880000,7197.2,7233.33,7196.15,7225.59
1577883600,7225.84,7231.89,7212.88,7221.2
1577887200,7221.17,7234.97,7208.17,7221.43
1577890800,7221.6,7255,7218.29,7234.19
1577894400,7234.2,7246.42,7214,7245.37
1577898000,7244.34,7249.99,7224.92,7236.83
1577901600,7237.02,7246.72,7225.17,7240.67
1577905200,7240.8,7241,7225.49,7229.48
1577908800,7229.48,7242.98,7224.68,7236.73
1577912400,7237.26,7242.75,7227,7233.17
1577916000,7233.32,7234.49,7186,7197.99
1577919600,7197.62,7204.17,7175.15,7200.85
1577923200,7200.77,7212.5,7185.46,7211.02
1577926800,7211.04,7211.16,7185.11,7190.99
1577930400,7190.99,7191,7155.35,7169.02
1577934000,7169.04,7169.06,7120.37,7129.61
1577937600,7129.25,7161,7116.7,7142.21
1577941200,7142.61,7152.05,7126.93,7138.93
1577944800,7138.93,7149.02,7121.43,7135.97
1577948400,7136.04,7140.63,7105,7110.57
1577952000,7110.98,7157.48,7109.11,7154.36
1577955600,7153.57,7165,7135.36,7162.01
1577959200,7162.18,7180,7153.33,7161.83
1577962800,7161.89,7168.67,7139.03,7139.79
1577966400,7139.73,7163.4,7139.03,7158.29
1577970000,7158.86,7163.35,7107.43,7131.15
1577973600,7131.18,7157.1,7122.34,7135.59
1577977200,7135.59,7152,7120,7130.98
1577980800,7130.37,7146.85,7020,7052.32
1577984400,7052.32,7053.09,6924.74,6970.04
1577988000,6970.04,6989.68,6949.96,6974.02
1577991600,6974.02,6995,6960,6983.27
1577995200,6982.63,6983.22,6941.27,6948.49
1577998800,6948.16,6985,6946.2,6977.73
1578002400,6977.55,6978.24,6963.02,6974.8
1578006000,6974.8,6974.8,6950,6965.71
1578009600,6965.49,6966.47,6912.88,6937
1578013200,6937,6946.07,6878.19,6888.85
1578016800,6888.26,6966.8,6871.04,6956.88
1578020400,6957.66,6966.36,6940,6952.04
1578024000,6952.04,7264.71,6948.64,7210.19
1578027600,7210.2,7249,7168.48,7220.47
1578031200,7220.49,7225,7190.14,7202.22
1578034800,7202.06,7232,7185.04,7203.21
1578038400,7202.28,7297.29,7202.28,7260.6
1578042000,7260.64,7358.88,7256.56,7348.42
1578045600,7349.3,7371.92,7281.3,7312.25
1578049200,7312.26,7346,7306.61,7340.46
1578052800,7340.46,7350.19,7303.14,7322.78
1578056400,7324.1,7380,7311.59,7348.87
1578060000,7348.36,7362.31,7229.3,7254.73
1578063600,7255.49,7322.44,7252.48,7320.18
1578067200,7320.17,7405,7293.1,7386.03
1578070800,7388.21,7403.2,7335.21,7355.26
1578074400,7355.23,7369.47,7330.32,7342.96
1578078000,7342.95,7352.33,7280,7343.08
1578081600,7343.62,7361,7297.01,7316.99
1578085200,7317.01,7335,7262.68,7283
1578088800,7281.69,7320.54,7260.01,7300.56
1578092400,7301.32,7346.08,7291.75,7344.96
1578096000,7345,7350,7289.98,7302.24
1578099600,7304.96,7312.58,7280.85,7309.16
1578103200,7308.71,7328.99,7296.18,7327.83
1578106800,7328.21,7339.69,7318.56,7333.11
1578110400,7333.14,7338.46,7312.65,7334.86
1578114000,7334.59,7369.28,7325,7344.69
1578117600,7344.7,7367.88,7340,7354.96
1578121200,7354.95,7363.63,7327.32,7348.11
1578124800,7348.04,7365,7330,7346.59
1578128400,7346.4,7369.18,7339.28,7363.88
1578132000,7364.32,7369.63,7304.36,7318.3
1578135600,7318.15,7339.27,7302.1,7336.45
1578139200,7336.75,7339.58,7305,7312.89
1578142800,7312.79,7326.49,7291,7303.88
1578146400,7303.72,7323.74,7296.44,7316.72
1578150000,7315.51,7332,7305,7318.99
1578153600,7318.98,7323.26,7297.91,7307.11
1578157200,7308,7352,7305,7351.99
1578160800,7351.36,7404,7272.21,7306.92
1578164400,7306.6,7353.84,7283.01,7334.83
1578168000,7334.89,7352.64,7310.67,7341.06
1578171600,7340.9,7367.31,7330.72,7350.68
1578175200,7350.72,7359.7,7342.67,7350.24
1578178800,7350.05,7363,7328.9,7354.11
1578182400,7354.19,7393,7354.11,7373.48
1578186000,7373.43,7481.87,7373.43,7459.18
1578189600,7459.91,7482.87,7432.79,7443.79
1578193200,7443.92,7478,7439.33,7475.99
1578196800,7476,7495,7444,7457.14
1578200400,7457.18,7470,7444,7459.12
1578204000,7458.51,7481.25,7437.4,7457.5
1578207600,7457.83,7470.36,7442,7463.63
1578211200,7463.64,7472,7410,7430.05
1578214800,7430,7436.84,7400,7427.74
1578218400,7427.7,7432.28,7403.21,7415.12
1578222000,7415.1,7440,7410,7422.33
1578225600,7422.27,7460.46,7421.93,7457.01
1578229200,7457.79,7458,7415,7431.15
1578232800,7431.16,7444.73,7425,7431.82
1578236400,7431.71,7476.31,7430.99,7468.42
1578240000,7467.91,7484,7450,7461.38
1578243600,7461.26,7470.76,7445.15,7464.65
1578247200,7464.62,7468.87,7421.77,7438.72
1578250800,7439.02,7449.69,7427.1,7444.14
1578254400,7444.71,7445,7426,7431.6
1578258000,7431.01,7431.53,7361.01,7368.52
1578261600,7367.62,7385.65,7318,7355.73
1578265200,7355.73,7363.35,7321,7358.75
1578268800,7357.64,7384.72,7346.76,7378.75
1578272400,7378.97,7426.82,7368.55,7423.5
1578276000,7423.06,7562,7421.64,7551.44
1578279600,7551.47,7580,7486.85,7540.9
1578283200,7540.9,7554.61,7516.06,7529.52
1578286800,7529.52,7541.55,7496,7532.85
1578290400,7532.85,7537.53,7510.99,7520
1578294000,7520,7527.27,7505.57,7507.91
1578297600,7508.18,7551.68,7507.39,7547.55
1578301200,7547.88,7553,7516.51,7550.78
1578304800,7550.84,7576.68,7535.64,7561.22
1578308400,7561.27,7582.27,7526.88,7544.72
1578312000,7544.72,7566.24,7535,7557.42
1578315600,7557.77,7622,7465.44,7528.64
1578319200,7528.59,7558.45,7505.02,7547.93
1578322800,7548.1,7553.28,7516.34,7519.99
1578326400,7519.05,7546.08,7509.43,7529.24
1578330000,7529.01,7561,7526.91,7558.48
1578333600,7558.78,7560,7525.96,7533
1578337200,7532.5,7551.71,7524,7539.9
1578340800,7539.74,7557.99,7534.9,7551.25
1578344400,7551.24,7608,7547.56,7578.42
1578348000,7578.42,7752,7574.39,7712.63
1578351600,7712.58,7795.34,7690.7,7758
1578355200,7758.9,8000,7758.29,7888.42
1578358800,7889.64,7919.99,7866.01,7905.67
1578362400,7905.67,7940,7892.32,7896.2
1578366000,7896.08,7916.94,7885.75,7894.9
1578369600,7894.71,7905.5,7821,7840.83
1578373200,7839.75,7882.56,7826.63,7869.33
1578376800,7869.29,7876,7851.26,7872.91
1578380400,7873.05,7896.72,7857.53,7883.37
1578384000,7883.11,7904.72,7868,7883.97
1578387600,7884.32,7886.17,7855,7856.26
1578391200,7856.26,7889.78,7856.15,7889.24
1578394800,7888.12,7965,7881.69,7895.14
1578398400,7895.13,7915.77,7840,7869.05
1578402000,7869.02,7869.03,7810.73,7847.99
1578405600,7847.99,7884.59,7837.26,7838.8
1578409200,7841.16,7847.99,7740.29,7764.59
1578412800,7764.04,7940.12,7723.71,7912.18
1578416400,7912.18,7952.05,7878.01,7938.33
1578420000,7937.88,8137,7919.22,8037.69
1578423600,8038.54,8111.45,8032.39,8073.69
1578427200,8073.69,8175.01,8041.28,8162.66
1578430800,8162.57,8188,7975.74,8016.44
1578434400,8016.43,8067.06,7945.72,8049.55
1578438000,8049.83,8207.68,8020.7,8145.28
1578441600,8145.92,8455,8142,8431.82
1578445200,8430.53,8448.14,8328.89,8370.92
1578448800,8370.93,8422,8256.74,8278.59
1578452400,8278.07,8344,8244.93,8300.34
1578456000,8300.34,8355.87,8288,8344.63
1578459600,8343.92,8377,8307.85,8334.77
1578463200,8334.76,8367.61,8319,8339.13
1578466800,8339.14,8347.99,8277.21,8297.26
1578470400,8297.27,8329.09,8264.86,8312.04
1578474000,8312.05,8321.83,8276,8297.21
1578477600,8296.98,8359,8284.19,8326.98
1578481200,8327.06,8370,8325.03,8332.47
1578484800,8332.2,8347.33,8276,8286.16
1578488400,8285.92,8418.61,8215.2,8384.99
1578492000,8384.99,8385,8184,8310.98
1578495600,8310.98,8359,8237.36,8305.97
1578499200,8306.09,8335.79,8050,8115
1578502800,8115,8123.98,8010,8077.68
1578506400,8077.68,8094.93,8035.01,8053.7
1578510000,8053.7,8069.73,7963.05,7963.35
1578513600,7963.56,8060.86,7870,8046.03
1578517200,8046.42,8048.66,7957.55,8016.06
1578520800,8017.36,8080,7988.58,8076.13
1578524400,8076.13,8125.57,8023.55,8055.98
1578528000,8054.72,8055.96,7928,7956.55
1578531600,7956.88,8037.37,7950,8004.8
1578535200,8004.05,8026.01,7980,7982.75
1578538800,7983.09,7993.46,7935.56,7954.72
1578542400,7954.96,7978.31,7928,7966.85
1578546000,7966.75,7966.75,7925.68,7941.83
1578549600,7941.99,7951.68,7896,7908.48
1578553200,7908.71,7976.67,7903.4,7949.84
1578556800,7949.57,7955.83,7909.3,7933.1
1578560400,7932.51,7932.94,7864.24,7872.35
1578564000,7872.36,7934.78,7852.01,7896.38
1578567600,7895.56,7901.99,7855,7878.56
1578571200,7878.02,7917.68,7871,7900.91
1578574800,7901.49,7945,7891.43,7897.52
1578578400,7897.54,7919.59,7875.55,7885.5
1578582000,7885.5,7930,7882.75,7907.05
1578585600,7907.05,7920.01,7805.01,7818.15
1578589200,7818.15,7846,7778,7798.6
1578592800,7798.23,7832.13,7788.68,7810.64
1578596400,7810.68,7957.48,7810.3,7917.54
1578600000,7917.55,8000,7805,7818.3
1578603600,7819.97,7854.14,7750,7789.96
1578607200,7789.99,7873.12,7788.78,7811.31
1578610800,7811.31,7835,7790.01,7817.76
1578614400,7817.74,7854.06,7811.05,7820.01
1578618000,7820.25,7841.57,7786.12,7804.99
1578621600,7804.99,7825,7793.34,7803.68
1578625200,7803.68,7825,7770,7818.02
1578628800,7818.06,7819.84,7768.4,7795.3
1578632400,7795.33,7797.95,7735,7748.86
1578636000,7748,7786.13,7711.76,7748.64
1578639600,7747.25,7757.38,7725.77,7752.98
1578643200,7753.05,7754.36,7680,7706.53
1578646800,7706.52,7750,7691.91,7716.47
1578650400,7716.02,7788,7672,7771.87
1578654000,7772.12,7854.44,7766.93,7841.69
