time,ema(12),entry level 1,entry level 2,entry level 3,entry level 4,ema(16)
1609486200,29143.1,27977.4,27103.1,26228.8,24771.7,29157.9
1609488000,29127.9,27962.8,27089,26215.1,24758.7,29144.5
1609489800,29111.6,27947.1,27073.8,26200.4,24744.9,29130.1
1609491600,29109.3,27944.9,27071.7,26198.4,24742.9,29126.1
1609493400,29125.8,27960.8,27087,26213.2,24756.9,29136.8
1609495200,29141.9,27976.2,27102,26227.7,24770.6,29147.8
1609497000,29156.8,27990.6,27115.9,26241.2,24783.3,29158.5
1609498800,29178,28010.9,27135.6,26260.2,24801.3,29174.5
1609500600,29201.6,28033.5,27157.4,26281.4,24821.3,29192.9
1609502400,29224.1,28055.1,27178.4,26301.7,24840.5,29211.2
1609504200,29244.5,28074.7,27197.4,26320,24857.8,29228.3
1609506000,29254.7,28084.5,27206.9,26329.2,24866.5,29238
1609507800,29280.1,28108.9,27230.5,26352.1,24888.1,29259.4
1609509600,29304.9,28132.7,27253.6,26374.4,24909.2,29280.8
1609511400,29313.8,28141.2,27261.8,26382.4,24916.7,29290.4
1609513200,29313.2,28140.6,27261.2,26381.9,24916.2,29292.7
1609515000,29296.3,28124.4,27245.5,26366.6,24901.8,29282.2
1609516800,29285.9,28114.5,27235.9,26357.3,24893,29275.9
1609518600,29287.6,28116.1,27237.4,26358.8,24894.4,29278.4
1609520400,29287.5,28116,27237.3,26358.7,24894.3,29279.4
1609522200,29265.2,28094.6,27216.6,26338.7,24875.4,29263.3
1609524000,29237.7,28068.1,27191,26313.9,24852,29242.5
1609525800,29194.3,28026.5,27150.7,26274.8,24815.1,29208.7
1609527600,29172.2,28005.3,27130.1,26255,24796.4,29190.1
1609529400,29153.8,27987.7,27113.1,26238.4,24780.8,29174
1609531200,29144.3,27978.5,27104.2,26229.9,24772.6,29164.3
1609533000,29154.4,27988.2,27113.6,26239,24781.2,29169.7
1609534800,29162.6,27996.1,27121.2,26246.4,24788.2,29174.2
1609536600,29168.6,28001.9,27126.8,26251.7,24793.3,29177.4
1609538400,29175.1,28008.1,27132.8,26257.5,24798.8,29181.3
1609540200,29190.2,28022.6,27146.8,26271.1,24811.6,29192.1
1609542000,29202.3,28034.2,27158.2,26282.1,24822,29201.2
1609543800,29217.3,28048.6,27172.1,26295.6,24834.7,29212.8
1609545600,29208.8,28040.5,27164.2,26288,24827.5,29206.8
1609547400,29192.6,28024.9,27149.1,26273.3,24813.7,29194.6
1609549200,29191.4,28023.8,27148,26272.3,24812.7,29193.5
1609551000,29207,28038.7,27162.5,26286.3,24825.9,29205.2
1609552800,29235.4,28066,27188.9,26311.8,24850.1,29227.1
1609554600,29256.2,28086,27208.3,26330.6,24867.8,29244
1609556400,29266.8,28096.1,27218.1,26340.1,24876.7,29253.5
1609558200,29275,28104,27225.8,26347.5,24883.8,29261.4
1609560000,29280.3,28109.1,27230.7,26352.3,24888.3,29267
