time,ohlc4
1609459200,28867
1609461000,28924.9
1609462800,29189.7
1609464600,29394.7
1609466400,29344
1609468200,29238.7
1609470000,29218
1609471800,29263.1
1609473600,29321.2
1609475400,29239
1609477200,29175.2
1609479000,29168.9
1609480800,29164.3
1609482600,29139.4
1609484400,29047.9
1609486200,29053.2
1609488000,29044.3
1609489800,29021.8
1609491600,29096.8
1609493400,29216.4
1609495200,29230.4
1609497000,29239.1
1609498800,29294.6
1609500600,29330.9
1609502400,29347.9
1609504200,29356.8
1609506000,29310.7
1609507800,29419.7
1609509600,29441.7
1609511400,29362.5
1609513200,29309.7
1609515000,29203.2
1609516800,29228.9
1609518600,29296.7
1609520400,29286.9
1609522200,29142.8
1609524000,29086.1
1609525800,28955.6
1609527600,29050.8
1609529400,29052.9
1609531200,29091.8
1609533000,29210
1609534800,29207.9
1609536600,29201.5
1609538400,29210.6
1609540200,29273.2
1609542000,29269.2
1609543800,29299.9
1609545600,29162.3
1609547400,29103
1609549200,29185.3
1609551000,29292.3
1609552800,29391.6
1609554600,29370.9
1609556400,29324.6
1609558200,29320.4
1609560000,29309.6
1609561800,29323
1609563600,29423.8
1609565400,29534.4
1609567200,29590.6
1609569000,29662.7
1609570800,29717.1
1609572600,29727.6
1609574400,29754.4
1609576200,29764
1609578000,29768.2
1609579800,29697.7
1609581600,29673.9
1609583400,29732.6
1609585200,29688.1
1609587000,29709.2
1609588800,30054.8
1609590600,30489.8
1609592400,30718.7
1609594200,31175.7
1609596000,31316.6
1609597800,31201.1
1609599600,31325.4
1609601400,31551.5
1609603200,32010.2
1609605000,32456.9
1609606800,32558.8
1609608600,32724.5
1609610400,32732.3
1609612200,32914.5
1609614000,32951.2
1609615800,33060.5
1609617600,32606.5
1609619400,31471.3
1609621200,31147.6
1609623000,31636.1
1609624800,31879.5
1609626600,32176.8
1609628400,31951.2
1609630200,32040.3
1609632000,32149.8
1609633800,32336.4
1609635600,32479.1
1609637400,32626.4
1609639200,32679
1609641000,32777.4
1609642800,32682.6
1609644600,32589.4
1609646400,32579.3
1609648200,32899.3
1609650000,33592.5
1609651800,33886.6
1609653600,33843.8
1609655400,33931.5
1609657200,34189.6
1609659000,34432.3
1609660800,34293.5
1609662600,34428.6
1609664400,34209.9
1609666200,34067.4
1609668000,33920.6
1609669800,33814.2
1609671600,33949.7
1609673400,34181.4
1609675200,34377.9
1609677000,34170.1
1609678800,34187.9
1609680600,34009.4
1609682400,33899
1609684200,33816.8
1609686000,33402.7
1609687800,33223.5
1609689600,33532.6
1609691400,33070.4
1609693200,32850.4
1609695000,33035.2
1609696800,32740.2
1609698600,32600.6
1609700400,32716.6
1609702200,32663.8
1609704000,33233.9
1609705800,33670.7
1609707600,33716.7
1609709400,33639.8
1609711200,33482.8
1609713000,33307
1609714800,33273.9
1609716600,33168.6
1609718400,32889.6
