time,equity
1515024000,10000.000000
1515422760,9984.623047
1515422820,9843.663086
1515422880,9843.895508
1515422940,9724.603516
1515423000,9840.633789
1515423060,10112.535156
1515423120,10097.390625
1515423180,10018.873047
1515423240,10011.960938
1515423300,9886.144531
1515423360,9910.841797
1515423420,9810.035156
1515423480,9802.267578
1515423540,9841.954102
1515423600,9879.931641
1515423660,9840.789062
1515423720,9763.281250
1515423780,9685.771484
1515423840,9685.617188
1515423900,9623.640625
1515423960,9466.852539
1515424020,9406.574219
1515424080,9535.559570
1515424140,9750.535156
1515424200,9920.708984
1515424260,9948.312500
1515424320,10008.505859
1515424380,10042.902344
1515424440,10048.835938
1515424500,10266.476562
1515424560,10335.269531
1515424620,10369.666016
1515424680,10412.746094
1515424740,10464.253906
1515424800,10352.466797
1515424860,10326.755859
1515424920,10481.365234
1515424980,10670.630859
1515425040,10730.738281
1515425100,10627.035156
1515425160,10550.158203
1515425220,10540.183594
1515425280,10604.675781
1515425340,10689.291016
1515425400,10657.646484
1515425460,10739.423828
1515425520,10816.126953
1515425580,10843.126953
1515425640,10793.339844
1515425700,10708.724609
1515425760,10739.423828
1515425820,10724.117188
1515425880,10610.697266
1515425940,10635.976562
1515426000,10627.894531
1515426060,10808.042969
1515426120,10826.187500
1515426180,10860.755859
1515426240,10842.525391
1515426300,10810.451172
1515426360,10894.205078
1515426420,10877.007812
1515426480,10817.332031
1515426540,10714.572266
1515426600,10612.070312
1515426660,10610.523438
1515426720,10782.761719
1515426780,10781.644531
1515426840,10738.218750
1515426900,10679.660156
1515426960,10690.410156
1515427020,10653.519531
1515427080,10567.529297
1515427140,10652.832031
1515427200,10877.007812
1515427260,10731.253906
1515427320,10757.052734
1515427380,10808.300781
1515427440,10825.414062
1515427500,10851.382812
1515427560,10875.630859
1515427620,10873.052734
1515427680,10841.580078
1515427740,10825.671875
1515427800,10868.236328
1515427860,10873.310547
1515427920,10911.662109
1515427980,10925.162109
1515428040,11046.150391
1515644220,11029.165039
1515644280,10871.352539
1515644340,10794.066406
1515644400,11011.441406
1515644460,11173.568359
1515644520,11234.905273
1515644580,11111.076172
1515644640,10909.727539
1515644700,11025.312500
1515644760,11025.312500
1515644820,10886.610352
1515644880,10794.220703
1515644940,10794.143555
1515645000,10764.089844
1515645060,10484.295898
1515645120,10654.874023
1515645180,10816.583008
1515645240,10961.489258
1515645300,10484.295898
1515645360,10705.962891
1515645420,10825.368164
1515645480,10911.339844
1515645540,10799.781250
1515645600,10629.032227
1515645660,10740.078125
1515645720,10699.053711
1515645780,10766.091797
1515645840,10927.715820
1515645900,11072.536133
1515645960,11081.321289
1515646020,11081.235352
1515646080,11290.194336
1515646140,11524.143555
1515646200,11478.940430
1515646260,11442.778320
1515646320,11612.588867
1515646380,11753.316406
1515646440,11865.898438
1515646500,11951.187500
1515646560,11815.663086
1515646620,11592.886719
1515646680,11559.368164
1515646740,11737.623047
