time,exit indicator
1515083640,953.073975
1515085440,958.808655
1515087240,963.818665
1515089040,968.468140
1515090840,972.171814
1515092640,974.692810
1515094440,975.564148
1515096240,976.488647
1515098040,976.499023
1515099840,975.251831
1515101640,973.716675
1515103440,971.677856
1515105240,968.886658
1515107040,966.531677
1515108840,964.664673
1515110640,961.835632
1515112440,958.537170
1515114240,955.794983
1515116040,954.226990
1515117840,953.653687
1515119640,953.901306
1515121440,955.596191
1515123240,957.791016
1515125040,961.885010
1515126840,966.926147
1515128640,970.760498
1515130440,974.304810
1515132240,977.848022
1515134040,982.006531
1515135840,986.789368
1515137640,992.662537
1515139440,998.598816
1515141240,1003.397705
1515143040,1006.362488
1515144840,1007.626831
1515146640,1009.032166
1515148440,1010.101013
1515150240,1010.067505
1515152040,1009.409485
1515153840,1008.546326
1515155640,1007.883484
1515157440,1006.811340
1515159240,1005.645020
1515161040,1003.408325
1515162840,1000.259338
1515164640,996.700684
1515166440,993.118652
1515168240,990.122009
1515170040,987.365173
1515171840,984.812683
1515173640,981.927185
1515175440,978.143494
1515177240,975.455139
1515179040,973.703003
1515180840,972.277344
1515182640,970.486694
1515184440,969.461670
1515186240,968.047852
1515188040,966.335999
1515189840,964.556335
1515191640,962.523193
1515193440,959.926819
1515195240,957.185669
1515197040,955.835815
1515198840,956.225525
1515200640,956.906189
1515202440,957.869995
1515204240,958.565186
1515206040,958.406860
1515207840,958.231812
1515209640,958.762695
1515211440,958.156860
1515213240,957.962341
1515215040,959.277527
1515216840,961.426147
1515218640,963.631531
1515220440,966.849854
1515222240,970.369202
1515224040,973.408813
1515225840,975.632996
1515227640,977.749512
1515229440,980.257141
1515231240,982.823181
1515233040,985.538330
1515234840,987.483826
1515236640,988.858032
1515238440,990.976013
1515240240,993.276001
1515242040,994.724365
1515243840,995.411316
1515245640,996.057983
1515247440,995.952515
1515249240,995.819153
1515251040,995.620667
1515252840,995.687195
1515254640,996.411011
1515256440,997.385864
1515258240,997.997681
1515260040,998.290833
1515261840,998.530701
1515263640,998.343323
1515265440,997.776672
1515267240,997.737183
1515269040,998.342163
1515270840,999.142822
1515272640,1000.136536
1515274440,1001.205688
1515276240,1002.082336
1515278040,1002.489990
1515279840,1002.434509
1515281640,1002.145020
1515283440,1001.553650
1515285240,1001.396484
1515287040,1001.881165
1515288840,1002.441345
1515290640,1003.824829
1515292440,1005.444336
1515294240,1006.711304
1515296040,1008.135498
1515297840,1010.748352
1515299640,1013.657166
1515301440,1016.700134
1515303240,1020.972351
1515305040,1026.579224
1515306840,1032.368164
1515308640,1037.577637
1515310440,1042.496704
1515312240,1047.599365
1515314040,1052.257446
1515315840,1056.756104
1515317640,1061.469360
1515319440,1066.260986
1515321240,1071.017212
1515323040,1075.159790
1515324840,1077.880005
1515326640,1079.973633
1515328440,1082.035889
1515330240,1083.294189
1515332040,1082.988647
1515333840,1082.209961
1515335640,1082.166870
1515337440,1082.536987
1515339240,1082.586182
1515341040,1083.416138
1515342840,1084.962524
1515344640,1086.146851
1515346440,1087.720337
1515348240,1088.390991
1515350040,1087.869873
1515351840,1087.473389
1515353640,1088.131714
1515355440,1089.415161
1515357240,1090.286499
1515359040,1091.427368
1515360840,1093.144653
1515362640,1094.187500
1515364440,1094.749878
1515366240,1095.451904
1515368040,1095.922241
1515369840,1096.634033
1515371640,1098.907349
1515373440,1102.798218
1515375240,1107.454224
1515377040,1112.618286
1515378840,1118.180176
1515380640,1123.618774
1515382440,1129.722778
1515384240,1137.063110
1515386040,1144.938477
1515387840,1153.346313
1515389640,1161.385620
1515391440,1169.335449
1515393240,1176.863892
1515395040,1184.625366
1515396840,1191.600708
1515398640,1195.978027
1515400440,1196.672241
1515402240,1195.731201
1515404040,1193.954712
1515405840,1189.645386
1515407640,1185.866699
1515409440,1182.243042
1515411240,1177.506470
1515413040,1172.623169
1515414840,1167.263306
1515416640,1162.711670
1515418440,1157.396851
1515420240,1149.145874
1515422040,1137.557495
1515423840,1122.625000
1515425640,1109.466675
1515427440,1102.443604
1515429240,1097.865845
1515431040,1094.951294
1515432840,1094.140137
1515434640,1091.489136
1515436440,1089.322632
1515438240,1088.335815
1515440040,1088.312622
1515441840,1088.735107
1515443640,1087.829468
1515445440,1087.713013
1515447240,1091.531860
1515449040,1098.805786
1515450840,1108.593140
1515452640,1116.156860
1515454440,1118.860474
1515456240,1121.851440
1515458040,1125.519531
1515459840,1131.009644
1515461640,1136.507446
1515463440,1139.834473
1515465240,1142.689087
1515467040,1145.442871
1515468840,1148.683594
1515470640,1153.252930
1515472440,1158.667114
1515474240,1163.513794
1515476040,1166.696167
1515477840,1169.186523
1515479640,1173.457031
1515481440,1178.536621
1515483240,1183.008179
1515485040,1187.135620
1515486840,1190.409302
1515488640,1195.769287
1515490440,1201.400024
1515492240,1205.932983
1515494040,1207.360352
1515495840,1206.445190
1515497640,1206.112671
1515499440,1206.492310
1515501240,1206.635498
1515503040,1206.705444
1515504840,1207.445801
1515506640,1205.901855
1515508440,1204.430664
1515510240,1203.521362
