time,exit
1503024240,305.479340
1503025140,305.356567
1503026040,305.300934
1503026940,305.221619
1503027840,305.141144
1503028740,305.020111
1503029640,304.818542
1503030540,304.623871
1503031440,304.465332
1503032340,304.318848
1503033240,304.203644
1503034140,304.093872
1503035040,304.053253
1503035940,303.945374
1503036840,303.871521
1503037740,303.763153
1503038640,303.737946
1503039540,303.762177
1503040440,303.717834
1503041340,303.750000
1503042240,303.793793
1503043140,303.850372
1503044040,304.001617
1503044940,304.155487
1503045840,304.251801
1503046740,304.270050
1503047640,304.191040
1503048540,304.130371
1503049440,304.053528
1503050340,303.998413
1503051240,303.938965
1503052140,303.906403
1503053040,303.898926
1503053940,303.945435
1503054840,304.076904
1503055740,304.208099
1503056640,304.369293
1503057540,304.494354
1503058440,304.599457
1503059340,304.778046
1503060240,304.952332
1503061140,305.197510
1503062040,305.342377
1503062940,305.424408
1503063840,305.487274
1503064740,305.501953
1503065640,305.540985
1503066540,305.519684
1503067440,305.413086
1503068340,305.321289
1503069240,305.283539
1503070140,305.228912
1503071040,305.180206
1503071940,305.160278
1503072840,305.104004
1503073740,305.069733
1503074640,305.035065
1503075540,304.967346
1503076440,304.827484
1503077340,304.657562
1503078240,304.439606
1503079140,304.262451
1503080040,304.071350
1503080940,303.856354
1503081840,303.587128
1503082740,303.261261
1503083640,302.893524
1503084540,302.522766
1503085440,302.187103
1503086340,301.821747
1503087240,301.470642
1503088140,301.118805
1503089040,300.815826
1503089940,300.521667
1503090840,300.171143
1503091740,299.832001
1503092640,299.450104
1503093540,299.009674
1503094440,298.534668
1503095340,298.106018
1503096240,297.714844
1503097140,297.345978
1503098040,296.973267
1503098940,296.591095
1503099840,296.274628
1503100740,295.932556
1503101640,295.600708
1503102540,295.281891
1503103440,295.000763
1503104340,294.801086
1503105240,294.627502
1503106140,294.488739
1503107040,294.369995
1503107940,294.296204
1503108840,294.273743
1503109740,294.271515
1503110640,294.252075
1503111540,294.242920
1503112440,294.205444
1503113340,294.133911
1503114240,294.060425
1503115140,293.914185
1503116040,293.819336
1503116940,293.712616
1503117840,293.634949
1503118740,293.561676
1503119640,293.567169
1503120540,293.549011
1503121440,293.466858
1503122340,293.382172
1503123240,293.370270
1503124140,293.408417
1503125040,293.442871
1503125940,293.445221
1503126840,293.392120
1503127740,293.319519
1503128640,293.227600
1503129540,293.202606
1503130440,293.193359
1503131340,293.149353
1503132240,293.126343
1503133140,293.114014
1503134040,293.125488
1503134940,293.184937
1503135840,293.282227
1503136740,293.334503
1503137640,293.308319
1503138540,293.216125
1503139440,293.078979
1503140340,292.952118
1503141240,292.784790
1503142140,292.618927
1503143040,292.364685
1503143940,292.078918
1503144840,291.803436
1503145740,291.502563
1503146640,291.278900
1503147540,291.137451
1503148440,290.996460
1503149340,290.824951
1503150240,290.621857
1503151140,290.379578
1503152040,290.101807
1503152940,289.843109
1503153840,289.639069
1503154740,289.420746
1503155640,289.213806
1503156540,289.071136
1503157440,288.842773
1503158340,288.660431
1503159240,288.537506
1503160140,288.429413
1503161040,288.260315
1503161940,288.075867
1503162840,287.924744
1503163740,287.785919
1503164640,287.680176
1503165540,287.629303
1503166440,287.627625
1503167340,287.675537
1503168240,287.777771
1503169140,287.870819
1503170040,287.981628
1503170940,288.062347
1503171840,288.139130
1503172740,288.232605
1503173640,288.335815
1503174540,288.399506
1503175440,288.439178
1503176340,288.467285
1503177240,288.447388
1503178140,288.434021
1503179040,288.477173
1503179940,288.564667
1503180840,288.726074
1503181740,288.903900
1503182640,289.072113
1503183540,289.185822
1503184440,289.377167
1503185340,289.599823
1503186240,289.795044
1503187140,289.978851
1503188040,290.090210
1503188940,290.035858
1503189840,289.957703
1503190740,289.911102
1503191640,289.912781
1503192540,289.929199
1503193440,289.991852
1503194340,290.051788
1503195240,290.097351
1503196140,290.187134
1503197040,290.304199
1503197940,290.431458
1503198840,290.584015
1503199740,290.708099
1503200640,290.750641
1503201540,290.803955
1503202440,290.913696
1503203340,290.992615
1503204240,291.060913
1503205140,291.102020
1503206040,291.081970
1503206940,291.034302
1503207840,291.022064
1503208740,290.984894
1503209640,290.923370
1503210540,290.869293
1503211440,290.828247
1503212340,290.823792
1503213240,290.807159
1503214140,290.792938
1503215040,290.787994
1503215940,290.812134
1503216840,290.890442
1503217740,290.911316
1503218640,290.965210
1503219540,291.070862
1503220440,291.131470
1503221340,291.206238
1503222240,291.247223
1503223140,291.286530
1503224040,291.353271
1503224940,291.463257
1503225840,291.550232
