time,entry level 1,entry level 2,entry level 3
1503041340,269.700623,266.851685,261.153778
1503043140,269.692871,266.843994,261.146271
1503044940,269.736908,266.887604,261.188934
1503046740,269.708221,266.859222,261.161133
1503048540,269.624237,266.776093,261.079803
1503050340,269.629547,266.781372,261.084961
1503052140,269.700226,266.851288,261.153412
1503053940,269.878448,267.027618,261.325958
1503055740,269.985809,267.133850,261.429932
1503057540,270.036835,267.184357,261.479340
1503059340,270.090240,267.237183,261.531067
1503061140,270.154358,267.300629,261.593140
1503062940,270.121094,267.267700,261.560913
1503064740,270.165466,267.311615,261.603882
1503066540,270.089294,267.236267,261.530151
1503068340,269.968079,267.116302,261.412750
1503070140,269.987640,267.135651,261.431702
1503071940,269.986847,267.134888,261.430939
1503073740,269.944458,267.092926,261.389893
1503075540,269.917114,267.065887,261.363403
1503077340,269.750305,266.900848,261.201904
1503079140,269.554199,266.706787,261.011993
1503080940,269.435181,266.589020,260.896729
1503082740,269.192139,266.348572,260.661407
1503084540,268.810364,265.970825,260.291718
1503086340,268.440613,265.604980,259.933685
1503088140,268.081818,265.249969,259.586273
1503089940,267.650665,264.823364,259.168762
1503091740,267.114685,264.293060,258.649780
1503093540,266.493408,263.678345,258.048218
1503095340,265.888977,263.080292,257.462921
1503097140,265.409332,262.605713,256.998474
1503098940,265.001953,262.202637,256.604004
1503100740,264.611511,261.816345,256.225952
1503102540,264.229828,261.438660,255.856339
1503104340,263.812775,261.026031,255.452515
1503106140,263.417755,260.635193,255.070023
1503107940,263.053406,260.274689,254.717209
1503109740,262.731934,259.956604,254.405914
1503111540,262.417023,259.645020,254.100998
1503113340,262.165436,259.396088,253.857376
1503115140,261.846497,259.080505,253.548538
1503116940,261.661530,258.897522,253.369446
1503118740,261.499420,258.737091,253.212463
1503120540,261.349091,258.588379,253.066910
1503122340,261.140198,258.381683,252.864639
1503124140,260.971497,258.214783,252.701294
1503125940,260.684326,257.930634,252.423218
1503127740,260.463501,257.712128,252.209366
1503129540,260.275208,257.525848,252.027069
1503131340,260.044159,257.297211,251.803314
1503133140,259.899139,257.153748,251.662903
1503134940,259.842468,257.097687,251.608047
1503136740,259.762054,257.018097,251.530167
1503138540,259.664673,256.921722,251.435867
1503140340,259.514191,256.772858,251.290146
1503142140,259.364014,256.624268,251.144745
1503143940,259.208862,256.470764,250.994507
1503145740,258.978455,256.242767,250.771378
1503147540,258.811707,256.077789,250.609940
1503149340,258.731842,255.998764,250.532593
1503151140,258.544983,255.813889,250.351669
1503152940,258.306793,255.578201,250.121017
1503154740,258.000671,255.275330,249.824615
1503156540,257.636963,254.915451,249.472427
1503158340,257.308044,254.590012,249.153915
1503160140,256.983551,254.268936,248.839706
1503161940,256.614288,253.903580,248.482147
1503163740,256.296844,253.589493,248.174759
1503165540,256.167694,253.461685,248.049698
1503167340,256.102692,253.397400,247.986771
1503169140,256.145264,253.439499,248.027985
1503170940,256.132019,253.426407,248.015167
1503172740,256.156281,253.450394,248.038651
1503174540,256.084473,253.379364,247.969131
1503176340,256.070618,253.365646,247.955704
1503178140,256.118408,253.412918,248.001968
1503179940,256.220764,253.514221,248.101105
1503181740,256.370697,253.662567,248.246277
1503183540,256.512695,253.803055,248.383774
1503185340,256.587250,253.876846,248.455978
1503187140,256.606506,253.895889,248.474625
1503188940,256.587830,253.877396,248.456512
1503190740,256.594147,253.883667,248.462662
1503192540,256.668579,253.957291,248.534698
1503194340,256.880524,254.167007,248.739960
1503196140,257.126099,254.409988,248.977737
1503197940,257.240143,254.522812,249.088150
1503199740,257.334412,254.616104,249.179459
1503201540,257.473724,254.753952,249.314362
1503203340,257.599976,254.878845,249.436584
1503205140,257.691254,254.969162,249.524979
1503206940,257.817963,255.094528,249.647675
1503208740,257.960022,255.235107,249.785248
1503210540,258.081757,255.355545,249.903107
1503212340,258.239929,255.512039,250.056259
1503214140,258.424377,255.694565,250.234894
1503215940,258.475037,255.744659,250.283920
1503217740,258.434387,255.704437,250.244553
1503219540,258.370361,255.641083,250.182556
1503221340,258.411560,255.681854,250.222458
1503223140,258.495392,255.764816,250.303635
1503224940,258.636353,255.904297,250.440140
1503226740,258.797302,256.063538,250.595978
1503228540,258.886444,256.151733,250.682297
1503230340,258.939056,256.203796,250.733246
1503232140,258.981140,256.245422,250.773987
1503233940,259.076385,256.339661,250.866226
1503235740,259.184937,256.447083,250.971344
1503237540,259.246277,256.507782,251.030731
1503239340,259.376953,256.637054,251.157257
1503241140,259.594849,256.852661,251.368271
1503242940,259.818085,257.073517,251.584412
1503244740,260.006348,257.259827,251.766724
1503246540,260.178802,257.430420,251.933685
1503248340,260.332031,257.582062,252.082077
1503250140,260.451782,257.700531,252.198029
1503251940,260.613831,257.860870,252.354935
1503253740,260.857574,258.102020,252.590958
1503255540,261.171295,258.412445,252.894730
1503257340,261.450989,258.689209,253.165588
1503259140,261.631439,258.867737,253.340302
1503260940,261.767578,259.002441,253.472122
1503262740,261.897766,259.131256,253.598190
1503264540,262.020752,259.252930,253.717270
1503266340,262.183441,259.413879,253.874802
1503268140,262.386444,259.614777,254.071381
1503269940,262.571075,259.797455,254.250168
1503271740,262.679169,259.904388,254.354828
1503273540,262.784546,260.008667,254.456879
1503275340,262.884399,260.107452,254.553558
1503277140,263.030182,260.251709,254.694733
1503278940,263.194794,260.414551,254.854111
1503280740,263.303192,260.521820,254.959076
1503282540,263.359680,260.577728,255.013779
1503284340,263.372528,260.590424,255.026215
1503286140,263.508331,260.724792,255.157715
1503287940,263.700104,260.914551,255.343414
1503289740,263.919373,261.131470,255.555725
1503291540,264.192108,261.401337,255.819824
1503293340,264.539978,261.745544,256.156677
1503295140,265.031097,262.231506,256.632233
1503296940,265.857208,263.048859,257.432159
1503298740,266.760223,263.942352,258.306549
1503300540,267.533478,264.707397,259.055298
1503302340,268.198364,265.365295,259.699127
1503304140,268.877563,266.037292,260.356781
1503305940,269.573669,266.726074,261.030853
1503307740,270.192566,267.338409,261.630127
1503309540,270.826172,267.965332,262.243652
1503311340,271.572845,268.704132,262.966675
1503313140,272.321198,269.444580,263.691315
1503314940,273.029297,270.145203,264.376984
1503316740,273.848663,270.955902,265.170349
1503318540,274.853363,271.949982,266.143219
1503320340,275.851562,272.937653,267.109772
1503322140,276.998962,274.072937,268.220825
1503323940,278.342102,275.401886,269.521393
1503325740,279.631500,276.677673,270.769958
1503327540,280.704041,277.738861,271.808502
1503329340,281.775543,278.799042,272.846039
1503331140,282.921997,279.933380,273.956177
1503332940,284.169800,281.168030,275.164429
1503334740,285.476959,282.461365,276.430176
1503336540,286.765656,283.736450,277.678009
1503338340,287.937469,284.895905,278.812714
1503340140,288.941467,285.889282,279.784882
1503341940,289.662231,286.602448,280.482819
1503343740,290.412415,287.344696,281.209198
1503345540,291.034149,287.959839,281.811249
1503347340,291.272491,288.195679,282.042023
1503349140,291.305939,288.228760,282.074432
1503350940,291.345795,288.268219,282.113007
1503352740,291.499146,288.419922,282.261475
1503354540,291.645081,288.564331,282.402832
1503356340,291.679077,288.597992,282.435730
1503358140,291.724823,288.643219,282.480011
1503359940,291.834625,288.751892,282.586365
1503361740,291.876801,288.793610,282.627197
1503363540,291.987579,288.903198,282.734436
1503365340,292.083130,288.997772,282.826996
1503367140,291.761353,288.679352,282.515381
1503368940,291.146362,288.070862,281.919891
1503370740,290.600220,287.530518,281.391052
1503372540,289.852814,286.791016,280.667358
1503374340,288.449463,285.402466,279.308472
1503376140,284.814270,281.805695,275.788483
1503377940,283.581360,280.585785,274.594635
1503379740,282.339355,279.356903,273.391968
1503381540,280.998901,278.030609,272.093994
1503383340,279.676605,276.722290,270.813629
1503385140,278.723267,275.778992,269.890472
1503386940,277.501129,274.569794,268.707062
1503388740,276.346741,273.427582,267.589264
1503390540,275.323669,272.415314,266.598602
