time,entry level 1,entry level 2,entry level 3
1503003540,268.451691,263.657928,258.864136
1503007140,268.199158,263.409882,258.620636
1503010740,268.052856,263.266174,258.479523
1503014340,267.885620,263.101959,258.318268
1503017940,267.421631,262.646240,257.870850
1503021540,266.792114,262.027985,257.263824
1503025140,266.161163,261.408264,256.655396
1503028740,265.676270,260.932037,256.187805
1503032340,265.248962,260.512360,255.775787
1503035940,265.191101,260.455566,255.720001
1503039540,265.099731,260.365784,255.631866
1503043140,265.062531,260.329285,255.596008
1503046740,265.148071,260.413300,255.678513
1503050340,265.466248,260.725769,255.985306
1503053940,266.191772,261.438354,256.684906
1503057540,266.970520,262.203186,257.435852
1503061140,267.561127,262.783264,258.005371
1503064740,267.969238,263.184082,258.398895
1503068340,267.698456,262.918152,258.137817
1503071940,267.059723,262.290802,257.521881
1503075540,266.252777,261.498260,256.743744
1503079140,265.288086,260.550812,255.813507
1503082740,264.155457,259.438385,254.721329
1503086340,262.627838,257.938049,253.248276
1503089940,261.080078,256.417908,251.755783
1503093540,259.177185,254.549011,249.920853
1503097140,257.685059,253.083542,248.482025
1503100740,256.969757,252.381012,247.792252
1503104340,256.586456,252.004547,247.422653
1503107940,256.392487,251.814056,247.235626
1503111540,256.587189,252.005264,247.423355
1503115140,256.831451,252.245178,247.658905
1503118740,257.051910,252.461700,247.871475
1503122340,257.193604,252.600861,248.008118
1503125940,257.505920,252.907608,248.309296
1503129540,257.467041,252.869431,248.271805
1503133140,257.075012,252.484375,247.893753
1503136740,256.562897,251.981415,247.399933
1503140340,255.773926,251.206543,246.639145
1503143940,254.322159,249.780685,245.239227
1503147540,253.333405,248.809601,244.285782
1503151140,252.818130,248.303513,243.788910
1503154740,251.946289,247.447250,242.948212
1503158340,251.395523,246.906311,242.417114
1503161940,251.218094,246.732056,242.246017
1503165540,251.239471,246.753052,242.266647
1503169140,251.562988,247.070786,242.578598
1503172740,252.072922,247.571609,243.070312
1503176340,252.851425,248.336227,243.821014
1503179940,253.436218,248.910568,244.384918
1503183540,253.814163,249.281769,244.749374
1503187140,254.364441,249.822220,245.279999
1503190740,254.682114,250.134232,245.586334
1503194340,254.747986,250.198914,245.649841
1503197940,254.889938,250.338318,245.786713
1503201540,254.759171,250.209900,245.660629
1503205140,254.413788,249.870682,245.327576
1503208740,254.250458,249.710266,245.170090
1503212340,254.268204,249.727692,245.187195
1503215940,254.235153,249.695236,245.155319
1503219540,254.336990,249.795258,245.253525
1503223140,254.902573,250.350739,245.798920
1503226740,255.583618,251.019623,246.455627
1503230340,255.905670,251.335922,246.766174
1503233940,256.304504,251.727646,247.150787
1503237540,256.726959,252.142532,247.558121
1503241140,257.123383,252.531876,247.940399
1503244740,257.398499,252.802109,248.205704
1503248340,257.742432,253.139893,248.537354
1503251940,258.178223,253.567902,248.957581
1503255540,258.454346,253.839081,249.223831
1503259140,258.652191,254.033401,249.414612
1503262740,258.939972,254.316040,249.692108
1503266340,259.079956,254.453537,249.827118
1503269940,259.443817,254.810898,250.177979
1503273540,259.910004,255.268753,250.627502
1503277140,260.340210,255.691284,251.042343
1503280740,260.637726,255.983459,251.329224
1503284340,260.743439,256.087311,251.431168
1503287940,260.839447,256.181610,251.523758
1503291540,261.271362,256.605804,251.940231
1503295140,262.453094,257.766418,253.079758
1503298740,264.633789,259.908173,255.182571
1503302340,266.666687,261.904785,257.142883
1503305940,268.605560,263.809021,259.012482
1503309540,270.385925,265.557617,260.729279
1503313140,272.465759,267.600311,262.734833
1503316740,275.112396,270.199677,265.286957
1503320340,278.115570,273.149231,268.182892
1503323940,281.665405,276.635681,271.605927
1503327540,284.494324,279.414093,274.333832
1503331140,285.911591,280.806030,275.700470
1503334740,287.559021,282.424042,277.289062
1503338340,289.258209,284.092896,278.927582
1503341940,289.979614,284.801392,279.623199
1503345540,290.894470,285.699921,280.505371
1503349140,291.190277,285.990448,280.790619
1503352740,290.653381,285.463135,280.272888
1503356340,289.066956,283.905029,278.743134
1503359940,287.331787,282.200836,277.069916
1503363540,286.324066,281.211151,276.098206
1503367140,284.270020,279.193756,274.117493
1503370740,281.727173,276.696320,271.665466
1503374340,279.011993,274.029633,269.047272
1503377940,268.469208,263.675110,258.881012
1503381540,264.549927,259.825836,255.101730
1503385140,261.590485,256.919220,252.247971
1503388740,259.572876,254.937653,250.302429
1503392340,257.562317,252.962997,248.363663
1503395940,255.727249,251.160690,246.594131
1503399540,255.162872,250.606400,246.049911
1503403140,255.108673,250.553162,245.997650
1503406740,256.335632,251.758194,247.180771
1503410340,264.750458,260.022766,255.295074
1503413940,266.540558,261.780914,257.021240
1503417540,267.830444,263.047760,258.265076
1503421140,268.867554,264.066345,259.265167
1503424740,270.390076,265.561676,260.733276
1503428340,271.110718,266.269470,261.428192
1503431940,271.172211,266.329865,261.487488
1503435540,271.112671,266.271362,261.430084
1503439140,271.072327,266.231750,261.391174
1503442740,271.348694,266.503174,261.657654
1503446340,271.779602,266.926422,262.073212
1503449940,272.253571,267.391907,262.530243
1503453540,272.265015,267.403137,262.541260
1503457140,272.187469,267.326965,262.466492
1503460740,272.579254,267.711792,262.844299
1503464340,273.532776,268.648254,263.763733
1503467940,274.562347,269.659454,264.756561
1503471540,275.558411,270.637726,265.717041
1503475140,276.485413,271.548157,266.610931
1503478740,277.482910,272.527863,267.572815
1503482340,278.373230,273.402283,268.431335
1503485940,279.243591,274.257111,269.270630
1503489540,279.804565,274.808075,269.811554
1503493140,279.954773,274.955597,269.956390
1503496740,279.651703,274.657898,269.664124
1503500340,279.380920,274.391968,269.403046
1503503940,279.255981,274.269287,269.282562
1503507540,279.076630,274.093109,269.109589
1503511140,278.882904,273.902863,268.922821
1503514740,278.678497,273.702087,268.725708
1503518340,278.472382,273.499664,268.526947
1503521940,278.074036,273.108429,268.142822
1503525540,277.919434,272.956604,267.993744
1503529140,277.904877,272.942261,267.979675
1503532740,277.936462,272.973297,268.010162
1503536340,277.783081,272.822693,267.862274
1503539940,277.546600,272.590424,267.634216
1503543540,277.261261,272.310150,267.359070
1503547140,276.955719,272.010101,267.064453
