time,exit
1503009840,307.089935
1503010740,307.048828
1503011640,307.038147
1503012540,306.987427
1503013440,306.889343
1503014340,306.801971
1503015240,306.670410
1503016140,306.587555
1503017040,306.476837
1503017940,306.314148
1503018840,306.192169
1503019740,305.947754
1503020640,305.848633
1503021540,305.702515
1503022440,305.467682
1503023340,305.284943
1503024240,305.091705
1503025140,304.912750
1503026040,304.806458
1503026940,304.666046
1503027840,304.519196
1503028740,304.310852
1503029640,304.123627
1503030540,303.885712
1503031440,303.750519
1503032340,303.644287
1503033240,303.454926
1503034140,303.392303
1503035040,303.379089
1503035940,303.371368
1503036840,303.468475
1503037740,303.487427
1503038640,303.483276
1503039540,303.504089
1503040440,303.484070
1503041340,303.474335
1503042240,303.418671
1503043140,303.425323
1503044040,303.429932
1503044940,303.498566
1503045840,303.512573
1503046740,303.505249
1503047640,303.522034
1503048540,303.545654
1503049440,303.626038
1503050340,303.655518
1503051240,303.726379
1503052140,303.872101
1503053040,304.065399
1503053940,304.377167
1503054840,304.605713
1503055740,304.816132
1503056640,305.041382
1503057540,305.233948
1503058440,305.411713
1503059340,305.613800
1503060240,305.770203
1503061140,305.918549
1503062040,306.092224
1503062940,306.191895
1503063840,306.277222
1503064740,306.347900
1503065640,306.393799
1503066540,306.366394
1503067440,306.270538
1503068340,306.151917
1503069240,306.008484
1503070140,305.864594
1503071040,305.707825
1503071940,305.576965
1503072840,305.404205
1503073740,305.227112
1503074640,305.049469
1503075540,304.865906
1503076440,304.630402
1503077340,304.348480
1503078240,303.998688
1503079140,303.616913
1503080040,303.264862
1503080940,303.003296
1503081840,302.753021
1503082740,302.422241
1503083640,302.014465
1503084540,301.639008
1503085440,301.309265
1503086340,300.975006
1503087240,300.573090
1503088140,300.083557
1503089040,299.574402
1503089940,299.083160
1503090840,298.544067
1503091740,298.011658
1503092640,297.492950
1503093540,296.889343
1503094440,296.296631
1503095340,295.792755
1503096240,295.372375
1503097140,295.036957
1503098040,294.734924
1503098940,294.447113
1503099840,294.194550
1503100740,294.008362
1503101640,293.892029
1503102540,293.765594
1503103440,293.644653
1503104340,293.568756
1503105240,293.502899
1503106140,293.429749
1503107040,293.399994
1503107940,293.324738
1503108840,293.243683
1503109740,293.204346
1503110640,293.206635
1503111540,293.257446
1503112440,293.319061
1503113340,293.316101
1503114240,293.285706
1503115140,293.191833
1503116040,293.225342
1503116940,293.307037
1503117840,293.422638
1503118740,293.500854
1503119640,293.564026
1503120540,293.602570
1503121440,293.576050
1503122340,293.637878
1503123240,293.739990
1503124140,293.811432
1503125040,293.869720
1503125940,293.907623
1503126840,293.975922
1503127740,294.086914
1503128640,294.148743
1503129540,294.147827
1503130440,294.101044
1503131340,294.003021
1503132240,293.887299
1503133140,293.802551
1503134040,293.680847
1503134940,293.563293
1503135840,293.490051
1503136740,293.435394
1503137640,293.323608
1503138540,293.118347
1503139440,292.860382
1503140340,292.586975
1503141240,292.275604
1503142140,291.977966
1503143040,291.581055
1503143940,291.111389
1503144840,290.680511
1503145740,290.251434
1503146640,289.960266
1503147540,289.802429
1503148440,289.690979
1503149340,289.585144
1503150240,289.373016
1503151140,289.169617
1503152040,288.929657
1503152940,288.755981
1503153840,288.564026
1503154740,288.318756
1503155640,288.137299
1503156540,287.973236
1503157440,287.744659
1503158340,287.559479
1503159240,287.484528
1503160140,287.429077
1503161040,287.351837
1503161940,287.255005
1503162840,287.156769
1503163740,287.080841
1503164640,287.066132
1503165540,287.129272
1503166440,287.213348
1503167340,287.324219
1503168240,287.502380
1503169140,287.654022
1503170040,287.732239
1503170940,287.765717
1503171840,287.843628
1503172740,287.970337
1503173640,288.145599
1503174540,288.291504
1503175440,288.420410
1503176340,288.537628
1503177240,288.748077
1503178140,289.023163
1503179040,289.297119
1503179940,289.561981
1503180840,289.770142
1503181740,289.883209
1503182640,289.946106
1503183540,289.993744
1503184440,290.074341
1503185340,290.167511
1503186240,290.309204
1503187140,290.415802
1503188040,290.506378
1503188940,290.547028
1503189840,290.591522
1503190740,290.601898
1503191640,290.668304
1503192540,290.705475
1503193440,290.690186
1503194340,290.719940
1503195240,290.787750
1503196140,290.874481
1503197040,291.017700
1503197940,291.175720
1503198840,291.259857
1503199740,291.286438
1503200640,291.265076
1503201540,291.216125
1503202440,291.147949
1503203340,291.034027
1503204240,290.884338
1503205140,290.760468
1503206040,290.628479
1503206940,290.520782
1503207840,290.465118
1503208740,290.453888
1503209640,290.509552
1503210540,290.561707
1503211440,290.614349
1503212340,290.658630
1503213240,290.664154
1503214140,290.667694
1503215040,290.641571
1503215940,290.601440
1503216840,290.621521
1503217740,290.626373
1503218640,290.670471
1503219540,290.803894
1503220440,290.914856
1503221340,291.047760
1503222240,291.170715
1503223140,291.397186
1503224040,291.635468
1503224940,291.872711
1503225840,292.056519
1503226740,292.243622
1503227640,292.372894
1503228540,292.489014
1503229440,292.598083
1503230340,292.721313
1503231240,292.838745
1503232140,292.915588
1503233040,292.998169
1503233940,293.107697
1503234840,293.196899
1503235740,293.232178
1503236640,293.228760
1503237540,293.296387
1503238440,293.430725
1503239340,293.565186
1503240240,293.699677
1503241140,293.821045
1503242040,293.901459
1503242940,293.996582
1503243840,294.074463
1503244740,294.152954
1503245640,294.242432
1503246540,294.293427
1503247440,294.358612
1503248340,294.432098
1503249240,294.493347
1503250140,294.561188
1503251040,294.616241
1503251940,294.752625
1503252840,294.900391
1503253740,294.950867
1503254640,295.039093
1503255540,295.097046
1503256440,295.165710
1503257340,295.220520
1503258240,295.249359
1503259140,295.296112
1503260040,295.353149
1503260940,295.373688
1503261840,295.436981
1503262740,295.507904
1503263640,295.580017
1503264540,295.624817
1503265440,295.674011
1503266340,295.741516
1503267240,295.809082
1503268140,295.854858
1503269040,295.954163
1503269940,296.119202
1503270840,296.275665
1503271740,296.430145
1503272640,296.588226
1503273540,296.753815
1503274440,296.890381
1503275340,297.031372
1503276240,297.185333
1503277140,297.326965
1503278040,297.438080
1503278940,297.521637
1503279840,297.589935
1503280740,297.665192
1503281640,297.738678
1503282540,297.761047
1503283440,297.754211
1503284340,297.792358
1503285240,297.864197
1503286140,297.934601
1503287040,297.951050
1503287940,297.994720
1503288840,298.052246
1503289740,298.129333
1503290640,298.216980
1503291540,298.366364
1503292440,298.577026
1503293340,298.808472
1503294240,299.136902
1503295140,299.563538
1503296040,300.052551
1503296940,300.715576
1503297840,301.469543
1503298740,302.113342
1503299640,302.748932
1503300540,303.333618
1503301440,303.859283
1503302340,304.350464
1503303240,304.873688
1503304140,305.407166
1503305040,306.026062
1503305940,306.607574
1503306840,307.066315
1503307740,307.508820
1503308640,307.970001
1503309540,308.420715
1503310440,308.957306
1503311340,309.497314
1503312240,310.036377
1503313140,310.640991
1503314040,311.283997
1503314940,311.870453
1503315840,312.341125
1503316740,313.170715
1503317640,314.074402
1503318540,314.929657
1503319440,315.726318
1503320340,316.517029
1503321240,317.392029
1503322140,318.402893
1503323040,319.431580
1503323940,320.594421
1503324840,321.650665
1503325740,322.575714
1503326640,323.322113
1503327540,324.033081
1503328440,324.669525
1503329340,325.197052
1503330240,325.719482
1503331140,326.069336
1503332040,326.324463
1503332940,326.738953
1503333840,327.163483
1503334740,327.625793
1503335640,328.195404
1503336540,328.802490
1503337440,329.312103
1503338340,329.697021
1503339240,329.949677
1503340140,330.229797
1503341040,330.597900
1503341940,330.759277
1503342840,331.131714
1503343740,331.498474
1503344640,331.755646
1503345540,332.017639
1503346440,332.291779
1503347340,332.439545
1503348240,332.511108
1503349140,332.620972
1503350040,332.796783
1503350940,332.568939
1503351840,332.287903
1503352740,332.123291
1503353640,332.014343
1503354540,331.869415
1503355440,331.627960
1503356340,331.173889
1503357240,330.643158
1503358140,329.935120
1503359040,329.325714
1503359940,328.868011
1503360840,328.551788
1503361740,328.190582
1503362640,327.957367
1503363540,327.786133
1503364440,327.466858
1503365340,327.088226
1503366240,326.570923
1503367140,325.892883
1503368040,325.096375
1503368940,324.346771
1503369840,323.623810
1503370740,322.863617
1503371640,322.209808
1503372540,321.635986
1503373440,321.105347
1503374340,320.186584
1503375240,317.416565
1503376140,316.936462
1503377040,316.178680
1503377940,315.227295
1503378840,314.154938
1503379740,313.208496
1503380640,312.188080
1503381540,310.953766
1503382440,310.064209
1503383340,309.474945
1503384240,309.128296
1503385140,308.804535
1503386040,308.376770
1503386940,307.725525
1503387840,307.083221
1503388740,306.514221
1503389640,305.909546
1503390540,305.366852
1503391440,304.819672
1503392340,304.298218
1503393240,303.881195
1503394140,303.510712
1503395040,303.196899
1503395940,302.890533
1503396840,302.424286
1503397740,301.981506
1503398640,301.709137
1503399540,301.437622
1503400440,301.268280
1503401340,301.252441
1503402240,301.342438
1503403140,301.353668
1503404040,301.268616
1503404940,301.161835
1503405840,301.081573
1503406740,301.040527
1503407640,300.962372
1503408540,301.283630
1503409440,303.448486
1503410340,303.543365
1503411240,303.686127
