mean fitness,best fitness
126.776839,860.148071
158.502400,725.242371
191.650421,809.712280
220.171458,725.793579
229.348070,725.793579
247.159220,724.671265
258.914457,758.671875
262.082079,776.017395
269.554323,755.911377
275.990673,732.951477
277.037352,719.026672
279.439585,712.833862
278.038513,749.402527
285.650091,822.724548
295.030379,778.550720
285.413497,733.990601
303.068960,841.504578
302.789172,773.699036
310.361207,843.828003
314.767740,800.958435
311.334209,785.916382
315.698713,895.289612
320.451659,815.007080
323.804627,813.906006
325.058571,783.324707
320.972553,862.335510
324.479699,758.096130
324.331295,838.202820
317.682308,855.109192
324.334230,927.800171
324.246564,810.186646
325.850980,811.895813
328.812248,831.189148
333.646257,820.084045
333.437535,838.719849
329.367555,811.994446
323.768309,857.444824
336.203614,835.007324
337.302797,828.904480
346.947440,828.190979
337.085970,729.523743
332.911094,810.338440
323.171758,867.080200
324.375077,837.460022
320.314559,844.680176
317.696299,876.948303
323.030211,882.276123
337.114059,921.385193
320.365635,820.146973
317.091096,863.427490
318.581174,834.707825
317.795832,831.427490
310.798810,797.460144
315.144134,785.916382
316.655857,881.392883
320.058603,795.064575
315.668743,769.980164
324.031946,823.512024
327.376624,832.515137
317.752003,810.546326
315.466635,815.230286
312.521928,786.644470
312.246297,784.328735
303.222179,817.032959
