candles read:
from: 2018-Jan-04 00:00:00
to: 2022-Oct-29 18:00:00
difference: 1759d 18:00:00.000000
count: 2524282
duration: 4.720689s
it: 0, population size: 382, mean fitness: 224.026, best fitness: 804.333
it: 1, population size: 380, mean fitness: 416.772, best fitness: 966.558
it: 2, population size: 378, mean fitness: 561.839, best fitness: 987.832
it: 3, population size: 376, mean fitness: 614.95, best fitness: 1014.58
it: 4, population size: 374, mean fitness: 625.641, best fitness: 1046.88
it: 5, population size: 372, mean fitness: 662.357, best fitness: 1046.88
it: 6, population size: 370, mean fitness: 655.15, best fitness: 1052.04
it: 7, population size: 368, mean fitness: 647.557, best fitness: 1052.04
it: 8, population size: 366, mean fitness: 650.338, best fitness: 1052.98
it: 9, population size: 364, mean fitness: 625.828, best fitness: 1052.98
it: 10, population size: 362, mean fitness: 686.161, best fitness: 1083.73
it: 11, population size: 360, mean fitness: 681.993, best fitness: 1083.73
it: 12, population size: 358, mean fitness: 707.108, best fitness: 1083.73
it: 13, population size: 356, mean fitness: 697.235, best fitness: 1083.73
it: 14, population size: 354, mean fitness: 688.419, best fitness: 1083.73
it: 15, population size: 352, mean fitness: 693.175, best fitness: 1083.73
it: 16, population size: 350, mean fitness: 715.438, best fitness: 1086.4
it: 17, population size: 348, mean fitness: 684.998, best fitness: 1086.4
it: 18, population size: 346, mean fitness: 693.914, best fitness: 1203.76
it: 19, population size: 344, mean fitness: 689.19, best fitness: 1203.76
it: 20, population size: 342, mean fitness: 695.584, best fitness: 1203.76
it: 21, population size: 340, mean fitness: 688.313, best fitness: 1203.76
it: 22, population size: 338, mean fitness: 676.992, best fitness: 1203.76
it: 23, population size: 336, mean fitness: 691.265, best fitness: 1203.76
it: 24, population size: 334, mean fitness: 722.802, best fitness: 1203.76
it: 25, population size: 332, mean fitness: 745.537, best fitness: 1203.76
it: 26, population size: 330, mean fitness: 828.806, best fitness: 1203.76
it: 27, population size: 328, mean fitness: 849.406, best fitness: 1203.76
it: 28, population size: 326, mean fitness: 867.955, best fitness: 1203.76
it: 29, population size: 324, mean fitness: 866.716, best fitness: 1203.76
it: 30, population size: 322, mean fitness: 846.575, best fitness: 1203.76
it: 31, population size: 320, mean fitness: 879.47, best fitness: 1203.76
it: 32, population size: 318, mean fitness: 836.342, best fitness: 1210.37
it: 33, population size: 316, mean fitness: 865.328, best fitness: 1210.37
it: 34, population size: 314, mean fitness: 824.144, best fitness: 1210.37
it: 35, population size: 312, mean fitness: 876.43, best fitness: 1210.37
it: 36, population size: 310, mean fitness: 868.795, best fitness: 1210.37
it: 37, population size: 308, mean fitness: 860.737, best fitness: 1210.37
it: 38, population size: 306, mean fitness: 857.259, best fitness: 1210.37
it: 39, population size: 304, mean fitness: 859.907, best fitness: 1210.37
duration: 5:34.694735
