mean fitness,best fitness,population size
219.594004,822.065002,510
378.641845,838.338440,508
453.434348,932.448730,506
511.967920,928.395996,504
537.117837,967.674072,502
546.019007,967.674072,500
565.993027,967.674072,498
576.129783,967.674072,496
576.627739,967.674072,494
603.439823,967.674072,492
610.625709,978.905212,490
616.550973,971.462219,488
637.683981,1008.234192,486
639.481166,1008.234192,484
643.017990,1009.703979,482
655.044881,1009.703979,480
667.101241,1038.020630,478
657.020986,1038.020630,476
653.070067,1038.020630,474
670.538138,1038.020630,472
662.929338,1046.104858,470
644.664392,1038.020630,468
655.436665,1038.020630,466
643.209172,1038.750854,464
648.851025,1038.020630,462
654.765383,1054.986206,460
660.375254,1058.871826,458
679.316097,1054.986206,456
689.436940,1058.871826,454
716.508208,1058.871826,452
668.848648,1058.871826,450
694.836247,1059.770752,448
709.635738,1059.770752,446
706.285566,1085.934692,444
718.806283,1085.934692,442
726.285844,1085.934692,440
705.909446,1091.595947,438
723.778851,1098.148682,436
714.245879,1091.595947,434
687.562075,1102.620483,432
