candles read:
from: 2018-Jan-04 00:00:00
to: 2022-Oct-29 18:00:00
difference: 1759d 18:00:00.000000
count: 2526055
duration: 3.441324s
it: 0, population size: 386, mean fitness: 165.918, best fitness: 675.017
it: 1, population size: 388, mean fitness: 325.54, best fitness: 731.718
it: 2, population size: 390, mean fitness: 380.692, best fitness: 790.187
it: 3, population size: 392, mean fitness: 417.587, best fitness: 790.187
it: 4, population size: 394, mean fitness: 455.776, best fitness: 848.875
it: 5, population size: 396, mean fitness: 471.025, best fitness: 848.875
it: 6, population size: 398, mean fitness: 507.74, best fitness: 848.875
it: 7, population size: 400, mean fitness: 506.713, best fitness: 857.919
it: 8, population size: 402, mean fitness: 512.847, best fitness: 874.535
it: 9, population size: 404, mean fitness: 528.952, best fitness: 874.535
it: 10, population size: 406, mean fitness: 554.085, best fitness: 879.776
it: 11, population size: 408, mean fitness: 534.143, best fitness: 889.502
it: 12, population size: 410, mean fitness: 557.804, best fitness: 889.502
it: 13, population size: 412, mean fitness: 561.588, best fitness: 892.398
it: 14, population size: 414, mean fitness: 576.985, best fitness: 892.398
it: 15, population size: 416, mean fitness: 605.975, best fitness: 892.398
it: 16, population size: 418, mean fitness: 601.463, best fitness: 892.398
it: 17, population size: 420, mean fitness: 582.082, best fitness: 892.398
it: 18, population size: 422, mean fitness: 586.762, best fitness: 892.398
it: 19, population size: 424, mean fitness: 598.431, best fitness: 894.539
it: 20, population size: 426, mean fitness: 599.975, best fitness: 898.176
it: 21, population size: 428, mean fitness: 623.544, best fitness: 898.176
it: 22, population size: 430, mean fitness: 626.728, best fitness: 898.176
it: 23, population size: 432, mean fitness: 617.883, best fitness: 898.176
it: 24, population size: 434, mean fitness: 611.176, best fitness: 898.176
it: 25, population size: 436, mean fitness: 628.332, best fitness: 909.364
it: 26, population size: 438, mean fitness: 613.49, best fitness: 929.544
it: 27, population size: 440, mean fitness: 638.6, best fitness: 929.544
it: 28, population size: 442, mean fitness: 628.024, best fitness: 929.544
it: 29, population size: 444, mean fitness: 647.029, best fitness: 929.544
it: 30, population size: 446, mean fitness: 636.936, best fitness: 940.945
it: 31, population size: 448, mean fitness: 636.783, best fitness: 940.945
it: 32, population size: 450, mean fitness: 619.273, best fitness: 940.945
it: 33, population size: 452, mean fitness: 658.035, best fitness: 940.945
it: 34, population size: 454, mean fitness: 678.987, best fitness: 942.438
it: 35, population size: 456, mean fitness: 667.33, best fitness: 942.438
it: 36, population size: 458, mean fitness: 692.191, best fitness: 942.438
it: 37, population size: 460, mean fitness: 668.458, best fitness: 942.438
it: 38, population size: 462, mean fitness: 660.019, best fitness: 942.438
it: 39, population size: 464, mean fitness: 679.25, best fitness: 942.438
duration: 6:44.825252
