mean fitness,best fitness,population size
174.857021,877.906494,900
309.463214,1555.939941,904
458.407118,1748.979614,908
629.024566,1976.196411,912
820.106359,1976.196411,916
1005.793112,2061.154053,920
1107.746547,2061.154053,924
1195.845382,2076.956543,928
1238.515775,2076.956543,932
1246.514482,2076.956543,936
1273.820644,2076.956543,940
1317.471118,2076.956543,944
1342.183654,2080.473633,948
1350.244853,2080.473633,952
1369.954317,2080.473633,956
1378.137763,2085.218994,960
1424.861509,2085.218994,964
1413.741007,2085.218994,968
1400.091333,2085.218994,972
1413.653328,2085.218994,976
1405.362823,2086.468994,980
1400.891293,2085.218994,984
1411.067468,2086.468994,988
1411.211505,2086.468994,992
1393.281560,2086.468994,996
1448.116950,2086.468994,1000
1415.384811,2091.827637,1006
1408.048414,2091.827637,1012
1418.572389,2093.174316,1018
1418.760424,2093.174316,1024
1391.294550,2093.174316,1030
1393.734804,2093.174316,1036
1415.469167,2093.174316,1042
1410.399456,2093.174316,1048
1393.067849,2093.174316,1054
1405.437641,2093.174316,1060
1376.831678,2093.174316,1066
1389.694028,2093.174316,1072
1422.387053,2093.174316,1078
1406.860574,2093.174316,1084
