mean fitness,best fitness,population size
153.184907,589.380310,382
242.255872,589.380310,380
303.341008,653.184570,378
330.545572,653.184570,376
342.086155,653.184570,374
369.086016,815.140991,372
387.370812,815.140991,370
410.738251,826.521362,368
420.157756,826.521362,366
437.404049,840.359985,364
489.563342,840.359985,362
480.860334,849.292114,360
500.540752,865.179504,358
496.652357,874.262390,356
525.833235,891.814392,354
540.222080,891.814392,352
543.031715,898.691589,350
540.024628,898.047424,348
564.983753,891.814392,346
577.640087,899.537109,344
564.131742,911.017212,342
577.839431,911.017212,340
567.870751,912.642090,338
567.865801,925.180481,336
590.671965,925.180481,334
575.912552,925.180481,332
588.185195,938.488403,330
610.071529,938.488403,328
592.105288,941.619995,326
602.032776,938.488403,324
599.399555,938.488403,322
599.600622,941.619995,320
604.819543,942.438416,318
627.192909,942.438416,316
604.454268,942.438416,314
595.842340,942.438416,312
596.389480,942.438416,310
608.115234,942.438416,308
623.265594,942.438416,306
591.580949,942.438416,304
