mean fitness,best fitness,population size
199.174147,984.757629,514
375.747144,1302.511353,516
550.812199,1449.406250,518
608.241322,1449.406250,520
695.389034,1641.999390,522
716.748825,1754.057617,524
794.917863,1927.207642,526
875.349527,1999.029053,528
954.727444,1999.029053,530
1014.284299,1999.029053,532
1103.310374,1999.029053,534
1145.054654,2020.414551,536
1226.081508,2027.566406,538
1246.361442,2027.566406,540
1287.034881,2027.566406,542
1284.154420,2029.343628,544
1332.864833,2030.547852,546
1356.592016,2030.547852,548
1326.992749,2030.547852,550
1333.322860,2039.149048,552
1350.248762,2046.364258,554
1363.547221,2046.364258,556
1375.187139,2046.364258,558
1377.509995,2046.364258,560
1360.457453,2056.833984,562
1345.294115,2046.364258,564
1335.740327,2047.198242,566
1378.332130,2047.198242,568
1354.997115,2049.216797,570
1335.579613,2061.231689,572
1329.933669,2062.357910,574
1334.273781,2061.231689,576
1366.312619,2085.218994,578
1374.718021,2085.218994,580
1377.168541,2085.218994,582
1361.142753,2085.218994,584
1385.018181,2085.218994,586
1382.949082,2085.218994,588
1403.066385,2085.218994,590
1396.326029,2085.218994,592
