candles read:
from: 2018-Jan-04 00:00:00
to: 2022-Oct-29 18:00:00
difference: 1759d 18:00:00.000000
count: 2526055
duration: 4.781019s
it: 0, population size: 900, mean fitness: 113.556, best fitness: 799.336
it: 1, population size: 904, mean fitness: 201.355, best fitness: 799.336
it: 2, population size: 908, mean fitness: 285.41, best fitness: 799.336
it: 3, population size: 912, mean fitness: 379.385, best fitness: 799.336
it: 4, population size: 916, mean fitness: 430.391, best fitness: 808.966
it: 5, population size: 920, mean fitness: 453.921, best fitness: 849.444
it: 6, population size: 924, mean fitness: 467.731, best fitness: 864.189
it: 7, population size: 928, mean fitness: 487.004, best fitness: 878.553
it: 8, population size: 932, mean fitness: 511.03, best fitness: 892.086
it: 9, population size: 936, mean fitness: 516.215, best fitness: 922.112
it: 10, population size: 940, mean fitness: 521.259, best fitness: 924.502
it: 11, population size: 944, mean fitness: 547.405, best fitness: 928.153
it: 12, population size: 948, mean fitness: 562.233, best fitness: 941.461
it: 13, population size: 952, mean fitness: 594.969, best fitness: 941.461
it: 14, population size: 956, mean fitness: 603.18, best fitness: 941.461
it: 15, population size: 960, mean fitness: 615.585, best fitness: 942.398
it: 16, population size: 964, mean fitness: 633.247, best fitness: 941.461
it: 17, population size: 968, mean fitness: 647.26, best fitness: 948.312
it: 18, population size: 972, mean fitness: 639.609, best fitness: 948.312
it: 19, population size: 976, mean fitness: 636.05, best fitness: 958.459
it: 20, population size: 980, mean fitness: 631.734, best fitness: 976.882
it: 21, population size: 984, mean fitness: 650.158, best fitness: 966.46
it: 22, population size: 988, mean fitness: 655.63, best fitness: 960.843
it: 23, population size: 992, mean fitness: 645.015, best fitness: 960.843
it: 24, population size: 996, mean fitness: 645.463, best fitness: 1027.21
it: 25, population size: 1000, mean fitness: 653.302, best fitness: 1001.06
it: 26, population size: 1006, mean fitness: 647.163, best fitness: 1001.06
it: 27, population size: 1012, mean fitness: 648.814, best fitness: 1001.06
it: 28, population size: 1018, mean fitness: 647.25, best fitness: 1015.26
it: 29, population size: 1024, mean fitness: 658.725, best fitness: 1003.36
it: 30, population size: 1030, mean fitness: 661.505, best fitness: 1046.03
it: 31, population size: 1036, mean fitness: 664.886, best fitness: 1046.03
it: 32, population size: 1042, mean fitness: 660.87, best fitness: 1046.03
it: 33, population size: 1048, mean fitness: 684.66, best fitness: 1046.03
it: 34, population size: 1054, mean fitness: 680.293, best fitness: 1046.03
it: 35, population size: 1060, mean fitness: 688.509, best fitness: 1046.03
it: 36, population size: 1066, mean fitness: 689.643, best fitness: 1046.03
it: 37, population size: 1072, mean fitness: 695.612, best fitness: 1059.61
it: 38, population size: 1078, mean fitness: 683.209, best fitness: 1059.61
it: 39, population size: 1084, mean fitness: 687.974, best fitness: 1059.61
duration: 13:28.968565
