time,sma(1),entry level 1,entry level 2,entry level 3,entry level 4,sma(1)
1577840400,7185.99,6682.97,6467.39,6108.09,5748.79,7185.99
1577844000,7199.61,6695.64,6479.65,6119.67,5759.69,7199.61
1577847600,7228.66,6722.66,6505.8,6144.36,5782.93,7228.66
1577851200,7233.17,6726.85,6509.85,6148.19,5786.53,7233.17
1577854800,7221.82,6716.3,6499.64,6138.55,5777.46,7221.82
1577858400,7221.97,6716.43,6499.77,6138.67,5777.58,7221.97
1577862000,7226.91,6721.03,6504.22,6142.87,5781.53,7226.91
1577865600,7216.94,6711.75,6495.25,6134.4,5773.55,7216.94
1577869200,7200.12,6696.11,6480.11,6120.1,5760.09,7200.12
1577872800,7196.89,6693.11,6477.2,6117.36,5757.51,7196.89
1577876400,7196.57,6692.81,6476.91,6117.08,5757.25,7196.57
1577880000,7206.39,6701.94,6485.75,6125.43,5765.11,7206.39
1577883600,7213.07,6708.15,6491.76,6131.11,5770.45,7213.07
1577887200,7222.95,6717.35,6500.66,6139.51,5778.36,7222.95
1577890800,7221.44,6715.93,6499.29,6138.22,5777.15,7221.44
1577894400,7232.27,6726.01,6509.04,6147.43,5785.82,7232.27
1577898000,7235,6728.55,6511.5,6149.75,5788,7235
1577901600,7239.02,6732.29,6515.12,6153.17,5791.22,7239.02
1577905200,7237.4,6730.78,6513.66,6151.79,5789.92,7237.4
1577908800,7234.19,6727.8,6510.77,6149.06,5787.35,7234.19
1577912400,7233.47,6727.12,6510.12,6148.45,5786.77,7233.47
1577916000,7235.05,6728.59,6511.54,6149.79,5788.04,7235.05
1577919600,7212.95,6708.04,6491.66,6131.01,5770.36,7212.95
1577923200,7194.45,6690.84,6475,6115.28,5755.56,7194.45
1577926800,7202.44,6698.27,6482.19,6122.07,5761.95,7202.44
1577930400,7199.57,6695.6,6479.62,6119.64,5759.66,7199.57
1577934000,7176.59,6674.23,6458.93,6100.1,5741.27,7176.59
1577937600,7147.02,6646.73,6432.32,6074.97,5717.62,7147.02
1577941200,7137.29,6637.68,6423.56,6066.7,5709.83,7137.29
1577944800,7140.13,6640.32,6426.12,6069.11,5712.1,7140.13
1577948400,7136.34,6636.79,6422.7,6065.89,5709.07,7136.34
1577952000,7123.06,6624.45,6410.75,6054.6,5698.45,7123.06
1577955600,7132.98,6633.67,6419.68,6063.04,5706.39,7132.98
1577959200,7153.99,6653.21,6438.59,6080.89,5723.19,7153.99
1577962800,7164.34,6662.83,6447.9,6089.68,5731.47,7164.34
1577966400,7152.35,6651.68,6437.11,6079.49,5721.88,7152.35
1577970000,7150.11,6649.6,6435.1,6077.6,5720.09,7150.11
1577973600,7140.2,6640.38,6426.18,6069.17,5712.16,7140.2
1577977200,7136.55,6636.99,6422.9,6066.07,5709.24,7136.55
