time,ohlc4
1577836800,nan
1577840400,7185.99
1577844000,7199.61
1577847600,7228.66
1577851200,7233.17
1577854800,7221.82
1577858400,7221.97
1577862000,7226.91
1577865600,7216.94
1577869200,7200.12
1577872800,7196.89
1577876400,7196.57
1577880000,7206.39
1577883600,7213.07
1577887200,7222.95
1577890800,7221.43
1577894400,7232.27
1577898000,7235
1577901600,7239.02
1577905200,7237.4
1577908800,7234.19
1577912400,7233.47
1577916000,7235.05
1577919600,7212.95
1577923200,7194.45
1577926800,7202.44
1577930400,7199.57
1577934000,7176.59
1577937600,7147.02
1577941200,7137.29
1577944800,7140.13
1577948400,7136.34
1577952000,7123.06
1577955600,7132.98
1577959200,7153.98
1577962800,7164.34
1577966400,7152.34
1577970000,7150.11
1577973600,7140.2
1577977200,7136.55
1577980800,7134.64
1577984400,7087.38
1577988000,7000.05
1577991600,6970.93
1577995200,6978.07
1577998800,6963.9
1578002400,6964.27
1578006000,6973.4
1578009600,6966.33
1578013200,6945.46
1578016800,6912.53
1578020400,6920.75
1578024000,6954.02
1578027600,7093.9
1578031200,7212.04
1578034800,7209.46
1578038400,7205.58
1578042000,7240.61
1578045600,7306.12
1578049200,7328.69
1578052800,7326.33
1578056400,7329.14
1578060000,7341.14
1578063600,7298.68
1578067200,7287.65
1578070800,7351.08
1578074400,7370.47
1578078000,7349.49
1578081600,7329.59
1578085200,7329.65
1578088800,7299.42
1578092400,7290.7
1578096000,7321.03
1578099600,7321.81
1578103200,7301.89
1578106800,7315.43
1578110400,7329.89
1578114000,7329.78
1578117600,7343.39
1578121200,7351.89
1578124800,7348.5
1578128400,7347.41
1578132000,7354.68
1578135600,7339.15
1578139200,7323.99
1578142800,7323.56
1578146400,7308.54
1578150000,7310.16
1578153600,7317.88
1578157200,7311.81
1578160800,7329.25
1578164400,7333.62
1578168000,7319.57
1578171600,7334.81
1578175200,7347.4
1578178800,7350.83
1578182400,7349.01
1578186000,7368.69
1578189600,7421.98
1578193200,7454.84
1578196800,7459.31
1578200400,7468.03
1578204000,7457.57
1578207600,7458.67
1578211200,7458.45
1578214800,7443.92
1578218400,7423.65
1578222000,7419.58
1578225600,7421.86
1578229200,7440.42
1578232800,7440.49
1578236400,7433.18
1578240000,7451.86
1578243600,7465.82
1578247200,7460.45
1578250800,7448.49
1578254400,7439.99
1578258000,7436.83
1578261600,7398.02
1578265200,7356.75
1578268800,7349.71
1578272400,7366.97
1578276000,7399.46
1578279600,7489.54
1578283200,7539.81
1578286800,7535.27
1578290400,7524.98
1578294000,7525.34
1578297600,7515.19
1578301200,7528.7
1578304800,7542.04
1578308400,7556.1
1578312000,7553.79
1578315600,7550.85
1578319200,7543.46
1578322800,7535
1578326400,7534.43
1578330000,7525.95
1578333600,7543.85
1578337200,7544.43
1578340800,7537.03
1578344400,7545.97
1578348000,7571.31
1578351600,7654.36
1578355200,7739.16
1578358800,7851.4
1578362400,7895.33
1578366000,7908.55
1578369600,7898.42
1578373200,7865.51
1578376800,7854.57
1578380400,7867.36
1578384000,7877.67
1578387600,7884.95
1578391200,7870.44
1578394800,7872.86
1578398400,7907.49
1578402000,7879.99
1578405600,7849.19
1578409200,7852.16
1578412800,7798.51
1578416400,7835.01
1578420000,7920.14
1578423600,8007.95
1578427200,8064.02
1578430800,8113.16
1578434400,8085.69
1578438000,8019.69
1578441600,8105.87
1578445200,8293.68
1578448800,8394.62
1578452400,8332.07
1578456000,8291.83
1578459600,8322.21
1578463200,8340.89
1578466800,8340.12
1578470400,8315.4
1578474000,8300.82
1578477600,8301.77
1578481200,8316.79
1578484800,8338.64
1578488400,8310.42
1578492000,8326.18
1578495600,8316.24
1578499200,8303.33
1578502800,8201.72
1578506400,8081.66
1578510000,8065.33
1578513600,8012.46
1578517200,7985.11
1578520800,8017.17
1578524400,8040.52
1578528000,8070.31
1578531600,7998.81
1578535200,7987.26
1578538800,7998.2
1578542400,7966.71
1578546000,7957.03
1578549600,7950.25
1578553200,7924.54
1578556800,7934.65
1578560400,7936.95
1578564000,7900.51
1578567600,7888.88
1578571200,7882.78
1578574800,7891.9
1578578400,7908.86
1578582000,7894.55
1578585600,7901.32
1578589200,7862.55
1578592800,7810.19
1578596400,7807.42
1578600000,7874
1578603600,7885.21
1578607200,7803.52
1578610800,7815.8
1578614400,7813.52
1578618000,7825.72
1578621600,7813.23
1578625200,7806.75
1578628800,7804.18
1578632400,7800.4
1578636000,7769.28
1578639600,7748.63
1578643200,7745.85
1578646800,7723.48
1578650400,7716.23
1578654000,7736.97
1578657600,7808.79
1578661200,7861.5
1578664800,7892.67
1578668400,7920.55
1578672000,8019.39
1578675600,8022.3
1578679200,7951.88
1578682800,8017.07
1578686400,8041.91
1578690000,8067.62
1578693600,8066.46
1578697200,8055.45
1578700800,8137.7
1578704400,8171.88
1578708000,8197.92
1578711600,8195.87
1578715200,8174.35
1578718800,8139.4
1578722400,8091.22
1578726000,8098.27
1578729600,8102.72
1578733200,8065.25
1578736800,8086.99
1578740400,8082.04
1578744000,8046.06
1578747600,8048.56
1578751200,8074.88
