curr state net profit,temperature,mean threshold worse acceptance
9281.892578,256.000000,0.936604
4281.078125,151.197724,0.935836
6531.268555,121.985372,0.794057
1361.965576,107.279305,0.851688
7107.890625,98.105419,0.884937
-376.147949,91.698444,0.855060
4335.989258,86.900139,0.890618
4615.474121,83.131956,0.899862
11598.626953,80.069446,0.787860
11500.329102,77.515035,0.777083
3370.016113,75.340756,0.781923
19760.322266,73.459643,0.701517
25688.476562,71.810277,0.755536
10978.372070,70.347889,0.729039
12041.689453,69.038979,0.748240
0.000000,67.857914,0.721263
4979.637695,66.784699,0.785645
0.000000,65.803480,0.756829
271.143707,64.901498,0.881974
2606.479492,64.068357,0.849220
14714.630859,63.295483,0.762953
3688.352539,62.575738,0.678543
958.064453,61.903121,0.746546
10120.623047,61.272547,0.787700
28122.593750,60.679672,0.769478
29101.414062,60.120760,0.677775
38509.148438,59.592580,0.479292
46971.210938,59.092316,0.631835
22200.769531,58.617508,0.548055
31141.000000,58.165989,0.675505
26807.923828,57.735845,0.686928
16978.269531,57.325378,0.636115
18563.773438,56.933075,0.609623
2109.058594,56.557581,0.701800
4635.339844,56.197682,0.794814
38443.242188,55.852284,0.610348
3273.402344,55.520399,0.574080
16817.314453,55.201131,0.560959
48732.312500,54.893667,0.781635
51780.992188,54.597266,0.668445
31148.800781,54.311252,0.650408
32851.421875,54.035005,0.642868
31748.123047,53.767956,0.654198
31146.884766,53.509585,0.646669
28248.939453,53.259408,0.660741
32279.261719,53.016983,0.690774
26895.976562,52.781899,0.630919
35897.058594,52.553775,0.740235
19884.863281,52.332258,0.679199
774.002563,52.117020,0.553342
0.000000,51.907756,0.811268
6808.698242,51.704181,0.634956
2826.820068,51.506029,0.781739
9758.747070,51.313052,0.801509
45143.585938,51.125018,0.725089
61247.164062,50.941708,0.856380
48437.312500,50.762918,0.613934
44957.910156,50.588456,0.590403
25041.787109,50.418141,0.610117
35673.773438,50.251803,0.619473
30053.398438,50.089282,0.539740
1683.421143,49.930425,0.687278
1565.791504,49.775091,0.797968
23691.949219,49.623144,0.696636
37355.500000,49.474457,0.680290
486.863159,49.328908,0.669141
1722.302734,49.186382,0.864744
9273.553711,49.046771,0.743155
5356.652344,48.909972,0.754775
34103.839844,48.775885,0.702987
15335.177734,48.644418,0.611422
8815.960938,48.515482,0.562505
9255.691406,48.388992,0.582002
32219.806641,48.264868,0.703686
23099.562500,48.143032,0.561611
4616.265625,48.023411,0.763764
28461.138672,47.905936,0.698378
12868.125000,47.790539,0.727319
9968.205078,47.677155,0.730148
25765.203125,47.565725,0.806692
16436.015625,47.456189,0.682582
19179.843750,47.348491,0.627342
15403.195312,47.242578,0.645135
34366.003906,47.138397,0.554718
45711.042969,47.035900,0.655137
24622.103516,46.935038,0.440445
50698.085938,46.835767,0.645332
34239.945312,46.738042,0.677699
10587.333984,46.641822,0.566285
15772.312500,46.547065,0.714416
24479.089844,46.453734,0.632340
6706.493164,46.361790,0.672938
39847.222656,46.271197,0.749151
29855.558594,46.181921,0.613491
7810.720215,46.093928,0.661711
21347.906250,46.007186,0.640944
39608.726562,45.921663,0.506821
5631.542969,45.837330,0.653406
2681.298828,45.754158,0.676378
5368.436035,45.672119,0.775940
0.000000,45.591185,0.749767
30197.812500,45.511331,0.723152
13841.916016,45.432531,0.653035
23894.542969,45.354761,0.685987
22430.519531,45.277997,0.512374
35712.828125,45.202216,0.687286
31564.968750,45.127397,0.690892
31720.767578,45.053518,0.736440
34295.085938,44.980557,0.562763
41013.429688,44.908496,0.710995
39468.761719,44.837314,0.622396
24370.230469,44.766993,0.572131
37774.753906,44.697514,0.730209
37340.257812,44.628860,0.593120
30027.398438,44.561014,0.601217
19418.875000,44.493958,0.622162
29071.472656,44.427677,0.599783
38780.160156,44.362154,0.747147
33129.085938,44.297375,0.621079
39250.429688,44.233324,0.648034
32158.060547,44.169988,0.543732
6919.133789,44.107352,0.585598
18660.050781,44.045403,0.570076
38080.882812,43.984126,0.748055
40632.632812,43.923511,0.718507
33443.433594,43.863543,0.573476
1829.156494,43.804210,0.680228
16228.881836,43.745502,0.656984
15169.477539,43.687405,0.568057
27663.580078,43.629910,0.710268
3654.017090,43.573005,0.584207
4022.650391,43.516679,0.748836
2818.858398,43.460921,0.665291
5818.067383,43.405723,0.719222
4486.779785,43.351073,0.761755
4763.384277,43.296963,0.797387
22639.302734,43.243383,0.611590
26697.312500,43.190323,0.420920
18230.775391,43.137775,0.546017
2451.290039,43.085730,0.661027
24215.875000,43.034179,0.670097
16110.559570,42.983115,0.647448
20941.410156,42.932529,0.734991
19822.257812,42.882413,0.484744
18825.496094,42.832760,0.601827
11554.923828,42.783561,0.623701
10431.156250,42.734810,0.499925
15629.777344,42.686500,0.617079
21926.582031,42.638622,0.697194
12456.004883,42.591172,0.565665
25686.548828,42.544141,0.583382
25293.644531,42.497523,0.470528
29832.976562,42.451312,0.549924
36528.968750,42.405501,0.656737
24907.656250,42.360085,0.593523
3805.902344,42.315057,0.583303
26020.082031,42.270411,0.710757
1659.772461,42.226142,0.598105
24349.277344,42.182244,0.756856
16850.839844,42.138712,0.645698
18693.884766,42.095540,0.672995
18805.361328,42.052723,0.565950
4768.825195,42.010255,0.656909
19241.679688,41.968132,0.575368
23280.695312,41.926349,0.663907
13573.407227,41.884900,0.725733
8024.573730,41.843782,0.717497
9105.710938,41.802989,0.686062
24139.107422,41.762517,0.652672
23838.501953,41.722361,0.509123
22754.230469,41.682518,0.545532
0.000000,41.642982,0.586758
17861.093750,41.603749,0.649036
13870.176758,41.564816,0.623444
28257.621094,41.526178,0.475916
16736.808594,41.487831,0.683887
27464.578125,41.449772,0.531811
28073.947266,41.411997,0.657409
29601.226562,41.374501,0.625537
-675.937500,41.337281,0.610378
2544.485352,41.300334,0.840373
7104.466797,41.263656,0.635039
28411.441406,41.227244,0.671539
20580.525391,41.191094,0.622801
3070.561523,41.155202,0.784929
15144.697266,41.119566,0.769746
11472.367188,41.084182,0.652022
31659.855469,41.049047,0.592477
31035.080078,41.014158,0.692636
9750.835938,40.979512,0.630597
29154.939453,40.945106,0.704966
11728.236328,40.910937,0.606740
3023.541016,40.877002,0.676269
-157.871338,40.843298,0.678733
12324.751953,40.809823,0.738627
16670.246094,40.776573,0.575784
29426.460938,40.743546,0.582436
44627.160156,40.710739,0.613375
22271.046875,40.678150,0.652106
19489.222656,40.645776,0.585564
6210.017578,40.613615,0.613427
14924.285156,40.581664,0.602710
15821.572266,40.549920,0.665832
25824.476562,40.518382,0.527923
