candles read:
from: 2020-Aug-11 06:00:00
to: 2023-Apr-11 15:55:00
difference: 973d 09:55:00.000000
count: 1400292
duration: 1.519616
began: 2023-Apr-20 10:04:27
it: 0, temperature: 94, curr value: -72.7006, best value: 114.883
it: 1, temperature: 55.5179, curr value: 4.08715, best value: 114.883
it: 2, temperature: 44.7915, curr value: -34.8652, best value: 114.883
it: 3, temperature: 39.3916, curr value: 25.6096, best value: 114.883
it: 4, temperature: 36.0231, curr value: 129.687, best value: 139.44
it: 5, temperature: 33.6705, curr value: 28.8895, best value: 139.44
it: 6, temperature: 31.9086, curr value: 69.2246, best value: 139.44
it: 7, temperature: 30.525, curr value: 133.006, best value: 139.44
it: 8, temperature: 29.4005, curr value: 114.313, best value: 139.44
it: 9, temperature: 28.4626, curr value: 150.991, best value: 150.991
it: 10, temperature: 27.6642, curr value: 153.307, best value: 153.307
it: 11, temperature: 26.9735, curr value: 101.937, best value: 153.307
it: 12, temperature: 26.3678, curr value: 88.0176, best value: 153.307
it: 13, temperature: 25.8309, curr value: 13.3013, best value: 153.307
it: 14, temperature: 25.3503, curr value: 79.3052, best value: 153.307
it: 15, temperature: 24.9166, curr value: 138.94, best value: 153.307
it: 16, temperature: 24.5225, curr value: 134.003, best value: 158.42
it: 17, temperature: 24.1622, curr value: 109.391, best value: 158.42
it: 18, temperature: 23.831, curr value: 36.857, best value: 158.42
it: 19, temperature: 23.5251, curr value: 137.407, best value: 158.42
it: 20, temperature: 23.2413, curr value: 154.994, best value: 158.42
it: 21, temperature: 22.977, curr value: 147.313, best value: 158.42
it: 22, temperature: 22.7301, curr value: 158.537, best value: 158.537
it: 23, temperature: 22.4985, curr value: 152.35, best value: 158.537
it: 24, temperature: 22.2808, curr value: 93.5715, best value: 158.537
it: 25, temperature: 22.0756, curr value: 112.302, best value: 158.537
it: 26, temperature: 21.8817, curr value: 73.689, best value: 158.537
it: 27, temperature: 21.698, curr value: 104.07, best value: 158.537
it: 28, temperature: 21.5236, curr value: 81.1542, best value: 158.537
it: 29, temperature: 21.3578, curr value: 100.831, best value: 158.537
it: 30, temperature: 21.1999, curr value: 108.559, best value: 158.537
it: 31, temperature: 21.0492, curr value: 88.8627, best value: 158.537
it: 32, temperature: 20.9051, curr value: 83.1083, best value: 158.537
it: 33, temperature: 20.7672, curr value: 109.93, best value: 158.537
it: 34, temperature: 20.6351, curr value: 118.045, best value: 158.537
it: 35, temperature: 20.5083, curr value: 135.386, best value: 158.537
it: 36, temperature: 20.3864, curr value: 142.302, best value: 158.537
it: 37, temperature: 20.2692, curr value: 129.655, best value: 158.537
it: 38, temperature: 20.1563, curr value: 120.689, best value: 158.537
it: 39, temperature: 20.0474, curr value: 70.9787, best value: 158.537
it: 40, temperature: 19.9424, curr value: 137.629, best value: 158.537
it: 41, temperature: 19.841, curr value: 78.632, best value: 170.725
it: 42, temperature: 19.7429, curr value: 170.725, best value: 170.725
it: 43, temperature: 19.6481, curr value: 167.403, best value: 170.725
it: 44, temperature: 19.5562, curr value: 157.79, best value: 170.725
it: 45, temperature: 19.4672, curr value: 157.79, best value: 170.725
it: 46, temperature: 19.3809, curr value: 160.94, best value: 170.725
it: 47, temperature: 19.2971, curr value: 138.443, best value: 170.725
it: 48, temperature: 19.2158, curr value: 111.365, best value: 170.725
it: 49, temperature: 19.1367, curr value: 123.86, best value: 170.725
it: 50, temperature: 19.0599, curr value: 153.829, best value: 170.725
it: 51, temperature: 18.9851, curr value: 154.287, best value: 170.725
it: 52, temperature: 18.9124, curr value: 154.287, best value: 170.725
it: 53, temperature: 18.8415, curr value: 167.529, best value: 170.725
it: 54, temperature: 18.7725, curr value: 57.9215, best value: 170.725
it: 55, temperature: 18.7052, curr value: 123.157, best value: 170.725
it: 56, temperature: 18.6395, curr value: 106.116, best value: 170.725
it: 57, temperature: 18.5754, curr value: 75.6184, best value: 170.725
it: 58, temperature: 18.5129, curr value: 103.015, best value: 170.725
it: 59, temperature: 18.4518, curr value: 105.844, best value: 170.725
it: 60, temperature: 18.3922, curr value: 163.008, best value: 170.725
it: 61, temperature: 18.3338, curr value: 163.187, best value: 170.725
it: 62, temperature: 18.2768, curr value: 164.79, best value: 170.725
it: 63, temperature: 18.221, curr value: 98.1871, best value: 170.725
it: 64, temperature: 18.1664, curr value: 139.6, best value: 170.725
it: 65, temperature: 18.113, curr value: 145.553, best value: 170.725
it: 66, temperature: 18.0606, curr value: 150.693, best value: 170.725
it: 67, temperature: 18.0094, curr value: 150.75, best value: 170.725
it: 68, temperature: 17.9591, curr value: 150.35, best value: 170.725
it: 69, temperature: 17.9099, curr value: 150.325, best value: 170.725
it: 70, temperature: 17.8616, curr value: 141.329, best value: 170.725
it: 71, temperature: 17.8143, curr value: 148.188, best value: 170.725
it: 72, temperature: 17.7678, curr value: 144.994, best value: 170.725
it: 73, temperature: 17.7223, curr value: 135.331, best value: 170.725
it: 74, temperature: 17.6775, curr value: 152.913, best value: 170.725
it: 75, temperature: 17.6336, curr value: 153.276, best value: 170.725
it: 76, temperature: 17.5905, curr value: 162.718, best value: 170.725
it: 77, temperature: 17.5481, curr value: 166.082, best value: 170.725
it: 78, temperature: 17.5065, curr value: 129.557, best value: 170.725
it: 79, temperature: 17.4655, curr value: 124.671, best value: 170.725
it: 80, temperature: 17.4253, curr value: 142.756, best value: 170.725
it: 81, temperature: 17.3858, curr value: 104.957, best value: 170.725
it: 82, temperature: 17.3469, curr value: 149.966, best value: 170.725
it: 83, temperature: 17.3086, curr value: 161.564, best value: 170.725
it: 84, temperature: 17.271, curr value: 137.305, best value: 170.725
it: 85, temperature: 17.234, curr value: 146.227, best value: 170.725
it: 86, temperature: 17.1975, curr value: 139.491, best value: 170.725
it: 87, temperature: 17.1616, curr value: 145.078, best value: 170.725
it: 88, temperature: 17.1263, curr value: 87.0462, best value: 170.725
it: 89, temperature: 17.0915, curr value: 107.644, best value: 170.725
it: 90, temperature: 17.0572, curr value: 107.534, best value: 170.725
it: 91, temperature: 17.0235, curr value: 99.765, best value: 170.725
it: 92, temperature: 16.9902, curr value: 101.861, best value: 170.725
it: 93, temperature: 16.9574, curr value: 139.057, best value: 170.725
it: 94, temperature: 16.9251, curr value: 153.58, best value: 170.725
it: 95, temperature: 16.8933, curr value: 142.158, best value: 170.725
it: 96, temperature: 16.8619, curr value: 139.571, best value: 170.725
it: 97, temperature: 16.8309, curr value: 145.465, best value: 170.725
it: 98, temperature: 16.8004, curr value: 126.511, best value: 170.725
it: 99, temperature: 16.7702, curr value: 136.868, best value: 170.725
it: 100, temperature: 16.7405, curr value: 108.331, best value: 170.725
it: 101, temperature: 16.7112, curr value: 138.046, best value: 170.725
it: 102, temperature: 16.6823, curr value: 113.323, best value: 170.725
it: 103, temperature: 16.6537, curr value: 107.463, best value: 170.725
it: 104, temperature: 16.6255, curr value: 116.376, best value: 170.725
it: 105, temperature: 16.5977, curr value: 85.9296, best value: 170.725
it: 106, temperature: 16.5702, curr value: 112.708, best value: 170.725
it: 107, temperature: 16.5431, curr value: 100.968, best value: 170.725
it: 108, temperature: 16.5163, curr value: 99.446, best value: 170.725
it: 109, temperature: 16.4898, curr value: 114.886, best value: 170.725
it: 110, temperature: 16.4637, curr value: 103.78, best value: 170.725
it: 111, temperature: 16.4379, curr value: 138.856, best value: 170.725
it: 112, temperature: 16.4124, curr value: 153.462, best value: 170.725
it: 113, temperature: 16.3872, curr value: 153.462, best value: 170.725
it: 114, temperature: 16.3622, curr value: 153.141, best value: 170.725
it: 115, temperature: 16.3376, curr value: 126.296, best value: 170.725
it: 116, temperature: 16.3133, curr value: 151.797, best value: 170.725
it: 117, temperature: 16.2892, curr value: 151.797, best value: 170.725
it: 118, temperature: 16.2654, curr value: 116.883, best value: 170.725
it: 119, temperature: 16.2419, curr value: 125.503, best value: 170.725
it: 120, temperature: 16.2187, curr value: 132.407, best value: 170.725
it: 121, temperature: 16.1957, curr value: 120.431, best value: 170.725
it: 122, temperature: 16.1729, curr value: 138.274, best value: 170.725
it: 123, temperature: 16.1504, curr value: 134.981, best value: 170.725
it: 124, temperature: 16.1282, curr value: 152.356, best value: 170.725
it: 125, temperature: 16.1061, curr value: 154.166, best value: 170.725
it: 126, temperature: 16.0844, curr value: 162.188, best value: 170.725
it: 127, temperature: 16.0628, curr value: 162.188, best value: 170.725
it: 128, temperature: 16.0415, curr value: 109.179, best value: 170.725
it: 129, temperature: 16.0204, curr value: 147.089, best value: 170.725
it: 130, temperature: 15.9995, curr value: 141.516, best value: 170.725
it: 131, temperature: 15.9788, curr value: 136.513, best value: 170.725
it: 132, temperature: 15.9583, curr value: 117.732, best value: 170.725
it: 133, temperature: 15.938, curr value: 68.3156, best value: 170.725
it: 134, temperature: 15.918, curr value: 133.781, best value: 170.725
it: 135, temperature: 15.8981, curr value: 133.781, best value: 170.725
it: 136, temperature: 15.8784, curr value: 153.879, best value: 170.725
it: 137, temperature: 15.8589, curr value: 110.804, best value: 170.725
it: 138, temperature: 15.8397, curr value: 144.45, best value: 170.725
it: 139, temperature: 15.8205, curr value: 118.455, best value: 170.725
it: 140, temperature: 15.8016, curr value: 116.302, best value: 170.725
it: 141, temperature: 15.7829, curr value: 123.549, best value: 170.725
it: 142, temperature: 15.7643, curr value: 136.629, best value: 170.725
it: 143, temperature: 15.7459, curr value: 141.798, best value: 170.725
it: 144, temperature: 15.7277, curr value: 141.5, best value: 170.725
it: 145, temperature: 15.7096, curr value: 46.014, best value: 170.725
it: 146, temperature: 15.6917, curr value: 158.65, best value: 170.725
it: 147, temperature: 15.6739, curr value: 158.65, best value: 170.725
it: 148, temperature: 15.6564, curr value: 151.223, best value: 170.725
it: 149, temperature: 15.6389, curr value: 146.422, best value: 170.725
it: 150, temperature: 15.6217, curr value: 176.653, best value: 179.249
it: 151, temperature: 15.6046, curr value: 119.497, best value: 179.249
it: 152, temperature: 15.5876, curr value: 162.012, best value: 179.249
it: 153, temperature: 15.5708, curr value: 136.274, best value: 179.249
it: 154, temperature: 15.5541, curr value: 136.15, best value: 179.249
it: 155, temperature: 15.5376, curr value: 155.995, best value: 179.249
it: 156, temperature: 15.5212, curr value: 150.836, best value: 179.249
it: 157, temperature: 15.5049, curr value: 161.457, best value: 179.249
it: 158, temperature: 15.4888, curr value: 177.806, best value: 187.048
it: 159, temperature: 15.4728, curr value: 143.761, best value: 187.048
it: 160, temperature: 15.457, curr value: 161.069, best value: 187.048
it: 161, temperature: 15.4412, curr value: 161.308, best value: 187.048
it: 162, temperature: 15.4256, curr value: 168.153, best value: 187.048
it: 163, temperature: 15.4102, curr value: 159.881, best value: 187.048
it: 164, temperature: 15.3948, curr value: 159.881, best value: 187.048
it: 165, temperature: 15.3796, curr value: 159.881, best value: 187.048
it: 166, temperature: 15.3645, curr value: 168.153, best value: 187.048
it: 167, temperature: 15.3495, curr value: 177.233, best value: 187.048
it: 168, temperature: 15.3347, curr value: 161.308, best value: 187.048
it: 169, temperature: 15.3199, curr value: 182.425, best value: 187.048
it: 170, temperature: 15.3053, curr value: 188.133, best value: 192.606
it: 171, temperature: 15.2908, curr value: 167.063, best value: 192.606
it: 172, temperature: 15.2764, curr value: 167.063, best value: 192.606
it: 173, temperature: 15.2621, curr value: 142.737, best value: 192.606
it: 174, temperature: 15.2479, curr value: 145.103, best value: 192.606
it: 175, temperature: 15.2338, curr value: 121.387, best value: 192.606
it: 176, temperature: 15.2198, curr value: 141.993, best value: 192.606
it: 177, temperature: 15.206, curr value: 141.993, best value: 192.606
it: 178, temperature: 15.1922, curr value: 154.692, best value: 192.606
