candles read:
from: 2019-Feb-28 04:00:00
to: 2023-Apr-11 16:27:00
difference: 1503d 12:27:00.000000
count: 2160979
duration: 2.194888
began: 2023-Apr-20 10:11:27
it: 0, temperature: 94, curr value: -36.821, best value: 136.169
it: 1, temperature: 55.5179, curr value: -55.6056, best value: 146.362
it: 2, temperature: 44.7915, curr value: 233.245, best value: 242.404
it: 3, temperature: 39.3916, curr value: 210.046, best value: 242.404
it: 4, temperature: 36.0231, curr value: 215.559, best value: 242.404
it: 5, temperature: 33.6705, curr value: 72.1926, best value: 242.404
it: 6, temperature: 31.9086, curr value: 77.3275, best value: 242.404
it: 7, temperature: 30.525, curr value: 42.1017, best value: 242.404
it: 8, temperature: 29.4005, curr value: 111.735, best value: 242.404
it: 9, temperature: 28.4626, curr value: 122.853, best value: 242.404
it: 10, temperature: 27.6642, curr value: 152.751, best value: 242.404
it: 11, temperature: 26.9735, curr value: 109.216, best value: 242.404
it: 12, temperature: 26.3678, curr value: 69.6343, best value: 242.404
it: 13, temperature: 25.8309, curr value: 34.8126, best value: 242.404
it: 14, temperature: 25.3503, curr value: 84.6511, best value: 242.404
it: 15, temperature: 24.9166, curr value: 94.2066, best value: 242.404
it: 16, temperature: 24.5225, curr value: 75.2164, best value: 242.404
it: 17, temperature: 24.1622, curr value: 125.423, best value: 242.404
it: 18, temperature: 23.831, curr value: 85.4652, best value: 242.404
it: 19, temperature: 23.5251, curr value: 200.572, best value: 242.404
it: 20, temperature: 23.2413, curr value: 242.559, best value: 242.559
it: 21, temperature: 22.977, curr value: 182.65, best value: 242.559
it: 22, temperature: 22.7301, curr value: 206.428, best value: 242.559
it: 23, temperature: 22.4985, curr value: 223.112, best value: 242.559
it: 24, temperature: 22.2808, curr value: 229.338, best value: 242.559
it: 25, temperature: 22.0756, curr value: 229.338, best value: 242.559
it: 26, temperature: 21.8817, curr value: 264.683, best value: 264.683
it: 27, temperature: 21.698, curr value: 228.292, best value: 264.683
it: 28, temperature: 21.5236, curr value: 248.825, best value: 264.683
it: 29, temperature: 21.3578, curr value: 250.965, best value: 264.683
it: 30, temperature: 21.1999, curr value: 244.456, best value: 264.683
it: 31, temperature: 21.0492, curr value: 251.779, best value: 264.683
it: 32, temperature: 20.9051, curr value: 230.581, best value: 264.683
it: 33, temperature: 20.7672, curr value: 242.559, best value: 264.683
it: 34, temperature: 20.6351, curr value: 227.558, best value: 264.683
it: 35, temperature: 20.5083, curr value: 246.984, best value: 264.683
it: 36, temperature: 20.3864, curr value: 238.821, best value: 264.683
