candles read:
from: 2017-Aug-17 04:00:00
to: 2023-Apr-11 22:10:00
difference: 2063d 18:10:00.000000
count: 2963250
duration: 4.169991
began: 2023-Apr-19 21:09:18
it: 0, temperature: 54, curr value: -71.6554, best value: -52.02
it: 1, temperature: 31.8933, curr value: 133.277, best value: 133.277
it: 2, temperature: 25.7313, curr value: 209.506, best value: 209.506
it: 3, temperature: 22.6292, curr value: 182.93, best value: 209.506
it: 4, temperature: 20.6941, curr value: 206.758, best value: 209.506
it: 5, temperature: 19.3426, curr value: 182.93, best value: 209.506
it: 6, temperature: 18.3305, curr value: 206.758, best value: 209.506
it: 7, temperature: 17.5356, curr value: 206.758, best value: 209.506
it: 8, temperature: 16.8896, curr value: 206.758, best value: 209.506
it: 9, temperature: 16.3508, curr value: 182.93, best value: 209.506
it: 10, temperature: 15.8922, curr value: 254.66, best value: 260.159
it: 11, temperature: 15.4954, curr value: 250.326, best value: 262.416
it: 12, temperature: 15.1475, curr value: 244.937, best value: 262.416
it: 13, temperature: 14.839, curr value: 247.177, best value: 262.416
it: 14, temperature: 14.5629, curr value: 257.336, best value: 262.416
it: 15, temperature: 14.3138, curr value: 223.42, best value: 262.416
it: 16, temperature: 14.0874, curr value: 167.575, best value: 262.416
it: 17, temperature: 13.8804, curr value: 231.755, best value: 262.416
it: 18, temperature: 13.6902, curr value: 231.755, best value: 262.416
it: 19, temperature: 13.5144, curr value: 305.686, best value: 305.686
it: 20, temperature: 13.3514, curr value: 305.686, best value: 305.686
it: 21, temperature: 13.1996, curr value: 306.978, best value: 306.978
it: 22, temperature: 13.0577, curr value: 306.978, best value: 306.978
it: 23, temperature: 12.9247, curr value: 306.978, best value: 306.978
it: 24, temperature: 12.7996, curr value: 291.573, best value: 306.978
it: 25, temperature: 12.6817, curr value: 331.592, best value: 331.592
it: 26, temperature: 12.5703, curr value: 331.592, best value: 331.592
it: 27, temperature: 12.4648, curr value: 331.592, best value: 331.592
it: 28, temperature: 12.3646, curr value: 345.129, best value: 345.129
it: 29, temperature: 12.2694, curr value: 331.592, best value: 345.129
it: 30, temperature: 12.1787, curr value: 331.592, best value: 345.129
it: 31, temperature: 12.0921, curr value: 331.592, best value: 345.129
it: 32, temperature: 12.0093, curr value: 331.592, best value: 345.129
it: 33, temperature: 11.9301, curr value: 331.592, best value: 345.129
it: 34, temperature: 11.8542, curr value: 331.592, best value: 345.129
it: 35, temperature: 11.7813, curr value: 331.592, best value: 345.129
it: 36, temperature: 11.7113, curr value: 336.827, best value: 345.129
it: 37, temperature: 11.644, curr value: 332.888, best value: 345.129
it: 38, temperature: 11.5791, curr value: 350.936, best value: 350.936
it: 39, temperature: 11.5166, curr value: 350.936, best value: 350.936
it: 40, temperature: 11.4563, curr value: 350.936, best value: 350.936
it: 41, temperature: 11.398, curr value: 345.129, best value: 350.936
it: 42, temperature: 11.3417, curr value: 345.129, best value: 350.936
it: 43, temperature: 11.2872, curr value: 345.129, best value: 350.936
it: 44, temperature: 11.2344, curr value: 331.552, best value: 350.936
it: 45, temperature: 11.1833, curr value: 331.592, best value: 350.936
it: 46, temperature: 11.1337, curr value: 331.592, best value: 350.936
it: 47, temperature: 11.0856, curr value: 331.592, best value: 350.936
it: 48, temperature: 11.0388, curr value: 331.592, best value: 350.936
it: 49, temperature: 10.9934, curr value: 331.552, best value: 350.936
it: 50, temperature: 10.9493, curr value: 331.552, best value: 350.936
it: 51, temperature: 10.9064, curr value: 331.552, best value: 350.936
it: 52, temperature: 10.8646, curr value: 331.552, best value: 350.936
it: 53, temperature: 10.8238, curr value: 345.129, best value: 350.936
it: 54, temperature: 10.7842, curr value: 345.129, best value: 350.936
it: 55, temperature: 10.7455, curr value: 345.129, best value: 350.936
it: 56, temperature: 10.7078, curr value: 345.129, best value: 350.936
it: 57, temperature: 10.671, curr value: 345.129, best value: 350.936
it: 58, temperature: 10.6351, curr value: 345.129, best value: 350.936
it: 59, temperature: 10.6, curr value: 350.936, best value: 350.936
it: 60, temperature: 10.5657, curr value: 350.936, best value: 350.936
it: 61, temperature: 10.5322, curr value: 350.936, best value: 350.936
it: 62, temperature: 10.4994, curr value: 336.827, best value: 350.936
it: 63, temperature: 10.4674, curr value: 336.827, best value: 350.936
it: 64, temperature: 10.436, curr value: 336.827, best value: 350.936
it: 65, temperature: 10.4053, curr value: 325.52, best value: 350.936
it: 66, temperature: 10.3753, curr value: 325.52, best value: 350.936
it: 67, temperature: 10.3458, curr value: 350.936, best value: 350.936
it: 68, temperature: 10.3169, curr value: 350.936, best value: 350.936
it: 69, temperature: 10.2887, curr value: 350.936, best value: 350.936
it: 70, temperature: 10.2609, curr value: 350.936, best value: 350.936
it: 71, temperature: 10.2337, curr value: 350.936, best value: 350.936
it: 72, temperature: 10.2071, curr value: 350.936, best value: 350.936
it: 73, temperature: 10.1809, curr value: 350.936, best value: 350.936
it: 74, temperature: 10.1552, curr value: 350.936, best value: 350.936
it: 75, temperature: 10.1299, curr value: 350.936, best value: 350.936
it: 76, temperature: 10.1052, curr value: 350.936, best value: 350.936
it: 77, temperature: 10.0808, curr value: 336.827, best value: 350.936
it: 78, temperature: 10.0569, curr value: 336.827, best value: 350.936
it: 79, temperature: 10.0334, curr value: 336.827, best value: 350.936
it: 80, temperature: 10.0103, curr value: 336.827, best value: 350.936
it: 81, temperature: 9.98757, curr value: 336.827, best value: 350.936
it: 82, temperature: 9.96523, curr value: 336.827, best value: 350.936
it: 83, temperature: 9.94326, curr value: 336.827, best value: 350.936
it: 84, temperature: 9.92164, curr value: 336.648, best value: 350.936
it: 85, temperature: 9.90036, curr value: 329.306, best value: 350.936
it: 86, temperature: 9.87942, curr value: 350.936, best value: 350.936
it: 87, temperature: 9.85881, curr value: 350.936, best value: 350.936
