candles read:
from: 2018-Apr-17 04:02:00
to: 2023-Apr-12 11:26:00
difference: 1821d 07:24:00.000000
count: 2616803
duration: 3.619039
began: 2023-Apr-19 21:14:50
it: 0, temperature: 72, curr value: 250.194, best value: 375.917
it: 1, temperature: 42.5244, curr value: 433.342, best value: 433.342
it: 2, temperature: 34.3084, curr value: 222.639, best value: 433.342
it: 3, temperature: 30.1723, curr value: 379.788, best value: 433.342
it: 4, temperature: 27.5921, curr value: 698.142, best value: 698.142
it: 5, temperature: 25.7902, curr value: 667.786, best value: 698.142
it: 6, temperature: 24.4407, curr value: 650.3, best value: 698.142
it: 7, temperature: 23.3809, curr value: 650.3, best value: 698.142
it: 8, temperature: 22.5195, curr value: 650.3, best value: 698.142
it: 9, temperature: 21.8011, curr value: 703.288, best value: 703.288
it: 10, temperature: 21.1896, curr value: 598.441, best value: 703.288
it: 11, temperature: 20.6605, curr value: 615.053, best value: 703.288
it: 12, temperature: 20.1966, curr value: 643.159, best value: 703.288
it: 13, temperature: 19.7853, curr value: 643.159, best value: 703.288
it: 14, temperature: 19.4172, curr value: 676.069, best value: 703.288
it: 15, temperature: 19.085, curr value: 676.069, best value: 703.288
it: 16, temperature: 18.7832, curr value: 703.582, best value: 703.582
it: 17, temperature: 18.5072, curr value: 703.582, best value: 703.582
it: 18, temperature: 18.2535, curr value: 749.084, best value: 749.084
it: 19, temperature: 18.0192, curr value: 730.727, best value: 754.849
it: 20, temperature: 17.8019, curr value: 741.013, best value: 754.849
it: 21, temperature: 17.5994, curr value: 741.013, best value: 754.849
it: 22, temperature: 17.4103, curr value: 754.849, best value: 754.849
it: 23, temperature: 17.2329, curr value: 754.849, best value: 754.849
it: 24, temperature: 17.0662, curr value: 754.849, best value: 754.849
it: 25, temperature: 16.909, curr value: 741.013, best value: 754.849
it: 26, temperature: 16.7604, curr value: 741.013, best value: 754.849
it: 27, temperature: 16.6197, curr value: 754.849, best value: 754.849
it: 28, temperature: 16.4862, curr value: 754.849, best value: 754.849
it: 29, temperature: 16.3592, curr value: 718.324, best value: 754.849
