candles read:
from: 2019-Mar-28 04:00:00
to: 2023-Apr-12 09:28:00
difference: 1476d 05:28:00.000000
count: 2122039
duration: 2.430015
began: 2023-Apr-20 08:09:05
it: 0, temperature: 100, curr value: 36.3645, best value: 36.3645
it: 1, temperature: 59.0616, curr value: -53.7461, best value: 63.8964
it: 2, temperature: 47.6505, curr value: -34.0069, best value: 63.8964
it: 3, temperature: 41.906, curr value: -56.0354, best value: 63.8964
it: 4, temperature: 38.3224, curr value: -28.9055, best value: 63.8964
it: 5, temperature: 35.8197, curr value: -56.7824, best value: 63.8964
it: 6, temperature: 33.9454, curr value: -58.6801, best value: 63.8964
it: 7, temperature: 32.4734, curr value: 2.79853, best value: 63.8964
it: 8, temperature: 31.2771, curr value: -14.1135, best value: 63.8964
it: 9, temperature: 30.2793, curr value: -56.711, best value: 63.8964
it: 10, temperature: 29.43, curr value: -55.1215, best value: 63.8964
it: 11, temperature: 28.6952, curr value: -56.7645, best value: 63.8964
it: 12, temperature: 28.0509, curr value: -54.8317, best value: 63.8964
it: 13, temperature: 27.4796, curr value: -56.3276, best value: 63.8964
it: 14, temperature: 26.9684, curr value: -61.7174, best value: 63.8964
it: 15, temperature: 26.507, curr value: 43.4641, best value: 63.8964
it: 16, temperature: 26.0878, curr value: -18.7927, best value: 63.8964
it: 17, temperature: 25.7045, curr value: -26.7649, best value: 63.8964
it: 18, temperature: 25.3521, curr value: -15.6326, best value: 63.8964
it: 19, temperature: 25.0267, curr value: 58.8385, best value: 63.8964
it: 20, temperature: 24.7248, curr value: 70.0817, best value: 70.0817
it: 21, temperature: 24.4436, curr value: 66.7096, best value: 73.931
it: 22, temperature: 24.1809, curr value: 42.4746, best value: 73.931
it: 23, temperature: 23.9346, curr value: 42.4746, best value: 73.931
it: 24, temperature: 23.703, curr value: 28.1594, best value: 73.931
it: 25, temperature: 23.4847, curr value: 26.8998, best value: 73.931
it: 26, temperature: 23.2784, curr value: 55.3216, best value: 73.931
it: 27, temperature: 23.0829, curr value: 34.5977, best value: 73.931
it: 28, temperature: 22.8975, curr value: 51.7696, best value: 73.931
it: 29, temperature: 22.7211, curr value: 37.5505, best value: 73.931
it: 30, temperature: 22.5531, curr value: 38.8758, best value: 73.931
it: 31, temperature: 22.3927, curr value: 56.5595, best value: 73.931
it: 32, temperature: 22.2395, curr value: 55.6193, best value: 73.931
it: 33, temperature: 22.0928, curr value: 42.291, best value: 73.931
it: 34, temperature: 21.9522, curr value: 11.8952, best value: 73.931
it: 35, temperature: 21.8173, curr value: -10.8425, best value: 73.931
it: 36, temperature: 21.6877, curr value: -22.4677, best value: 73.931
it: 37, temperature: 21.5629, curr value: -30.506, best value: 73.931
it: 38, temperature: 21.4428, curr value: -15.7423, best value: 73.931
it: 39, temperature: 21.3271, curr value: -13.9244, best value: 73.931
it: 40, temperature: 21.2153, curr value: -12.4512, best value: 73.931
it: 41, temperature: 21.1074, curr value: -43.3184, best value: 73.931
it: 42, temperature: 21.0031, curr value: 53.0562, best value: 73.931
it: 43, temperature: 20.9022, curr value: 67.5992, best value: 107.489
it: 44, temperature: 20.8045, curr value: 92.9615, best value: 107.489
it: 45, temperature: 20.7098, curr value: 74.7567, best value: 107.489
it: 46, temperature: 20.6179, curr value: 46.4499, best value: 107.489
it: 47, temperature: 20.5288, curr value: 27.5117, best value: 107.489
it: 48, temperature: 20.4423, curr value: 38.368, best value: 107.489
it: 49, temperature: 20.3582, curr value: 46.5025, best value: 107.489
it: 50, temperature: 20.2765, curr value: 26.0156, best value: 107.489
