candles read:
from: 2018-Apr-17 04:02:00
to: 2023-Apr-12 11:26:00
difference: 1821d 07:24:00.000000
count: 2616803
duration: 4.362076
began: 2023-Apr-19 19:59:28
it: 0, temperature: 128, curr value: -52.9234, best value: -50.5558
it: 1, temperature: 75.5989, curr value: 436.449, best value: 636.092
it: 2, temperature: 60.9927, curr value: 713.552, best value: 713.552
it: 3, temperature: 53.6397, curr value: 746.227, best value: 746.227
it: 4, temperature: 49.0527, curr value: 741.013, best value: 746.227
it: 5, temperature: 45.8492, curr value: 626.088, best value: 754.849
it: 6, temperature: 43.4501, curr value: 690.933, best value: 754.849
it: 7, temperature: 41.566, curr value: 570.188, best value: 754.849
it: 8, temperature: 40.0347, curr value: 668.426, best value: 754.849
it: 9, temperature: 38.7575, curr value: 513.266, best value: 754.849
it: 10, temperature: 37.6704, curr value: 652.569, best value: 754.849
it: 11, temperature: 36.7298, curr value: 628.31, best value: 754.849
it: 12, temperature: 35.9051, curr value: 728.265, best value: 754.849
it: 13, temperature: 35.1739, curr value: 728.265, best value: 754.849
