candles read:
from: 2019-Mar-28 04:00:00
to: 2023-Apr-12 09:28:00
difference: 1476d 05:28:00.000000
count: 2122039
duration: 2.806112
began: 2023-Apr-19 20:47:57
it: 0, temperature: 54, curr value: -35.2126, best value: -40.7431
it: 1, temperature: 31.8933, curr value: -40.8584, best value: 64.8815
it: 2, temperature: 25.7313, curr value: -57.8013, best value: 64.8815
it: 3, temperature: 22.6292, curr value: -27.6627, best value: 64.8815
it: 4, temperature: 20.6941, curr value: 60.163, best value: 84.0201
it: 5, temperature: 19.3426, curr value: 42.3583, best value: 85.1454
it: 6, temperature: 18.3305, curr value: -38.1165, best value: 85.1454
it: 7, temperature: 17.5356, curr value: 36.6233, best value: 85.1454
it: 8, temperature: 16.8896, curr value: 79.8026, best value: 85.1454
it: 9, temperature: 16.3508, curr value: 27.2451, best value: 85.1454
it: 10, temperature: 15.8922, curr value: 96.1498, best value: 96.1498
it: 11, temperature: 15.4954, curr value: -19.2006, best value: 96.1498
it: 12, temperature: 15.1475, curr value: -9.59771, best value: 96.1498
it: 13, temperature: 14.839, curr value: 92.9716, best value: 98.7539
it: 14, temperature: 14.5629, curr value: 27.0523, best value: 122.799
it: 15, temperature: 14.3138, curr value: 116.833, best value: 122.799
it: 16, temperature: 14.0874, curr value: 123.062, best value: 138.123
it: 17, temperature: 13.8804, curr value: 119.572, best value: 138.123
it: 18, temperature: 13.6902, curr value: 105.608, best value: 138.123
it: 19, temperature: 13.5144, curr value: 112.72, best value: 138.123
it: 20, temperature: 13.3514, curr value: 98.4949, best value: 138.123
it: 21, temperature: 13.1996, curr value: 136.116, best value: 138.123
it: 22, temperature: 13.0577, curr value: 81.5153, best value: 138.123
it: 23, temperature: 12.9247, curr value: 103.984, best value: 138.123
it: 24, temperature: 12.7996, curr value: 49.1922, best value: 138.123
it: 25, temperature: 12.6817, curr value: 78.95, best value: 138.123
it: 26, temperature: 12.5703, curr value: 41.8587, best value: 138.123
it: 27, temperature: 12.4648, curr value: 48.49, best value: 138.123
it: 28, temperature: 12.3646, curr value: 118.224, best value: 138.123
it: 29, temperature: 12.2694, curr value: 133.506, best value: 138.123
it: 30, temperature: 12.1787, curr value: 108.636, best value: 138.123
it: 31, temperature: 12.0921, curr value: 112.72, best value: 138.123
it: 32, temperature: 12.0093, curr value: 108.636, best value: 138.123
it: 33, temperature: 11.9301, curr value: 76.0472, best value: 138.123
it: 34, temperature: 11.8542, curr value: 85.1923, best value: 138.123
it: 35, temperature: 11.7813, curr value: 100.694, best value: 138.123
it: 36, temperature: 11.7113, curr value: 100.046, best value: 138.123
it: 37, temperature: 11.644, curr value: 105.708, best value: 138.123
it: 38, temperature: 11.5791, curr value: 124.53, best value: 138.123
it: 39, temperature: 11.5166, curr value: 120.321, best value: 138.123
it: 40, temperature: 11.4563, curr value: 113.846, best value: 138.123
it: 41, temperature: 11.398, curr value: 122.799, best value: 138.123
it: 42, temperature: 11.3417, curr value: 130.618, best value: 138.123
it: 43, temperature: 11.2872, curr value: 115.307, best value: 138.123
it: 44, temperature: 11.2344, curr value: 43.9804, best value: 138.123
it: 45, temperature: 11.1833, curr value: 130.22, best value: 138.123
it: 46, temperature: 11.1337, curr value: 90.0906, best value: 138.123
it: 47, temperature: 11.0856, curr value: 124.848, best value: 138.123
it: 48, temperature: 11.0388, curr value: 138.123, best value: 138.123
it: 49, temperature: 10.9934, curr value: 89.2519, best value: 138.123
it: 50, temperature: 10.9493, curr value: 123.419, best value: 138.123
it: 51, temperature: 10.9064, curr value: 99.886, best value: 138.123
it: 52, temperature: 10.8646, curr value: 115.23, best value: 138.123
