curr state net profit,temperature,mean threshold worse acceptance
1.702637,57.000000,0.888268
6619.643066,56.943001,0.823319
6056.908691,56.886058,0.835266
3490.433594,56.829173,0.722464
17821.078125,56.772345,0.798834
1804.256592,56.715573,0.628023
916.107300,56.658858,0.857613
860.377441,56.602200,0.807427
5442.970703,56.545599,0.833979
0.000000,56.489054,0.752323
5296.317383,56.432565,0.828503
7863.797363,56.376134,0.845418
25422.003906,56.319758,0.645397
27481.253906,56.263439,0.342509
47083.300781,56.207176,0.709179
49142.679688,56.150970,0.830119
55669.625000,56.094820,0.852831
55669.625000,56.038726,0.698290
47083.300781,55.982688,0.784726
56831.968750,55.926706,0.377355
97876.257812,55.870780,0.765662
97876.257812,55.814910,0.511523
87610.437500,55.759095,0.411048
87610.437500,55.703337,0.164353
87610.437500,55.647634,0.000000
87610.437500,55.591988,0.000000
102695.007812,55.536396,0.404047
102695.007812,55.480861,0.000000
101319.304688,55.425380,0.441079
99894.710938,55.369956,0.773358
99894.710938,55.314587,0.000000
96645.718750,55.259273,0.555790
79033.117188,55.204014,0.031520
82491.242188,55.148811,0.763278
104166.476562,55.093663,0.000000
98040.921875,55.038570,0.440243
100464.468750,54.983532,0.776092
98040.921875,54.928549,0.499316
96158.445312,54.873621,0.428858
99956.937500,54.818748,0.541042
90444.304688,54.763930,0.658794
85404.085938,54.709167,0.375313
93513.046875,54.654459,0.616603
91254.093750,54.599805,0.589936
90444.304688,54.545206,0.429572
93513.046875,54.490661,0.398470
96527.718750,54.436171,0.606772
85404.085938,54.381736,0.262879
85404.085938,54.327355,0.313723
94050.203125,54.273028,0.000000
90444.304688,54.218756,0.431977
88303.195312,54.164538,0.564178
88303.195312,54.110374,0.579954
96645.718750,54.056264,0.664240
102695.007812,54.002209,0.000000
100464.468750,53.948207,0.661627
96645.718750,53.894260,0.403256
99894.710938,53.840366,0.000000
96645.718750,53.786526,0.325121
96645.718750,53.732741,0.000000
104166.476562,53.679008,0.625646
96158.445312,53.625330,0.456838
93513.046875,53.571705,0.610607
86651.351562,53.518134,0.474580
87898.515625,53.464617,0.415101
96527.718750,53.411153,0.649674
96158.445312,53.357743,0.933190
96158.445312,53.304386,0.933126
90444.304688,53.251082,0.342328
93513.046875,53.197831,0.654285
91254.093750,53.144634,0.654007
95415.195312,53.091490,0.712940
92335.945312,53.038400,0.736486
96645.718750,52.985362,0.446654
102695.007812,52.932377,0.000000
98040.921875,52.879445,0.430103
98040.921875,52.826567,0.768101
104166.476562,52.773741,0.537628
102695.007812,52.720968,0.464738
106123.781250,52.668247,0.000000
96645.718750,52.615580,0.423040
96645.718750,52.562965,0.316728
98040.921875,52.510403,0.630605
96645.718750,52.457893,0.616452
99894.710938,52.405436,0.000000
96645.718750,52.353031,0.537960
96645.718750,52.300679,0.537626
98040.921875,52.248379,0.535788
96645.718750,52.196131,0.765657
99894.710938,52.143935,0.000000
96645.718750,52.091792,0.650769
96645.718750,52.039701,0.622737
96645.718750,51.987662,0.535621
98040.921875,51.935675,0.000000
96645.718750,51.883740,0.764427
100464.468750,51.831857,0.000000
96645.718750,51.780026,0.695266
102695.007812,51.728246,0.515729
96645.718750,51.676519,0.563842
96645.718750,51.624843,0.533276
96645.718750,51.573219,0.532940
90444.304688,51.521646,0.300454
85404.085938,51.470125,0.580474
94858.164062,51.418656,0.363412
75171.617188,51.367238,0.274697
72679.328125,51.315871,0.035050
69622.390625,51.264556,0.456342
85800.882812,51.213292,0.618894
53091.699219,51.162080,0.219455
51447.300781,51.110918,0.714883
35238.445312,51.059808,0.481303
43376.261719,51.008749,0.313948
41018.945312,50.957741,0.682749
47923.242188,50.906784,0.000000
45810.109375,50.855877,0.462548
38890.085938,50.805022,0.565906
42267.839844,50.754218,0.618841
31645.375000,50.703464,0.529674
36384.773438,50.652761,0.122381
30356.759766,50.602109,0.402159
17001.498047,50.551508,0.612331
44377.707031,50.500957,0.567385
41018.945312,50.450457,0.514229
50614.355469,50.400007,0.814056
30599.191406,50.349608,0.499319
23715.621094,50.299259,0.640897
24210.796875,50.248960,0.638619
42564.679688,50.198712,0.552423
65861.742188,50.148514,0.883025
60807.203125,50.098366,0.418131
85185.695312,50.048268,0.290387
76971.765625,49.998220,0.193747
76971.765625,49.948223,0.570675
64836.156250,49.898275,0.419855
63708.171875,49.848378,0.797671
67584.093750,49.798530,0.341747
78810.671875,49.748732,0.582037
79821.242188,49.698984,0.261975
90325.671875,49.649286,0.000000
79821.242188,49.599637,0.527384
90648.023438,49.550038,0.402735
68241.820312,49.500488,0.475928
74472.312500,49.450989,0.593601
82175.226562,49.401538,0.388206
87573.281250,49.352137,0.699359
91086.382812,49.302786,0.414020
102695.007812,49.253484,0.331208
96645.718750,49.204231,0.292822
100464.468750,49.155027,0.516693
100464.468750,49.105873,0.000000
100464.468750,49.056768,0.746597
100464.468750,49.007712,0.271613
96645.718750,48.958704,0.458772
96645.718750,48.909746,0.000000
100464.468750,48.860837,0.000000
96645.718750,48.811977,0.457698
106716.859375,48.763166,0.000000
98040.921875,48.714403,0.438731
96645.718750,48.665689,0.632121
99894.710938,48.617024,0.000000
96645.718750,48.568408,0.619588
96645.718750,48.519840,0.000000
100464.468750,48.471321,0.678471
102695.007812,48.422850,0.000000
99894.710938,48.374428,0.397421
98040.921875,48.326054,0.281877
96645.718750,48.277729,0.749242
90444.304688,48.229452,0.281210
96158.445312,48.181223,0.761012
96158.445312,48.133042,0.000000
93513.046875,48.084910,0.611310
90444.304688,48.036825,0.644313
75310.210938,47.988789,0.537298
86364.562500,47.940801,0.726055
84500.320312,47.892861,0.408314
84500.320312,47.844969,0.415711
90325.671875,47.797124,0.000000
79980.687500,47.749328,0.221367
70286.296875,47.701579,0.349208
65475.175781,47.653878,0.229810
79129.656250,47.606225,0.000000
74691.164062,47.558619,0.243210
82307.164062,47.511061,0.711754
79129.656250,47.463551,0.753216
96527.718750,47.416088,0.911904
96158.445312,47.368672,0.715599
94050.203125,47.321304,0.299298
99756.601562,47.273984,0.457514
97547.828125,47.226710,0.801539
93513.046875,47.179484,0.466826
92554.125000,47.132305,0.619523
96645.718750,47.085174,0.627897
102695.007812,47.038089,0.276719
86364.562500,46.991052,0.480649
87901.835938,46.944061,0.000000
93904.078125,46.897118,0.720742
93475.968750,46.850221,0.912746
85344.742188,46.803372,0.527032
87898.515625,46.756569,0.472918
93513.046875,46.709813,0.517205
90444.304688,46.663104,0.518407
85404.085938,46.616441,0.538310
94050.203125,46.569825,0.586554
93513.046875,46.523256,0.503290
96158.445312,46.476733,0.091538
96158.445312,46.430257,0.292448
96527.718750,46.383828,0.529360
96527.718750,46.337444,0.692933
88821.125000,46.291107,0.703014
87898.515625,46.244817,0.477983
94050.203125,46.198573,0.754819
94050.203125,46.152375,0.745805
100464.468750,46.106223,0.732764
99894.710938,46.060117,0.883765
99894.710938,46.014058,0.701320
96645.718750,45.968044,0.493572
96645.718750,45.922077,0.000000
96645.718750,45.876155,0.000000
96645.718750,45.830280,0.267507
96645.718750,45.784450,0.000000
100464.468750,45.738666,0.000000
96645.718750,45.692928,0.433920
100464.468750,45.647236,0.000000
96645.718750,45.601589,0.461988
96645.718750,45.555988,0.000000
99894.710938,45.510433,0.000000
96645.718750,45.464923,0.489731
102695.007812,45.419459,0.000000
102695.007812,45.374040,0.000000
102695.007812,45.328666,0.000000
96645.718750,45.283338,0.263280
100464.468750,45.238055,0.000000
96645.718750,45.192818,0.429930
102695.007812,45.147626,0.000000
101899.476562,45.102479,0.605239
100464.468750,45.057377,0.727480
96645.718750,45.012320,0.428477
100464.468750,44.967308,0.019020
96645.718750,44.922342,0.427750
96645.718750,44.877420,0.000000
98040.921875,44.832543,0.000000
96527.718750,44.787711,0.232701
99756.601562,44.742924,0.000000
96158.445312,44.698181,0.703362
96527.718750,44.653484,0.000000
90648.023438,44.608831,0.268004
91202.640625,44.564223,0.620505
90325.671875,44.519659,0.745234
89892.250000,44.475140,0.843878
78156.843750,44.430665,0.459452
75720.195312,44.386235,0.269725
77656.742188,44.341850,0.556797
80642.382812,44.297508,0.534518
66250.921875,44.253211,0.272834
79682.125000,44.208959,0.657209
77520.757812,44.164750,0.351856
81871.968750,44.120586,0.544174
56599.574219,44.076466,0.347233
55418.796875,44.032390,0.622840
60752.191406,43.988358,0.520944
59054.179688,43.944371,0.632153
64080.886719,43.900427,0.737520
77468.953125,43.856527,0.488114
69677.390625,43.812671,0.625588
71947.632812,43.768859,0.903493
77490.171875,43.725091,0.754538
76971.757812,43.681366,0.961418
78525.640625,43.637685,0.000000
75648.171875,43.594048,0.710727
72850.398438,43.550455,0.693944
72850.398438,43.506905,0.773799
76231.992188,43.463398,0.689923
77795.039062,43.419936,0.714421
76460.398438,43.376516,0.715245
67337.570312,43.333140,0.634778
72777.867188,43.289808,0.000000
69345.835938,43.246518,0.674152
70780.726562,43.203273,0.000000
69345.835938,43.160070,0.524203
68969.062500,43.116910,0.577305
60444.519531,43.073794,0.444100
60812.789062,43.030721,0.319381
64378.535156,42.987691,0.190791
67957.617188,42.944703,0.604782
58503.035156,42.901759,0.525522
58490.363281,42.858858,0.465803
58091.992188,42.816000,0.666250
53798.734375,42.773184,0.352042
68946.484375,42.730412,0.676327
68946.484375,42.687682,0.000000
75359.484375,42.644995,0.000000
75359.484375,42.602350,0.597999
68946.484375,42.559748,0.472790
72384.460938,42.517189,0.000000
68946.484375,42.474673,0.626885
70619.250000,42.432198,0.674471
68946.484375,42.389767,0.559482
62569.429688,42.347378,0.516883
63563.371094,42.305031,0.000000
66838.328125,42.262726,0.779262
68454.546875,42.220464,0.764080
71793.609375,42.178244,0.681946
61577.234375,42.136066,0.599818
64171.996094,42.093931,0.000000
66838.328125,42.051838,0.885885
63096.113281,42.009786,0.588333
63096.113281,41.967777,0.696592
62569.429688,41.925810,0.696340
62149.371094,41.883884,0.180198
80814.093750,41.842001,0.000000
80927.750000,41.800160,0.683764
81186.085938,41.758360,0.693783
78123.617188,41.716602,0.671570
76322.984375,41.674886,0.649446
76322.984375,41.633212,0.000000
77869.296875,41.591579,0.590519
67981.914062,41.549988,0.511135
67981.914062,41.508439,0.000000
85152.453125,41.466931,0.000000
85152.453125,41.425464,0.692642
79470.023438,41.384039,0.316624
74103.296875,41.342656,0.273403
80812.468750,41.301314,0.212489
80715.265625,41.260013,0.451519
81554.062500,41.218754,0.575566
73795.835938,41.177535,0.076197
70062.203125,41.136358,0.535966
80812.468750,41.095222,0.542389
79477.453125,41.054128,0.259096
74132.820312,41.013074,0.179667
82937.406250,40.972062,0.467140
71795.843750,40.931090,0.303364
70105.078125,40.890160,0.695969
70105.078125,40.849270,0.000000
71795.843750,40.808421,0.000000
70105.078125,40.767613,0.562157
78787.835938,40.726846,0.839431
76199.453125,40.686120,0.572057
64109.601562,40.645434,0.164061
69312.257812,40.604789,0.509683
67035.296875,40.564185,0.577844
64221.871094,40.523621,0.730638
62691.375000,40.483098,0.510596
67853.031250,40.442616,0.000000
43353.312500,40.402174,0.385058
54211.218750,40.361772,0.565654
54211.218750,40.321411,0.554432
70541.992188,40.281090,0.555587
79386.695312,40.240809,0.690553
75256.664062,40.200569,0.346482
76222.351562,40.160369,0.649164
76688.656250,40.120209,0.715688
58158.867188,40.080089,0.490311
72559.117188,40.040010,0.767013
77673.679688,39.999970,0.000000
77673.679688,39.959971,0.496760
72340.382812,39.920011,0.263247
74845.851562,39.880092,0.455301
76971.765625,39.840212,0.722168
75369.976562,39.800373,0.668943
76997.015625,39.760573,0.000000
76199.453125,39.720813,0.647315
71521.664062,39.681092,0.609451
78649.195312,39.641412,0.000000
77685.335938,39.601771,0.654981
51790.718750,39.562170,0.411507
47673.457031,39.522608,0.661254
46685.820312,39.483086,0.778885
53835.500000,39.443603,0.000000
69484.570312,39.404160,0.646094
79470.023438,39.364757,0.015471
93200.414062,39.325392,0.000000
96308.335938,39.286067,0.000000
96308.335938,39.246782,0.198572
89957.351562,39.207536,0.325618
89957.351562,39.168329,0.416559
84906.953125,39.129161,0.671334
83685.070312,39.090032,0.605545
86523.820312,39.050943,0.000000
86523.820312,39.011892,0.448790
76645.343750,38.972881,0.500271
80199.265625,38.933908,0.000000
80374.882812,38.894975,0.517033
80199.265625,38.856080,0.404307
81358.750000,38.817225,0.742002
74103.296875,38.778408,0.551294
79470.023438,38.739630,0.604223
76645.343750,38.700891,0.250241
85152.453125,38.662191,0.515472
82394.507812,38.623529,0.384558
