curr state net profit,temperature,mean threshold worse acceptance
2978.879395,128.000000,0.873280
2633.220703,75.598862,0.903454
57718.500000,60.992686,0.691423
616.292480,53.639652,0.606542
1944.708862,49.052710,0.668765
2672.294922,45.849222,0.771762
11043.521484,43.450069,0.595255
7002.996094,41.565978,0.634545
10636.067383,40.034723,0.584146
36665.683594,38.757518,0.611249
21372.914062,37.670378,0.517058
31592.947266,36.729822,0.599526
62402.941406,35.905138,0.497701
68659.421875,35.173944,0.609638
69517.195312,34.519490,0.588177
60333.460938,33.928957,0.515666
67490.390625,33.392350,0.598274
68574.734375,32.901740,0.596950
59102.546875,32.450749,0.455541
65875.000000,32.034178,0.488655
71453.656250,31.647741,0.625083
57912.531250,31.287869,0.478916
64823.363281,30.951561,0.497629
67490.390625,30.636274,0.519842
64823.363281,30.339836,0.482038
65051.546875,30.060380,0.501847
61402.007812,29.796290,0.464657
64823.363281,29.546158,0.615303
71453.656250,29.308754,0.493108
68659.421875,29.082995,0.491707
64823.363281,28.867923,0.564460
68331.156250,28.662689,0.734120
70639.414062,28.466537,0.606014
99577.937500,28.278790,0.584404
92860.843750,28.098841,0.364928
92860.843750,27.926142,0.379535
102569.179688,27.760199,0.506475
92860.843750,27.600565,0.419056
102747.625000,27.446833,0.528324
95840.812500,27.298633,0.463049
99577.937500,27.155626,0.468519
101009.125000,27.017502,0.301292
99577.937500,26.883978,0.518922
102747.625000,26.754792,0.203336
99577.937500,26.629704,0.452264
83295.265625,26.508492,0.242234
97374.585938,26.390949,0.463402
89353.843750,26.276887,0.301772
86939.093750,26.166129,0.394044
94366.976562,26.058510,0.405068
98722.578125,25.953878,0.314128
101009.125000,25.852090,0.365117
102569.179688,25.753015,0.311364
99577.937500,25.656526,0.524444
99577.937500,25.562509,0.454005
104029.156250,25.470854,0.237676
95726.609375,25.381459,0.432426
99577.937500,25.294228,0.278699
99577.937500,25.209071,0.252079
95840.812500,25.125902,0.279376
98722.578125,25.044641,0.253278
98722.578125,24.965213,0.326188
94206.906250,24.887546,0.334722
95677.109375,24.811572,0.324394
99577.937500,24.737228,0.412447
95840.812500,24.664454,0.177385
95840.812500,24.593191,0.263402
99577.937500,24.523386,0.410236
104029.156250,24.454986,0.581955
102747.625000,24.387942,0.339854
95840.812500,24.322209,0.343144
101009.125000,24.257741,0.439864
102569.179688,24.194496,0.375552
99577.937500,24.132434,0.421965
99577.937500,24.071516,0.199869
102747.625000,24.011706,0.417011
101009.125000,23.952968,0.589034
