curr state value,temperature,mean threshold worse acceptance
47.798698,156.000000,0.920886
22.101816,92.136113,0.875797
42.477325,74.334836,0.874474
273.570221,65.373326,0.878509
219.391556,59.782990,0.812182
331.598358,55.878739,0.678596
268.123444,52.954772,0.684126
303.685760,50.658536,0.766107
468.181488,48.792319,0.614710
276.187286,47.235725,0.667132
411.583038,45.910773,0.681351
425.787689,44.764470,0.840699
406.410065,43.759387,0.652447
308.188690,42.868245,0.354409
453.928802,42.070628,0.698417
534.365173,41.350916,0.623914
504.104065,40.696926,0.499792
301.851166,40.098996,0.476448
462.662659,39.549351,0.432638
638.070312,39.041655,0.457957
601.091492,38.570685,0.560873
528.832397,38.132090,0.460540
659.302490,37.722215,0.550405
638.250000,37.337958,0.498470
563.276672,36.976675,0.574897
597.284729,36.636088,0.389210
530.658020,36.314228,0.558678
608.038574,36.009380,0.752975
627.227600,35.720044,0.399483
576.390930,35.444900,0.562056
652.807251,35.182781,0.432775
601.451111,34.932652,0.219344
534.365173,34.693592,0.531330
668.302124,34.464776,0.615577
688.490234,34.245462,0.537985
688.490234,34.034985,0.554598
627.227600,33.832743,0.483205
588.923889,33.638189,0.637779
633.063477,33.450828,0.526713
627.227600,33.270209,0.241035
624.988098,33.095919,0.679174
618.218872,32.927581,0.508277
624.988098,32.764848,0.545573
612.552795,32.607403,0.587431
612.716370,32.454952,0.352222
666.849426,32.307224,0.581608
588.923889,32.163970,0.472708
627.227600,32.024956,0.615314
588.923889,31.889969,0.464912
639.964417,31.758809,0.626293
594.633911,31.631289,0.458956
639.964417,31.507235,0.625730
624.448303,31.386486,0.581197
663.498779,31.268891,0.467682
620.988586,31.154308,0.582725
633.467041,31.042604,0.728740
674.352112,30.933653,0.494388
694.561951,30.827341,0.651006
663.498779,30.723555,0.438249
627.227600,30.622193,0.688621
627.227600,30.523156,0.400681
620.988586,30.426353,0.612553
620.988586,30.331696,0.580339
674.352112,30.239104,0.876464
674.352112,30.148497,0.542033
515.104126,30.059803,0.282297
356.232544,29.972952,0.441219
454.106049,29.887876,0.791778
474.268005,29.804514,0.505712
545.118713,29.722805,0.610877
510.061249,29.642692,0.442540
603.310608,29.564122,0.327869
618.323730,29.487042,0.519480
585.584717,29.411404,0.605980
593.085083,29.337160,0.576122
512.927795,29.264266,0.500023
583.227905,29.192680,0.567976
643.355591,29.122359,0.499358
574.515808,29.053267,0.481540
585.265808,28.985364,0.480252
624.988098,28.918615,0.568951
653.150391,28.852987,0.128404
694.561951,28.788446,0.514518
647.264771,28.724961,0.601295
606.524841,28.662502,0.487357
660.205383,28.601039,0.582518
611.434387,28.540546,0.374183
694.561951,28.480995,0.267241
644.061279,28.422360,0.410877
613.842407,28.364618,0.456017
696.246826,28.307744,0.688217
668.302124,28.251716,0.469311
668.302124,28.196511,0.674407
674.979309,28.142108,0.286576
688.490234,28.088487,0.733166
668.302124,28.035629,0.480905
717.080566,27.983514,0.560249
717.080566,27.932123,0.516174
696.246826,27.881440,0.474321
656.968445,27.831448,0.359062
640.648315,27.782129,0.489053
639.964417,27.733467,0.468963
620.988586,27.685449,0.570531
624.988098,27.638057,0.408971
674.352112,27.591279,0.748687
594.633911,27.545101,0.443091
681.060730,27.499508,0.493896
678.652771,27.454487,0.702392
657.360168,27.410027,0.452328
620.988586,27.366115,0.507195
588.923889,27.322738,0.535184
665.848572,27.279886,0.573064
652.747070,27.237548,0.603239
639.964417,27.195712,0.561838
601.353271,27.154368,0.437183
477.976562,27.113506,0.268811
518.290466,27.073115,0.672735
590.297058,27.033188,0.000000
674.979309,26.993713,0.617996
688.490234,26.954682,0.408685
639.167358,26.916087,0.371699
639.167358,26.877918,0.566025
668.302124,26.840167,0.638195
672.582336,26.802827,0.360154
700.685425,26.765889,0.307214
674.979309,26.729346,0.508426
672.582336,26.693191,0.727488
674.979309,26.657415,0.528341
692.874756,26.622013,0.512912
696.246826,26.586976,0.622689
700.685425,26.552300,0.000000
653.734680,26.517976,0.500724
678.652771,26.483999,0.751066
672.401917,26.450362,0.263745
624.182373,26.417060,0.335466
653.779419,26.384087,0.525779
638.365967,26.351436,0.263184
636.883118,26.319103,0.441241
633.063477,26.287082,0.543275
633.063477,26.255367,0.261707
700.685425,26.223953,0.860402
668.302124,26.192836,0.469426
656.968445,26.162010,0.424976
674.979309,26.131470,0.487767
668.302124,26.101213,0.502504
668.302124,26.071233,0.546738
672.582336,26.041525,0.739407
633.063477,26.012086,0.651764
696.246826,25.982911,0.005147
