candles read:
from: 2018-Jan-04 00:00:00
to: 2022-Oct-29 18:00:00
difference: 1759d 18:00:00.000000
count: 2526055
duration: 3.245140s
it: 0, best fitness: 21.0268, curr fitness: 21.0268, tabu list size: 1
it: 1, best fitness: 69.1452, curr fitness: 69.1452, tabu list size: 2
it: 2, best fitness: 69.2483, curr fitness: 69.2483, tabu list size: 3
it: 3, best fitness: 73.448, curr fitness: 73.448, tabu list size: 4
it: 4, best fitness: 73.5028, curr fitness: 73.5028, tabu list size: 5
it: 5, best fitness: 74.0114, curr fitness: 74.0114, tabu list size: 6
it: 6, best fitness: 74.9344, curr fitness: 74.9344, tabu list size: 7
it: 7, best fitness: 100.225, curr fitness: 100.225, tabu list size: 8
it: 8, best fitness: 100.345, curr fitness: 100.345, tabu list size: 9
it: 9, best fitness: 109.556, curr fitness: 109.556, tabu list size: 10
it: 10, best fitness: 112.221, curr fitness: 112.221, tabu list size: 11
it: 11, best fitness: 116.456, curr fitness: 116.456, tabu list size: 12
it: 12, best fitness: 121.441, curr fitness: 121.441, tabu list size: 13
it: 13, best fitness: 127.518, curr fitness: 127.518, tabu list size: 14
it: 14, best fitness: 140.933, curr fitness: 140.933, tabu list size: 15
it: 15, best fitness: 146.047, curr fitness: 146.047, tabu list size: 16
it: 16, best fitness: 154.08, curr fitness: 154.08, tabu list size: 17
it: 17, best fitness: 186.98, curr fitness: 186.98, tabu list size: 18
it: 18, best fitness: 221.444, curr fitness: 221.444, tabu list size: 19
it: 19, best fitness: 224.485, curr fitness: 224.485, tabu list size: 20
it: 20, best fitness: 224.631, curr fitness: 224.631, tabu list size: 21
it: 21, best fitness: 240.707, curr fitness: 240.707, tabu list size: 22
it: 22, best fitness: 241.408, curr fitness: 241.408, tabu list size: 23
it: 23, best fitness: 242.11, curr fitness: 242.11, tabu list size: 24
it: 24, best fitness: 267.826, curr fitness: 267.826, tabu list size: 25
it: 25, best fitness: 267.826, curr fitness: 267.826, tabu list size: 26
it: 26, best fitness: 268.315, curr fitness: 268.315, tabu list size: 27
it: 27, best fitness: 279.281, curr fitness: 279.281, tabu list size: 28
it: 28, best fitness: 283.755, curr fitness: 283.755, tabu list size: 29
it: 29, best fitness: 283.755, curr fitness: 283.755, tabu list size: 30
it: 30, best fitness: 283.755, curr fitness: 281.428, tabu list size: 31
it: 31, best fitness: 283.755, curr fitness: 281.87, tabu list size: 32
it: 32, best fitness: 283.755, curr fitness: 281.428, tabu list size: 33
it: 33, best fitness: 283.755, curr fitness: 280.465, tabu list size: 34
it: 34, best fitness: 283.755, curr fitness: 279.241, tabu list size: 35
it: 35, best fitness: 286.881, curr fitness: 286.881, tabu list size: 36
it: 36, best fitness: 286.881, curr fitness: 286.502, tabu list size: 37
it: 37, best fitness: 297.683, curr fitness: 297.683, tabu list size: 38
it: 38, best fitness: 302.299, curr fitness: 302.299, tabu list size: 39
it: 39, best fitness: 303.121, curr fitness: 303.121, tabu list size: 40
