best fitness,curr fitness,tabu list size
21.026836,21.026836,1
69.145210,69.145210,2
69.248283,69.248283,3
73.448006,73.448006,4
73.502815,73.502815,5
74.011421,74.011421,6
74.934395,74.934395,7
100.225334,100.225334,8
100.345192,100.345192,9
109.556328,109.556328,10
112.221100,112.221100,11
116.455597,116.455597,12
121.441360,121.441360,13
127.517921,127.517921,14
140.933014,140.933014,15
146.047073,146.047073,16
154.080231,154.080231,17
186.979721,186.979721,18
221.443619,221.443619,19
224.485046,224.485046,20
224.631149,224.631149,21
240.706680,240.706680,22
241.408356,241.408356,23
242.110153,242.110153,24
267.826324,267.826324,25
267.826324,267.826324,26
268.314880,268.314880,27
279.281128,279.281128,28
283.755310,283.755310,29
283.755310,283.755310,30
283.755310,281.428345,31
283.755310,281.870117,32
283.755310,281.428345,33
283.755310,280.465118,34
283.755310,279.241302,35
286.881165,286.881165,36
286.881165,286.501801,37
297.683472,297.683472,38
302.298615,302.298615,39
303.120911,303.120911,40
303.120911,300.781189,41
305.408447,305.408447,42
305.408447,298.299255,43
305.408447,300.553284,43
305.408447,299.881104,43
312.120300,312.120300,43
314.292297,314.292297,43
316.315704,316.315704,43
316.315704,316.057800,43
316.315704,313.622803,43
316.315704,315.224579,44
320.349884,320.349884,44
320.349884,319.509583,44
320.349884,319.583160,44
320.349884,318.117554,44
320.349884,315.933258,44
320.349884,315.933258,44
320.349884,316.907440,44
320.349884,318.646667,44
320.349884,320.011139,44
320.349884,319.346100,44
320.349884,319.346100,43
320.349884,318.646667,43
320.349884,314.109985,43
320.349884,320.095490,43
320.349884,319.154022,43
320.349884,317.399567,43
320.349884,319.840759,43
320.472809,320.472809,43
320.472809,320.390289,43
320.472809,313.560425,43
320.472809,318.263702,43
320.472809,319.648254,43
320.472809,312.153351,44
320.472809,308.906525,45
320.472809,309.270081,45
320.472809,306.033112,46
320.472809,303.464142,47
320.472809,303.464142,48
320.472809,303.464142,49
320.472809,295.316101,49
320.472809,303.980164,49
320.472809,303.980164,50
320.472809,304.474152,51
320.472809,304.474152,51
320.472809,303.993195,51
320.472809,304.208893,51
320.472809,304.208893,52
320.472809,304.208893,53
320.472809,297.964844,53
320.472809,297.964844,52
320.472809,297.964844,53
320.472809,305.572632,54
320.472809,297.964844,55
320.472809,301.773071,55
320.472809,306.987000,56
320.472809,309.414886,56
320.472809,309.414886,56
320.472809,309.586548,56
320.472809,309.299652,56
320.472809,309.299652,55
320.472809,305.062225,56
320.472809,300.524384,56
320.472809,304.616119,56
320.472809,309.003754,56
320.472809,281.481415,56
320.472809,291.342926,56
320.472809,296.130463,56
320.472809,304.704926,56
320.472809,304.667084,56
320.472809,308.997101,56
320.472809,311.796112,56
320.472809,311.796112,55
320.472809,311.388885,55
320.472809,312.731873,55
320.472809,311.371552,55
320.472809,309.902039,55
320.472809,292.989014,55
320.472809,282.423676,55
320.472809,284.248260,55
320.472809,292.982361,55
320.472809,293.085785,56
320.472809,303.911255,56
320.472809,302.837982,56
320.472809,301.708405,56
320.472809,307.203705,56
320.472809,307.203705,56
320.472809,307.365387,56
320.472809,308.433472,56
320.472809,312.887421,56
320.472809,302.427429,56
320.472809,297.470856,56
320.472809,312.054840,56
320.472809,312.054840,55
320.472809,306.809418,55
320.472809,306.809418,55
320.472809,307.668793,55
320.472809,307.668793,55
320.472809,307.567841,55
320.472809,307.567841,55
320.472809,312.960541,55
320.472809,311.559875,55
320.472809,313.330688,55
320.472809,307.799713,56
320.472809,300.709839,56
320.472809,301.934845,56
320.472809,301.934845,56
320.472809,282.356659,56
320.472809,223.141022,56
320.472809,220.813171,56
320.472809,221.409546,56
320.472809,286.460266,56
320.472809,298.558960,56
320.472809,302.028748,56
320.472809,311.380951,56
320.472809,312.680145,56
320.472809,312.658691,56
320.472809,312.864990,56
320.472809,312.556335,56
320.472809,312.381195,56
320.472809,311.071594,56
320.472809,312.381195,56
320.472809,312.381195,56
