candles read:
from: 2019-Jul-05 12:00:00
to: 2023-Apr-12 10:59:00
difference: 1376d 22:59:00.000000
count: 1979751
duration: 3.729242
began: 2023-Apr-21 13:50:50
it: 0, best value: 88.7607, curr value: 88.7607, tabu list size: 1
it: 1, best value: 455.354, curr value: 455.354, tabu list size: 2
it: 2, best value: 532.005, curr value: 532.005, tabu list size: 3
it: 3, best value: 674.331, curr value: 674.331, tabu list size: 4
it: 4, best value: 674.331, curr value: 674.331, tabu list size: 5
it: 5, best value: 869.658, curr value: 869.658, tabu list size: 6
it: 6, best value: 869.658, curr value: 869.658, tabu list size: 7
it: 7, best value: 995.038, curr value: 995.038, tabu list size: 8
it: 8, best value: 1071.37, curr value: 1071.37, tabu list size: 9
it: 9, best value: 1176.19, curr value: 1176.19, tabu list size: 10
it: 10, best value: 1176.19, curr value: 1152.41, tabu list size: 11
it: 11, best value: 1195.53, curr value: 1195.53, tabu list size: 12
it: 12, best value: 1203.62, curr value: 1203.62, tabu list size: 13
it: 13, best value: 1203.62, curr value: 1163.47, tabu list size: 14
it: 14, best value: 1203.62, curr value: 1121.93, tabu list size: 15
it: 15, best value: 1203.62, curr value: 1077.67, tabu list size: 16
it: 16, best value: 1203.62, curr value: 1048.81, tabu list size: 17
it: 17, best value: 1203.62, curr value: 1018.02, tabu list size: 18
it: 18, best value: 1203.62, curr value: 1032.83, tabu list size: 19
it: 19, best value: 1203.62, curr value: 988.909, tabu list size: 20
it: 20, best value: 1203.62, curr value: 1023.86, tabu list size: 21
it: 21, best value: 1203.62, curr value: 1060.83, tabu list size: 22
it: 22, best value: 1203.62, curr value: 1023.86, tabu list size: 23
it: 23, best value: 1203.62, curr value: 988.909, tabu list size: 24
it: 24, best value: 1203.62, curr value: 1032.83, tabu list size: 25
it: 25, best value: 1203.62, curr value: 1001.37, tabu list size: 26
it: 26, best value: 1203.62, curr value: 1036.82, tabu list size: 27
it: 27, best value: 1203.62, curr value: 1060.83, tabu list size: 28
it: 28, best value: 1203.62, curr value: 999.787, tabu list size: 29
it: 29, best value: 1203.62, curr value: 970.593, tabu list size: 30
it: 30, best value: 1203.62, curr value: 982.386, tabu list size: 31
it: 31, best value: 1203.62, curr value: 1060.83, tabu list size: 32
it: 32, best value: 1203.62, curr value: 985.913, tabu list size: 32
it: 33, best value: 1203.62, curr value: 970.929, tabu list size: 32
it: 34, best value: 1203.62, curr value: 1104.29, tabu list size: 32
it: 35, best value: 1203.62, curr value: 1195.53, tabu list size: 32
it: 36, best value: 1203.62, curr value: 1152.56, tabu list size: 32
it: 37, best value: 1203.62, curr value: 1152.61, tabu list size: 32
it: 38, best value: 1203.62, curr value: 1152.56, tabu list size: 32
it: 39, best value: 1203.62, curr value: 1152.56, tabu list size: 32
it: 40, best value: 1203.62, curr value: 1152.56, tabu list size: 32
it: 41, best value: 1203.62, curr value: 1152.56, tabu list size: 32
it: 42, best value: 1203.62, curr value: 1120.34, tabu list size: 32
it: 43, best value: 1203.62, curr value: 1077.3, tabu list size: 32
it: 44, best value: 1203.62, curr value: 1058.98, tabu list size: 32
it: 45, best value: 1203.62, curr value: 1097.77, tabu list size: 32
