candles read:
from: 2017-Aug-17 04:00:00
to: 2023-Apr-12 00:06:00
difference: 2063d 20:06:00.000000
count: 2963365
duration: 3.655745
began: 2023-Apr-21 13:53:33
it: 0, best value: -40.9572, curr value: -40.9572, tabu list size: 1
it: 1, best value: 135.754, curr value: 135.754, tabu list size: 2
it: 2, best value: 184.162, curr value: 184.162, tabu list size: 3
it: 3, best value: 184.162, curr value: 184.162, tabu list size: 4
it: 4, best value: 292.095, curr value: 292.095, tabu list size: 5
it: 5, best value: 410.125, curr value: 410.125, tabu list size: 6
it: 6, best value: 410.125, curr value: 410.125, tabu list size: 7
it: 7, best value: 425.959, curr value: 425.959, tabu list size: 8
it: 8, best value: 519.21, curr value: 519.21, tabu list size: 9
it: 9, best value: 519.21, curr value: 495.636, tabu list size: 10
it: 10, best value: 519.21, curr value: 482.425, tabu list size: 11
it: 11, best value: 519.21, curr value: 464.49, tabu list size: 12
it: 12, best value: 519.21, curr value: 496.001, tabu list size: 13
it: 13, best value: 548.371, curr value: 548.371, tabu list size: 14
it: 14, best value: 599.555, curr value: 599.555, tabu list size: 15
it: 15, best value: 599.555, curr value: 548.371, tabu list size: 16
it: 16, best value: 599.555, curr value: 548.371, tabu list size: 16
it: 17, best value: 599.555, curr value: 543.015, tabu list size: 17
it: 18, best value: 599.555, curr value: 548.371, tabu list size: 18
it: 19, best value: 599.555, curr value: 533.735, tabu list size: 19
it: 20, best value: 599.555, curr value: 545.108, tabu list size: 20
it: 21, best value: 605.143, curr value: 605.143, tabu list size: 21
it: 22, best value: 664.483, curr value: 664.483, tabu list size: 22
it: 23, best value: 664.483, curr value: 610.483, tabu list size: 23
it: 24, best value: 664.483, curr value: 664.483, tabu list size: 24
it: 25, best value: 664.483, curr value: 629.01, tabu list size: 25
it: 26, best value: 664.483, curr value: 479.258, tabu list size: 26
it: 27, best value: 664.483, curr value: 629.01, tabu list size: 27
it: 28, best value: 664.483, curr value: 560.531, tabu list size: 28
it: 29, best value: 664.483, curr value: 629.01, tabu list size: 29
it: 30, best value: 664.483, curr value: 533.02, tabu list size: 30
it: 31, best value: 664.483, curr value: 632.547, tabu list size: 31
it: 32, best value: 664.483, curr value: 632.547, tabu list size: 30
it: 33, best value: 664.483, curr value: 632.547, tabu list size: 29
it: 34, best value: 664.483, curr value: 635.316, tabu list size: 29
it: 35, best value: 664.483, curr value: 632.547, tabu list size: 29
it: 36, best value: 664.483, curr value: 632.547, tabu list size: 29
it: 37, best value: 664.483, curr value: 533.02, tabu list size: 29
it: 38, best value: 664.483, curr value: 516.976, tabu list size: 29
it: 39, best value: 664.483, curr value: 610.483, tabu list size: 29
it: 40, best value: 664.483, curr value: 610.483, tabu list size: 29
it: 41, best value: 664.483, curr value: 610.483, tabu list size: 29
it: 42, best value: 664.483, curr value: 516.976, tabu list size: 29
it: 43, best value: 664.483, curr value: 543.529, tabu list size: 29
it: 44, best value: 664.483, curr value: 664.483, tabu list size: 29
it: 45, best value: 664.483, curr value: 568.295, tabu list size: 29
it: 46, best value: 664.483, curr value: 536.453, tabu list size: 29
it: 47, best value: 664.483, curr value: 635.316, tabu list size: 29
it: 48, best value: 664.483, curr value: 519.156, tabu list size: 30
it: 49, best value: 664.483, curr value: 543.529, tabu list size: 29
it: 50, best value: 664.483, curr value: 519.156, tabu list size: 29
it: 51, best value: 664.483, curr value: 451.663, tabu list size: 29
it: 52, best value: 664.483, curr value: 451.065, tabu list size: 29
it: 53, best value: 664.483, curr value: 451.663, tabu list size: 29
it: 54, best value: 664.483, curr value: 534.517, tabu list size: 29
it: 55, best value: 664.483, curr value: 536.829, tabu list size: 29
it: 56, best value: 664.483, curr value: 537.622, tabu list size: 29
it: 57, best value: 664.483, curr value: 544.748, tabu list size: 29
it: 58, best value: 664.483, curr value: 542.387, tabu list size: 29
it: 59, best value: 664.483, curr value: 542.387, tabu list size: 28
it: 60, best value: 664.483, curr value: 540.786, tabu list size: 28
it: 61, best value: 664.483, curr value: 534.641, tabu list size: 28
it: 62, best value: 664.483, curr value: 517.615, tabu list size: 28
it: 63, best value: 664.483, curr value: 540.786, tabu list size: 27
it: 64, best value: 664.483, curr value: 527.504, tabu list size: 28
it: 65, best value: 664.483, curr value: 496.894, tabu list size: 29
it: 66, best value: 664.483, curr value: 534.641, tabu list size: 29
it: 67, best value: 664.483, curr value: 505.529, tabu list size: 29
it: 68, best value: 664.483, curr value: 540.786, tabu list size: 29
it: 69, best value: 664.483, curr value: 540.786, tabu list size: 29
it: 70, best value: 664.483, curr value: 534.641, tabu list size: 28
it: 71, best value: 664.483, curr value: 496.894, tabu list size: 28
it: 72, best value: 664.483, curr value: 527.504, tabu list size: 28
it: 73, best value: 664.483, curr value: 527.504, tabu list size: 28
it: 74, best value: 664.483, curr value: 489.191, tabu list size: 28
it: 75, best value: 664.483, curr value: 527.504, tabu list size: 28
it: 76, best value: 664.483, curr value: 480.535, tabu list size: 28
it: 77, best value: 664.483, curr value: 518.366, tabu list size: 28
it: 78, best value: 664.483, curr value: 467.311, tabu list size: 28
it: 79, best value: 664.483, curr value: 483.275, tabu list size: 28
it: 80, best value: 664.483, curr value: 527.504, tabu list size: 28
it: 81, best value: 664.483, curr value: 527.504, tabu list size: 28
it: 82, best value: 664.483, curr value: 468.139, tabu list size: 28
it: 83, best value: 664.483, curr value: 505.529, tabu list size: 29
it: 84, best value: 664.483, curr value: 516.386, tabu list size: 29
it: 85, best value: 664.483, curr value: 544.748, tabu list size: 29
it: 86, best value: 664.483, curr value: 544.748, tabu list size: 28
