candles read:
from: 2017-Dec-13 03:32:00
to: 2023-Apr-12 08:53:00
difference: 1946d 05:21:00.000000
count: 2794419
duration: 3.262039
began: 2023-Apr-21 13:58:09
it: 0, best value: -48.7052, curr value: -48.7052, tabu list size: 1
it: 1, best value: -48.7052, curr value: -48.7052, tabu list size: 2
it: 2, best value: -42.5338, curr value: -42.5338, tabu list size: 3
it: 3, best value: -24.7332, curr value: -24.7332, tabu list size: 4
it: 4, best value: -22.3445, curr value: -22.3445, tabu list size: 5
it: 5, best value: -17.3632, curr value: -17.3632, tabu list size: 6
it: 6, best value: -17.3632, curr value: -17.3632, tabu list size: 7
it: 7, best value: 28.8645, curr value: 28.8645, tabu list size: 8
it: 8, best value: 95.3849, curr value: 95.3849, tabu list size: 9
it: 9, best value: 298.878, curr value: 298.878, tabu list size: 10
it: 10, best value: 309.026, curr value: 309.026, tabu list size: 11
it: 11, best value: 332.359, curr value: 332.359, tabu list size: 12
it: 12, best value: 340.946, curr value: 340.946, tabu list size: 13
it: 13, best value: 348.884, curr value: 348.884, tabu list size: 14
it: 14, best value: 466.047, curr value: 466.047, tabu list size: 15
it: 15, best value: 466.893, curr value: 466.893, tabu list size: 16
it: 16, best value: 466.893, curr value: 459.55, tabu list size: 17
it: 17, best value: 589.724, curr value: 589.724, tabu list size: 18
it: 18, best value: 613.385, curr value: 613.385, tabu list size: 19
it: 19, best value: 613.464, curr value: 613.464, tabu list size: 20
it: 20, best value: 630.67, curr value: 630.67, tabu list size: 21
it: 21, best value: 632.119, curr value: 632.119, tabu list size: 22
it: 22, best value: 669.3, curr value: 669.3, tabu list size: 23
it: 23, best value: 700.044, curr value: 700.044, tabu list size: 24
it: 24, best value: 727.12, curr value: 727.12, tabu list size: 25
it: 25, best value: 739.815, curr value: 739.815, tabu list size: 26
it: 26, best value: 739.815, curr value: 712.358, tabu list size: 27
it: 27, best value: 739.815, curr value: 727.12, tabu list size: 28
it: 28, best value: 739.815, curr value: 700.044, tabu list size: 29
it: 29, best value: 739.815, curr value: 739.815, tabu list size: 30
it: 30, best value: 739.815, curr value: 700.044, tabu list size: 31
