candles read:
from: 2020-Aug-11 06:00:00
to: 2023-Apr-11 15:55:00
difference: 973d 09:55:00.000000
count: 1400292
duration: 1.689444
began: 2023-Apr-21 14:02:20
it: 0, best value: -32.4213, curr value: -32.4213, tabu list size: 1
it: 1, best value: -31.4173, curr value: -31.4173, tabu list size: 2
it: 2, best value: -31.4173, curr value: -31.4173, tabu list size: 3
it: 3, best value: -30.9437, curr value: -30.9437, tabu list size: 4
it: 4, best value: -30.9437, curr value: -30.9437, tabu list size: 5
it: 5, best value: -29.2543, curr value: -29.2543, tabu list size: 6
it: 6, best value: -29.2543, curr value: -29.2543, tabu list size: 7
it: 7, best value: -28.5054, curr value: -28.5054, tabu list size: 8
it: 8, best value: -12.4981, curr value: -12.4981, tabu list size: 9
it: 9, best value: -11.8259, curr value: -11.8259, tabu list size: 10
it: 10, best value: -11.8259, curr value: -12.1131, tabu list size: 11
it: 11, best value: -11.8259, curr value: -11.8259, tabu list size: 12
it: 12, best value: -11.8259, curr value: -11.9577, tabu list size: 13
it: 13, best value: -11.7471, curr value: -11.7471, tabu list size: 14
it: 14, best value: -11.7471, curr value: -11.7471, tabu list size: 14
it: 15, best value: -11.7471, curr value: -11.7471, tabu list size: 14
it: 16, best value: -11.7471, curr value: -13.9408, tabu list size: 15
it: 17, best value: -10.3798, curr value: -10.3798, tabu list size: 16
it: 18, best value: -10.3798, curr value: -13.0858, tabu list size: 17
it: 19, best value: -10.0759, curr value: -10.0759, tabu list size: 18
it: 20, best value: -10.0759, curr value: -12.684, tabu list size: 19
it: 21, best value: -9.20806, curr value: -9.20806, tabu list size: 20
it: 22, best value: -9.20806, curr value: -13.2812, tabu list size: 21
it: 23, best value: -9.20806, curr value: -9.20806, tabu list size: 22
it: 24, best value: -9.20806, curr value: -10.5867, tabu list size: 23
it: 25, best value: -9.20806, curr value: -11.2988, tabu list size: 24
it: 26, best value: -9.20806, curr value: -14.8421, tabu list size: 25
it: 27, best value: -9.20806, curr value: -10.2373, tabu list size: 26
it: 28, best value: -9.20806, curr value: -10.7966, tabu list size: 27
it: 29, best value: -9.20806, curr value: -10.2373, tabu list size: 28
it: 30, best value: -9.20806, curr value: -11.9606, tabu list size: 29
it: 31, best value: -9.20806, curr value: -12.0442, tabu list size: 30
it: 32, best value: -2.06239, curr value: -2.06239, tabu list size: 30
it: 33, best value: 75.5733, curr value: 75.5733, tabu list size: 30
it: 34, best value: 147.667, curr value: 147.667, tabu list size: 30
it: 35, best value: 149.719, curr value: 149.719, tabu list size: 30
it: 36, best value: 151.567, curr value: 151.567, tabu list size: 30
it: 37, best value: 151.567, curr value: 151.567, tabu list size: 30
it: 38, best value: 153.737, curr value: 153.737, tabu list size: 30
it: 39, best value: 159.366, curr value: 159.366, tabu list size: 30
