candles read:
from: 2018-May-31 09:30:00
to: 2023-Apr-11 17:27:00
difference: 1776d 07:57:00.000000
count: 2552037
duration: 2.911481
began: 2023-Apr-21 14:03:54
it: 0, best value: 31.7201, curr value: 31.7201, tabu list size: 1
it: 1, best value: 228.794, curr value: 228.794, tabu list size: 2
it: 2, best value: 228.794, curr value: 228.794, tabu list size: 3
it: 3, best value: 240.406, curr value: 240.406, tabu list size: 4
it: 4, best value: 366.22, curr value: 366.22, tabu list size: 5
it: 5, best value: 366.22, curr value: 366.22, tabu list size: 6
it: 6, best value: 383.041, curr value: 383.041, tabu list size: 7
it: 7, best value: 383.255, curr value: 383.255, tabu list size: 8
it: 8, best value: 383.255, curr value: 376.834, tabu list size: 9
it: 9, best value: 385.101, curr value: 385.101, tabu list size: 10
it: 10, best value: 386.854, curr value: 386.854, tabu list size: 11
it: 11, best value: 417.466, curr value: 417.466, tabu list size: 12
it: 12, best value: 420.796, curr value: 420.796, tabu list size: 13
it: 13, best value: 420.838, curr value: 420.838, tabu list size: 14
it: 14, best value: 420.838, curr value: 420.337, tabu list size: 15
it: 15, best value: 420.838, curr value: 419.105, tabu list size: 16
it: 16, best value: 420.838, curr value: 420.217, tabu list size: 17
it: 17, best value: 420.838, curr value: 417.466, tabu list size: 18
it: 18, best value: 420.838, curr value: 394.672, tabu list size: 19
it: 19, best value: 457.957, curr value: 457.957, tabu list size: 20
it: 20, best value: 495.194, curr value: 495.194, tabu list size: 21
it: 21, best value: 524.467, curr value: 524.467, tabu list size: 22
it: 22, best value: 524.467, curr value: 495.194, tabu list size: 23
it: 23, best value: 524.467, curr value: 499.116, tabu list size: 24
it: 24, best value: 524.467, curr value: 484.009, tabu list size: 25
it: 25, best value: 524.467, curr value: 438.559, tabu list size: 26
it: 26, best value: 524.467, curr value: 468.862, tabu list size: 27
it: 27, best value: 524.467, curr value: 468.862, tabu list size: 27
it: 28, best value: 524.467, curr value: 453.702, tabu list size: 28
it: 29, best value: 524.467, curr value: 423.458, tabu list size: 29
it: 30, best value: 524.467, curr value: 420.34, tabu list size: 30
it: 31, best value: 524.467, curr value: 423.458, tabu list size: 31
it: 32, best value: 524.467, curr value: 380.804, tabu list size: 31
it: 33, best value: 524.467, curr value: 445.82, tabu list size: 31
it: 34, best value: 524.467, curr value: 445.82, tabu list size: 31
it: 35, best value: 524.467, curr value: 431.88, tabu list size: 31
it: 36, best value: 524.467, curr value: 408.719, tabu list size: 31
it: 37, best value: 524.467, curr value: 429.871, tabu list size: 31
it: 38, best value: 524.467, curr value: 429.871, tabu list size: 31
it: 39, best value: 524.467, curr value: 397.005, tabu list size: 31
it: 40, best value: 524.467, curr value: 408.536, tabu list size: 31
it: 41, best value: 524.467, curr value: 408.719, tabu list size: 31
it: 42, best value: 524.467, curr value: 408.536, tabu list size: 31
it: 43, best value: 524.467, curr value: 397.005, tabu list size: 31
it: 44, best value: 524.467, curr value: 430.1, tabu list size: 31
it: 45, best value: 524.467, curr value: 389.236, tabu list size: 31
it: 46, best value: 524.467, curr value: 430.1, tabu list size: 31
it: 47, best value: 524.467, curr value: 389.388, tabu list size: 31
it: 48, best value: 524.467, curr value: 422.147, tabu list size: 31
it: 49, best value: 524.467, curr value: 422.147, tabu list size: 30
it: 50, best value: 524.467, curr value: 391.206, tabu list size: 30
it: 51, best value: 524.467, curr value: 400.925, tabu list size: 30
it: 52, best value: 524.467, curr value: 389.388, tabu list size: 30
it: 53, best value: 524.467, curr value: 374.493, tabu list size: 30
it: 54, best value: 524.467, curr value: 389.579, tabu list size: 30
it: 55, best value: 524.467, curr value: 400.925, tabu list size: 30
it: 56, best value: 524.467, curr value: 389.579, tabu list size: 30
it: 57, best value: 524.467, curr value: 380.804, tabu list size: 30
it: 58, best value: 524.467, curr value: 349.134, tabu list size: 30
it: 59, best value: 524.467, curr value: 379.068, tabu list size: 31
it: 60, best value: 524.467, curr value: 461.618, tabu list size: 31
it: 61, best value: 524.467, curr value: 524.467, tabu list size: 31
it: 62, best value: 524.467, curr value: 508.793, tabu list size: 31
it: 63, best value: 524.467, curr value: 493.074, tabu list size: 31
it: 64, best value: 524.467, curr value: 477.34, tabu list size: 31
it: 65, best value: 524.467, curr value: 443.74, tabu list size: 31
it: 66, best value: 524.467, curr value: 493.074, tabu list size: 31
it: 67, best value: 524.467, curr value: 493.074, tabu list size: 31
it: 68, best value: 524.467, curr value: 461.618, tabu list size: 30
it: 69, best value: 524.467, curr value: 445.82, tabu list size: 30
it: 70, best value: 524.467, curr value: 445.82, tabu list size: 29
it: 71, best value: 524.467, curr value: 445.82, tabu list size: 29
it: 72, best value: 524.467, curr value: 431.88, tabu list size: 29
it: 73, best value: 524.467, curr value: 344.998, tabu list size: 29
it: 74, best value: 524.467, curr value: 429.871, tabu list size: 29
it: 75, best value: 524.467, curr value: 430.1, tabu list size: 29
it: 76, best value: 524.467, curr value: 431.88, tabu list size: 29
it: 77, best value: 524.467, curr value: 408.536, tabu list size: 29
it: 78, best value: 524.467, curr value: 397.005, tabu list size: 29
it: 79, best value: 524.467, curr value: 430.1, tabu list size: 29
it: 80, best value: 524.467, curr value: 349.685, tabu list size: 29
it: 81, best value: 524.467, curr value: 430.1, tabu list size: 30
it: 82, best value: 524.467, curr value: 429.871, tabu list size: 30
it: 83, best value: 524.467, curr value: 408.719, tabu list size: 30
it: 84, best value: 524.467, curr value: 408.719, tabu list size: 29
it: 85, best value: 524.467, curr value: 391.206, tabu list size: 29
it: 86, best value: 524.467, curr value: 429.871, tabu list size: 29
it: 87, best value: 524.467, curr value: 397.005, tabu list size: 29
it: 88, best value: 524.467, curr value: 389.388, tabu list size: 29
it: 89, best value: 524.467, curr value: 400.925, tabu list size: 29
it: 90, best value: 524.467, curr value: 389.579, tabu list size: 29
it: 91, best value: 524.467, curr value: 400.925, tabu list size: 29
it: 92, best value: 524.467, curr value: 431.88, tabu list size: 29
it: 93, best value: 524.467, curr value: 408.719, tabu list size: 29
it: 94, best value: 524.467, curr value: 386.764, tabu list size: 29
it: 95, best value: 524.467, curr value: 369.653, tabu list size: 29
it: 96, best value: 524.467, curr value: 423.458, tabu list size: 29
it: 97, best value: 524.467, curr value: 499.116, tabu list size: 29
it: 98, best value: 524.467, curr value: 484.009, tabu list size: 29
it: 99, best value: 524.467, curr value: 468.862, tabu list size: 29
it: 100, best value: 524.467, curr value: 468.862, tabu list size: 30
it: 101, best value: 524.467, curr value: 484.009, tabu list size: 29
it: 102, best value: 524.467, curr value: 453.702, tabu list size: 30
it: 103, best value: 524.467, curr value: 438.559, tabu list size: 30
it: 104, best value: 524.467, curr value: 438.559, tabu list size: 30
it: 105, best value: 524.467, curr value: 423.458, tabu list size: 30
it: 106, best value: 524.467, curr value: 420.34, tabu list size: 30
it: 107, best value: 524.467, curr value: 445.82, tabu list size: 30
it: 108, best value: 524.467, curr value: 435.324, tabu list size: 30
it: 109, best value: 524.467, curr value: 445.82, tabu list size: 30
it: 110, best value: 524.467, curr value: 431.88, tabu list size: 30
it: 111, best value: 524.467, curr value: 399.776, tabu list size: 30
it: 112, best value: 524.467, curr value: 426.085, tabu list size: 30
it: 113, best value: 524.467, curr value: 399.776, tabu list size: 30
it: 114, best value: 524.467, curr value: 431.88, tabu list size: 30
it: 115, best value: 524.467, curr value: 408.536, tabu list size: 30
it: 116, best value: 524.467, curr value: 408.719, tabu list size: 31
it: 117, best value: 524.467, curr value: 344.998, tabu list size: 31
it: 118, best value: 524.467, curr value: 408.719, tabu list size: 31
it: 119, best value: 524.467, curr value: 429.871, tabu list size: 31
it: 120, best value: 524.467, curr value: 397.005, tabu list size: 31
it: 121, best value: 524.467, curr value: 430.1, tabu list size: 31
it: 122, best value: 524.467, curr value: 389.388, tabu list size: 31
it: 123, best value: 524.467, curr value: 340.721, tabu list size: 31
it: 124, best value: 524.467, curr value: 351.601, tabu list size: 31
it: 125, best value: 524.467, curr value: 354.766, tabu list size: 31
it: 126, best value: 524.467, curr value: 351.601, tabu list size: 31
it: 127, best value: 524.467, curr value: 348.807, tabu list size: 31
ended: 2023-Apr-21 14:07:21
duration: 3:27.115098
