candles read:
from: 2018-May-04 08:11:00
to: 2023-Apr-11 18:09:00
difference: 1803d 09:58:00.000000
count: 2591038
duration: 2.998289
began: 2023-Apr-21 14:07:24
it: 0, best value: 13.2774, curr value: 13.2774, tabu list size: 1
it: 1, best value: 13.2774, curr value: 13.2774, tabu list size: 2
it: 2, best value: 48.0878, curr value: 48.0878, tabu list size: 3
it: 3, best value: 77.4833, curr value: 77.4833, tabu list size: 4
it: 4, best value: 101.906, curr value: 101.906, tabu list size: 5
it: 5, best value: 118.947, curr value: 118.947, tabu list size: 6
it: 6, best value: 128.438, curr value: 128.438, tabu list size: 7
it: 7, best value: 164.879, curr value: 164.879, tabu list size: 8
it: 8, best value: 175.417, curr value: 175.417, tabu list size: 9
it: 9, best value: 197.221, curr value: 197.221, tabu list size: 10
it: 10, best value: 197.221, curr value: 197.221, tabu list size: 11
it: 11, best value: 219.987, curr value: 219.987, tabu list size: 12
it: 12, best value: 220.331, curr value: 220.331, tabu list size: 13
it: 13, best value: 221.392, curr value: 221.392, tabu list size: 14
it: 14, best value: 221.392, curr value: 220.331, tabu list size: 15
it: 15, best value: 221.392, curr value: 209.472, tabu list size: 16
it: 16, best value: 221.392, curr value: 203.646, tabu list size: 17
it: 17, best value: 221.392, curr value: 219.987, tabu list size: 18
it: 18, best value: 221.392, curr value: 209.231, tabu list size: 19
it: 19, best value: 221.392, curr value: 198.916, tabu list size: 20
it: 20, best value: 221.392, curr value: 196.779, tabu list size: 21
it: 21, best value: 221.392, curr value: 199.059, tabu list size: 22
it: 22, best value: 221.392, curr value: 199.059, tabu list size: 22
it: 23, best value: 221.392, curr value: 198.538, tabu list size: 23
it: 24, best value: 221.392, curr value: 188.303, tabu list size: 24
it: 25, best value: 221.392, curr value: 198.538, tabu list size: 25
it: 26, best value: 221.392, curr value: 178.62, tabu list size: 26
it: 27, best value: 221.392, curr value: 203.334, tabu list size: 27
it: 28, best value: 221.392, curr value: 175.304, tabu list size: 28
it: 29, best value: 221.392, curr value: 174.529, tabu list size: 29
it: 30, best value: 221.392, curr value: 180.673, tabu list size: 30
it: 31, best value: 221.392, curr value: 156.997, tabu list size: 31
it: 32, best value: 221.392, curr value: 174.529, tabu list size: 31
it: 33, best value: 221.392, curr value: 164.075, tabu list size: 31
it: 34, best value: 221.392, curr value: 164.075, tabu list size: 31
it: 35, best value: 221.392, curr value: 180.538, tabu list size: 31
it: 36, best value: 221.392, curr value: 192.104, tabu list size: 30
it: 37, best value: 221.392, curr value: 180.538, tabu list size: 29
it: 38, best value: 221.392, curr value: 165.763, tabu list size: 29
it: 39, best value: 221.392, curr value: 192.104, tabu list size: 29
it: 40, best value: 221.392, curr value: 208.674, tabu list size: 29
it: 41, best value: 221.392, curr value: 220.372, tabu list size: 29
it: 42, best value: 221.392, curr value: 194.321, tabu list size: 29
it: 43, best value: 221.392, curr value: 194.321, tabu list size: 29
it: 44, best value: 221.392, curr value: 189.761, tabu list size: 29
it: 45, best value: 221.392, curr value: 193.359, tabu list size: 29
it: 46, best value: 221.392, curr value: 221.392, tabu list size: 29
it: 47, best value: 221.392, curr value: 220.372, tabu list size: 29
it: 48, best value: 221.392, curr value: 219.987, tabu list size: 29
it: 49, best value: 221.392, curr value: 220.331, tabu list size: 28
it: 50, best value: 221.392, curr value: 220.331, tabu list size: 27
it: 51, best value: 221.392, curr value: 209.472, tabu list size: 27
it: 52, best value: 221.392, curr value: 205.206, tabu list size: 27
it: 53, best value: 221.392, curr value: 205.206, tabu list size: 26
it: 54, best value: 221.392, curr value: 209.472, tabu list size: 27
it: 55, best value: 221.392, curr value: 199.059, tabu list size: 27
it: 56, best value: 221.392, curr value: 209.472, tabu list size: 27
it: 57, best value: 221.392, curr value: 203.646, tabu list size: 27
it: 58, best value: 221.392, curr value: 203.646, tabu list size: 26
