candles read:
from: 2019-Feb-28 04:00:00
to: 2023-Apr-11 16:27:00
difference: 1503d 12:27:00.000000
count: 2160979
duration: 2.409924
began: 2023-Apr-21 14:11:14
it: 0, best value: 33.181, curr value: 33.181, tabu list size: 1
it: 1, best value: 33.181, curr value: 33.181, tabu list size: 2
it: 2, best value: 58.3441, curr value: 58.3441, tabu list size: 3
it: 3, best value: 105.225, curr value: 105.225, tabu list size: 4
it: 4, best value: 105.225, curr value: 105.225, tabu list size: 5
it: 5, best value: 133.664, curr value: 133.664, tabu list size: 6
it: 6, best value: 140.239, curr value: 140.239, tabu list size: 7
it: 7, best value: 176.305, curr value: 176.305, tabu list size: 8
it: 8, best value: 194.431, curr value: 194.431, tabu list size: 9
it: 9, best value: 213.899, curr value: 213.899, tabu list size: 10
it: 10, best value: 236.847, curr value: 236.847, tabu list size: 11
it: 11, best value: 237.881, curr value: 237.881, tabu list size: 12
it: 12, best value: 248.684, curr value: 248.684, tabu list size: 13
it: 13, best value: 248.825, curr value: 248.825, tabu list size: 14
it: 14, best value: 251.779, curr value: 251.779, tabu list size: 15
it: 15, best value: 252.082, curr value: 252.082, tabu list size: 16
it: 16, best value: 252.082, curr value: 250.901, tabu list size: 17
it: 17, best value: 264.493, curr value: 264.493, tabu list size: 18
it: 18, best value: 264.683, curr value: 264.683, tabu list size: 19
it: 19, best value: 264.683, curr value: 264.493, tabu list size: 20
it: 20, best value: 264.683, curr value: 264.493, tabu list size: 20
it: 21, best value: 264.683, curr value: 262.81, tabu list size: 21
it: 22, best value: 264.683, curr value: 259.293, tabu list size: 22
it: 23, best value: 264.683, curr value: 248.977, tabu list size: 23
it: 24, best value: 264.683, curr value: 234.493, tabu list size: 24
it: 25, best value: 264.683, curr value: 259.293, tabu list size: 25
it: 26, best value: 264.683, curr value: 244.658, tabu list size: 26
it: 27, best value: 264.683, curr value: 262.81, tabu list size: 27
it: 28, best value: 264.683, curr value: 249.252, tabu list size: 28
it: 29, best value: 264.683, curr value: 262.81, tabu list size: 29
it: 30, best value: 264.683, curr value: 244.658, tabu list size: 30
it: 31, best value: 264.683, curr value: 259.293, tabu list size: 31
it: 32, best value: 264.683, curr value: 237.557, tabu list size: 31
it: 33, best value: 264.683, curr value: 259.293, tabu list size: 31
it: 34, best value: 264.683, curr value: 259.293, tabu list size: 31
it: 35, best value: 264.683, curr value: 234.493, tabu list size: 31
it: 36, best value: 264.683, curr value: 259.293, tabu list size: 30
it: 37, best value: 264.683, curr value: 234.328, tabu list size: 30
it: 38, best value: 264.683, curr value: 241.952, tabu list size: 30
it: 39, best value: 264.683, curr value: 242.404, tabu list size: 30
it: 40, best value: 264.683, curr value: 242.404, tabu list size: 30
it: 41, best value: 264.683, curr value: 242.404, tabu list size: 30
it: 42, best value: 264.683, curr value: 242.404, tabu list size: 29
it: 43, best value: 264.683, curr value: 241.952, tabu list size: 29
it: 44, best value: 264.683, curr value: 241.473, tabu list size: 29
it: 45, best value: 264.683, curr value: 235.467, tabu list size: 29
it: 46, best value: 264.683, curr value: 239.156, tabu list size: 29
it: 47, best value: 264.683, curr value: 237.242, tabu list size: 29
it: 48, best value: 264.683, curr value: 246.984, tabu list size: 29
it: 49, best value: 264.683, curr value: 247.32, tabu list size: 29
it: 50, best value: 264.683, curr value: 252.082, tabu list size: 29
it: 51, best value: 264.683, curr value: 251.779, tabu list size: 29
it: 52, best value: 264.683, curr value: 256.492, tabu list size: 30
it: 53, best value: 264.683, curr value: 252.544, tabu list size: 30
it: 54, best value: 264.683, curr value: 252.544, tabu list size: 29
it: 55, best value: 264.683, curr value: 248.222, tabu list size: 29
it: 56, best value: 264.683, curr value: 251.779, tabu list size: 29
it: 57, best value: 264.683, curr value: 250.487, tabu list size: 29
it: 58, best value: 264.683, curr value: 252.544, tabu list size: 29
it: 59, best value: 264.683, curr value: 252.544, tabu list size: 28
it: 60, best value: 264.683, curr value: 243.701, tabu list size: 28
it: 61, best value: 264.683, curr value: 230.581, tabu list size: 28
it: 62, best value: 264.683, curr value: 232.381, tabu list size: 28
it: 63, best value: 264.683, curr value: 230.581, tabu list size: 28
it: 64, best value: 264.683, curr value: 243.701, tabu list size: 28
it: 65, best value: 264.683, curr value: 241.745, tabu list size: 28
it: 66, best value: 264.683, curr value: 243.701, tabu list size: 28
it: 67, best value: 264.683, curr value: 250.487, tabu list size: 28
it: 68, best value: 264.683, curr value: 250.487, tabu list size: 29
it: 69, best value: 264.683, curr value: 251.779, tabu list size: 29
it: 70, best value: 264.683, curr value: 264.683, tabu list size: 29
it: 71, best value: 264.683, curr value: 264.683, tabu list size: 28
it: 72, best value: 264.683, curr value: 262.81, tabu list size: 28
it: 73, best value: 264.683, curr value: 262.81, tabu list size: 29
it: 74, best value: 264.683, curr value: 259.293, tabu list size: 30
it: 75, best value: 264.683, curr value: 248.977, tabu list size: 30
it: 76, best value: 264.683, curr value: 234.493, tabu list size: 30
it: 77, best value: 264.683, curr value: 259.293, tabu list size: 30
it: 78, best value: 264.683, curr value: 248.977, tabu list size: 29
it: 79, best value: 264.683, curr value: 234.328, tabu list size: 29
it: 80, best value: 264.683, curr value: 241.952, tabu list size: 29
it: 81, best value: 264.683, curr value: 241.473, tabu list size: 29
it: 82, best value: 264.683, curr value: 242.404, tabu list size: 29
it: 83, best value: 264.683, curr value: 229.708, tabu list size: 29
it: 84, best value: 264.683, curr value: 247.32, tabu list size: 29
it: 85, best value: 264.683, curr value: 252.082, tabu list size: 29
it: 86, best value: 264.683, curr value: 251.779, tabu list size: 30
it: 87, best value: 264.683, curr value: 256.492, tabu list size: 30
it: 88, best value: 264.683, curr value: 256.492, tabu list size: 29
it: 89, best value: 264.683, curr value: 248.222, tabu list size: 29
it: 90, best value: 264.683, curr value: 237.297, tabu list size: 29
it: 91, best value: 264.683, curr value: 252.082, tabu list size: 29
it: 92, best value: 264.683, curr value: 252.082, tabu list size: 29
it: 93, best value: 264.683, curr value: 250.965, tabu list size: 29
it: 94, best value: 264.683, curr value: 250.965, tabu list size: 28
it: 95, best value: 264.683, curr value: 248.428, tabu list size: 28
it: 96, best value: 264.683, curr value: 242.766, tabu list size: 28
it: 97, best value: 264.683, curr value: 239.521, tabu list size: 28
it: 98, best value: 264.683, curr value: 248.428, tabu list size: 28
it: 99, best value: 264.683, curr value: 244.189, tabu list size: 28
it: 100, best value: 264.683, curr value: 234.452, tabu list size: 28
it: 101, best value: 264.683, curr value: 247.137, tabu list size: 28
it: 102, best value: 264.683, curr value: 247.137, tabu list size: 28
it: 103, best value: 264.683, curr value: 236.847, tabu list size: 29
it: 104, best value: 264.683, curr value: 247.137, tabu list size: 29
it: 105, best value: 264.683, curr value: 247.871, tabu list size: 29
it: 106, best value: 264.683, curr value: 247.871, tabu list size: 29
it: 107, best value: 264.683, curr value: 243.466, tabu list size: 29
it: 108, best value: 264.683, curr value: 246.984, tabu list size: 29
it: 109, best value: 264.683, curr value: 246.984, tabu list size: 28
it: 110, best value: 264.683, curr value: 242.23, tabu list size: 29
it: 111, best value: 264.683, curr value: 244.652, tabu list size: 29
it: 112, best value: 264.683, curr value: 238.821, tabu list size: 29
it: 113, best value: 264.683, curr value: 238.98, tabu list size: 29
it: 114, best value: 264.683, curr value: 244.658, tabu list size: 29
it: 115, best value: 264.683, curr value: 262.81, tabu list size: 29
it: 116, best value: 264.683, curr value: 264.683, tabu list size: 29
it: 117, best value: 264.683, curr value: 264.493, tabu list size: 29
it: 118, best value: 264.683, curr value: 264.493, tabu list size: 28
it: 119, best value: 264.683, curr value: 262.81, tabu list size: 28
it: 120, best value: 264.683, curr value: 262.81, tabu list size: 28
it: 121, best value: 264.683, curr value: 259.293, tabu list size: 28
it: 122, best value: 264.683, curr value: 244.658, tabu list size: 28
it: 123, best value: 264.683, curr value: 259.293, tabu list size: 28
it: 124, best value: 264.683, curr value: 248.977, tabu list size: 28
it: 125, best value: 264.683, curr value: 248.977, tabu list size: 28
it: 126, best value: 264.683, curr value: 234.493, tabu list size: 29
it: 127, best value: 264.683, curr value: 259.293, tabu list size: 29
ended: 2023-Apr-21 14:15:02
duration: 3:47.888524
