candles read:
from: 2018-Jan-04 00:00:00
to: 2022-Oct-29 18:00:00
difference: 1759d 18:00:00.000000
count: 2526055
duration: 4.520385s
it: 0, best fitness: 9.02349, curr fitness: 9.02349, tabu list size: 1
it: 1, best fitness: 15.673, curr fitness: 15.673, tabu list size: 2
it: 2, best fitness: 49.7793, curr fitness: 49.7793, tabu list size: 3
it: 3, best fitness: 110.6, curr fitness: 110.6, tabu list size: 4
it: 4, best fitness: 139.437, curr fitness: 139.437, tabu list size: 5
it: 5, best fitness: 148.21, curr fitness: 148.21, tabu list size: 6
it: 6, best fitness: 164.699, curr fitness: 164.699, tabu list size: 7
it: 7, best fitness: 197.328, curr fitness: 197.328, tabu list size: 8
it: 8, best fitness: 209.873, curr fitness: 209.873, tabu list size: 9
it: 9, best fitness: 211.991, curr fitness: 211.991, tabu list size: 10
it: 10, best fitness: 237.407, curr fitness: 237.407, tabu list size: 11
it: 11, best fitness: 295.537, curr fitness: 295.537, tabu list size: 12
it: 12, best fitness: 333.024, curr fitness: 333.024, tabu list size: 13
it: 13, best fitness: 485.955, curr fitness: 485.955, tabu list size: 14
it: 14, best fitness: 552.274, curr fitness: 552.274, tabu list size: 15
it: 15, best fitness: 593.652, curr fitness: 593.652, tabu list size: 16
it: 16, best fitness: 608.855, curr fitness: 608.855, tabu list size: 17
it: 17, best fitness: 615.267, curr fitness: 615.267, tabu list size: 18
it: 18, best fitness: 615.267, curr fitness: 615.267, tabu list size: 19
it: 19, best fitness: 651.843, curr fitness: 651.843, tabu list size: 20
it: 20, best fitness: 651.843, curr fitness: 645.854, tabu list size: 21
it: 21, best fitness: 656.368, curr fitness: 656.368, tabu list size: 22
it: 22, best fitness: 735.808, curr fitness: 735.808, tabu list size: 23
it: 23, best fitness: 744.773, curr fitness: 744.773, tabu list size: 24
it: 24, best fitness: 770.523, curr fitness: 770.523, tabu list size: 25
it: 25, best fitness: 770.523, curr fitness: 770.523, tabu list size: 26
it: 26, best fitness: 791.859, curr fitness: 791.859, tabu list size: 27
it: 27, best fitness: 791.859, curr fitness: 787.683, tabu list size: 28
it: 28, best fitness: 791.859, curr fitness: 770.558, tabu list size: 29
it: 29, best fitness: 791.859, curr fitness: 761.814, tabu list size: 30
it: 30, best fitness: 791.859, curr fitness: 768.457, tabu list size: 30
it: 31, best fitness: 791.859, curr fitness: 774.585, tabu list size: 30
it: 32, best fitness: 791.859, curr fitness: 766.484, tabu list size: 31
it: 33, best fitness: 791.859, curr fitness: 771.586, tabu list size: 31
it: 34, best fitness: 791.859, curr fitness: 771.586, tabu list size: 31
it: 35, best fitness: 791.859, curr fitness: 756.504, tabu list size: 31
it: 36, best fitness: 791.859, curr fitness: 761.098, tabu list size: 31
it: 37, best fitness: 791.859, curr fitness: 758.829, tabu list size: 31
it: 38, best fitness: 791.859, curr fitness: 754.817, tabu list size: 32
it: 39, best fitness: 791.859, curr fitness: 726.215, tabu list size: 32
it: 40, best fitness: 791.859, curr fitness: 730.736, tabu list size: 32
it: 41, best fitness: 791.859, curr fitness: 759.489, tabu list size: 32
it: 42, best fitness: 791.859, curr fitness: 781.653, tabu list size: 32
it: 43, best fitness: 791.859, curr fitness: 781.653, tabu list size: 33
it: 44, best fitness: 791.859, curr fitness: 781.653, tabu list size: 34
it: 45, best fitness: 791.859, curr fitness: 779.41, tabu list size: 34
it: 46, best fitness: 791.859, curr fitness: 751.96, tabu list size: 35
it: 47, best fitness: 791.859, curr fitness: 764.839, tabu list size: 35
it: 48, best fitness: 791.859, curr fitness: 764.839, tabu list size: 35
it: 49, best fitness: 791.859, curr fitness: 764.839, tabu list size: 35
