candles read:
from: 2018-Jan-04 00:00:00
to: 2022-Oct-29 18:00:00
difference: 1759d 18:00:00.000000
count: 2354949
duration: 5.373214s
it: 0, best fitness: 35.8524, curr fitness: 35.8524, tabu list size: 1
it: 1, best fitness: 36.3519, curr fitness: 36.3519, tabu list size: 2
it: 2, best fitness: 47.1071, curr fitness: 47.1071, tabu list size: 3
it: 3, best fitness: 147.843, curr fitness: 147.843, tabu list size: 4
it: 4, best fitness: 176.881, curr fitness: 176.881, tabu list size: 5
it: 5, best fitness: 200.821, curr fitness: 200.821, tabu list size: 6
it: 6, best fitness: 220.139, curr fitness: 220.139, tabu list size: 7
it: 7, best fitness: 231.61, curr fitness: 231.61, tabu list size: 8
it: 8, best fitness: 245.061, curr fitness: 245.061, tabu list size: 9
it: 9, best fitness: 249.147, curr fitness: 249.147, tabu list size: 10
it: 10, best fitness: 252.372, curr fitness: 252.372, tabu list size: 11
it: 11, best fitness: 252.372, curr fitness: 252.372, tabu list size: 12
it: 12, best fitness: 255.836, curr fitness: 255.836, tabu list size: 13
it: 13, best fitness: 255.836, curr fitness: 255.836, tabu list size: 14
it: 14, best fitness: 255.836, curr fitness: 252.372, tabu list size: 15
it: 15, best fitness: 255.836, curr fitness: 253.253, tabu list size: 16
it: 16, best fitness: 255.836, curr fitness: 253.253, tabu list size: 16
it: 17, best fitness: 255.836, curr fitness: 253.253, tabu list size: 17
it: 18, best fitness: 255.836, curr fitness: 253.399, tabu list size: 18
it: 19, best fitness: 255.836, curr fitness: 241.977, tabu list size: 19
it: 20, best fitness: 255.836, curr fitness: 245.321, tabu list size: 20
it: 21, best fitness: 255.836, curr fitness: 246.589, tabu list size: 21
it: 22, best fitness: 255.836, curr fitness: 253.399, tabu list size: 22
it: 23, best fitness: 255.836, curr fitness: 253.399, tabu list size: 23
it: 24, best fitness: 255.836, curr fitness: 251.611, tabu list size: 24
it: 25, best fitness: 255.836, curr fitness: 251.611, tabu list size: 25
it: 26, best fitness: 255.836, curr fitness: 251.611, tabu list size: 26
it: 27, best fitness: 255.836, curr fitness: 247.701, tabu list size: 27
it: 28, best fitness: 259.272, curr fitness: 259.272, tabu list size: 28
it: 29, best fitness: 260.605, curr fitness: 260.605, tabu list size: 28
it: 30, best fitness: 260.735, curr fitness: 260.735, tabu list size: 28
it: 31, best fitness: 260.735, curr fitness: 260.735, tabu list size: 29
it: 32, best fitness: 261.024, curr fitness: 261.024, tabu list size: 29
it: 33, best fitness: 261.024, curr fitness: 261.024, tabu list size: 30
it: 34, best fitness: 264.758, curr fitness: 264.758, tabu list size: 31
it: 35, best fitness: 273.509, curr fitness: 273.509, tabu list size: 31
it: 36, best fitness: 273.509, curr fitness: 273.37, tabu list size: 31
it: 37, best fitness: 273.509, curr fitness: 273.084, tabu list size: 31
it: 38, best fitness: 273.509, curr fitness: 273.509, tabu list size: 31
it: 39, best fitness: 273.509, curr fitness: 273.509, tabu list size: 31
it: 40, best fitness: 273.509, curr fitness: 272.281, tabu list size: 32
it: 41, best fitness: 273.509, curr fitness: 269.353, tabu list size: 32
it: 42, best fitness: 273.509, curr fitness: 272.171, tabu list size: 32
it: 43, best fitness: 273.509, curr fitness: 268.771, tabu list size: 32
it: 44, best fitness: 273.509, curr fitness: 270.504, tabu list size: 32
it: 45, best fitness: 273.509, curr fitness: 238.099, tabu list size: 33
it: 46, best fitness: 273.509, curr fitness: 253.398, tabu list size: 34
it: 47, best fitness: 275.122, curr fitness: 275.122, tabu list size: 34
it: 48, best fitness: 321.531, curr fitness: 321.531, tabu list size: 35
it: 49, best fitness: 331.946, curr fitness: 331.946, tabu list size: 35
it: 50, best fitness: 441.13, curr fitness: 441.13, tabu list size: 36
it: 51, best fitness: 445.629, curr fitness: 445.629, tabu list size: 37
it: 52, best fitness: 463.858, curr fitness: 463.858, tabu list size: 38
it: 53, best fitness: 526.68, curr fitness: 526.68, tabu list size: 38
it: 54, best fitness: 526.68, curr fitness: 516.548, tabu list size: 38
it: 55, best fitness: 545.121, curr fitness: 545.121, tabu list size: 38
it: 56, best fitness: 558.987, curr fitness: 558.987, tabu list size: 38
it: 57, best fitness: 581.007, curr fitness: 581.007, tabu list size: 39
it: 58, best fitness: 586.251, curr fitness: 586.251, tabu list size: 39
it: 59, best fitness: 586.251, curr fitness: 586.251, tabu list size: 39
it: 60, best fitness: 593.162, curr fitness: 593.162, tabu list size: 39
it: 61, best fitness: 817.11, curr fitness: 817.11, tabu list size: 40
it: 62, best fitness: 836.152, curr fitness: 836.152, tabu list size: 40
it: 63, best fitness: 929.926, curr fitness: 929.926, tabu list size: 41
it: 64, best fitness: 957.106, curr fitness: 957.106, tabu list size: 41
it: 65, best fitness: 1032.49, curr fitness: 1032.49, tabu list size: 42
it: 66, best fitness: 1032.49, curr fitness: 974.132, tabu list size: 43
it: 67, best fitness: 1032.49, curr fitness: 974.132, tabu list size: 44
it: 68, best fitness: 1094.53, curr fitness: 1094.53, tabu list size: 45
it: 69, best fitness: 1094.53, curr fitness: 995.03, tabu list size: 45
it: 70, best fitness: 1147.04, curr fitness: 1147.04, tabu list size: 45
it: 71, best fitness: 1147.04, curr fitness: 1147.04, tabu list size: 46
it: 72, best fitness: 1147.04, curr fitness: 1147.04, tabu list size: 46
it: 73, best fitness: 1147.04, curr fitness: 1147.04, tabu list size: 45
it: 74, best fitness: 1147.04, curr fitness: 1147.04, tabu list size: 44
it: 75, best fitness: 1147.04, curr fitness: 897.32, tabu list size: 44
it: 76, best fitness: 1147.04, curr fitness: 897.32, tabu list size: 44
it: 77, best fitness: 1147.04, curr fitness: 1063.82, tabu list size: 44
it: 78, best fitness: 1191.51, curr fitness: 1191.51, tabu list size: 44
it: 79, best fitness: 1191.51, curr fitness: 1185.02, tabu list size: 44
it: 80, best fitness: 1191.51, curr fitness: 1078.36, tabu list size: 44
it: 81, best fitness: 1207.53, curr fitness: 1207.53, tabu list size: 44
it: 82, best fitness: 1207.53, curr fitness: 1207.53, tabu list size: 44
it: 83, best fitness: 1207.53, curr fitness: 1191.51, tabu list size: 44
it: 84, best fitness: 1207.53, curr fitness: 1147.04, tabu list size: 44
it: 85, best fitness: 1207.53, curr fitness: 1162.47, tabu list size: 44
it: 86, best fitness: 1207.53, curr fitness: 1207.53, tabu list size: 44
it: 87, best fitness: 1207.53, curr fitness: 1172.69, tabu list size: 44
it: 88, best fitness: 1207.53, curr fitness: 1150.54, tabu list size: 44
it: 89, best fitness: 1207.53, curr fitness: 1115.69, tabu list size: 44
it: 90, best fitness: 1207.53, curr fitness: 1167.71, tabu list size: 44
it: 91, best fitness: 1207.53, curr fitness: 1127.28, tabu list size: 44
it: 92, best fitness: 1207.53, curr fitness: 1184.69, tabu list size: 44
it: 93, best fitness: 1207.53, curr fitness: 1207.53, tabu list size: 44
it: 94, best fitness: 1207.53, curr fitness: 1185.02, tabu list size: 44
it: 95, best fitness: 1207.53, curr fitness: 1185.02, tabu list size: 43
it: 96, best fitness: 1207.53, curr fitness: 1184.69, tabu list size: 44
it: 97, best fitness: 1207.53, curr fitness: 1184.69, tabu list size: 44
it: 98, best fitness: 1207.53, curr fitness: 1184.69, tabu list size: 43
it: 99, best fitness: 1207.53, curr fitness: 1184.69, tabu list size: 43
it: 100, best fitness: 1207.53, curr fitness: 1184.69, tabu list size: 43
it: 101, best fitness: 1207.53, curr fitness: 1057.87, tabu list size: 43
it: 102, best fitness: 1207.53, curr fitness: 1018.37, tabu list size: 43
it: 103, best fitness: 1207.53, curr fitness: 1124.75, tabu list size: 43
it: 104, best fitness: 1246.18, curr fitness: 1246.18, tabu list size: 43
it: 105, best fitness: 1246.18, curr fitness: 1181.38, tabu list size: 43
it: 106, best fitness: 1246.18, curr fitness: 1181.06, tabu list size: 43
it: 107, best fitness: 1246.18, curr fitness: 1204.18, tabu list size: 43
it: 108, best fitness: 1246.18, curr fitness: 1181.06, tabu list size: 43
it: 109, best fitness: 1246.18, curr fitness: 1188.22, tabu list size: 43
it: 110, best fitness: 1246.18, curr fitness: 1234.57, tabu list size: 43
it: 111, best fitness: 1246.18, curr fitness: 1234.57, tabu list size: 43
it: 112, best fitness: 1295.1, curr fitness: 1295.1, tabu list size: 43
it: 113, best fitness: 1313.83, curr fitness: 1313.83, tabu list size: 43
it: 114, best fitness: 1313.83, curr fitness: 1270.99, tabu list size: 43
it: 115, best fitness: 1313.83, curr fitness: 1312.64, tabu list size: 43
it: 116, best fitness: 1313.83, curr fitness: 1312.64, tabu list size: 43
it: 117, best fitness: 1313.83, curr fitness: 1263.5, tabu list size: 43
it: 118, best fitness: 1313.83, curr fitness: 1288.09, tabu list size: 44
it: 119, best fitness: 1338.02, curr fitness: 1338.02, tabu list size: 44
it: 120, best fitness: 1338.02, curr fitness: 1294.08, tabu list size: 44
it: 121, best fitness: 1338.02, curr fitness: 1318.76, tabu list size: 44
it: 122, best fitness: 1338.02, curr fitness: 1338.02, tabu list size: 44
it: 123, best fitness: 1338.02, curr fitness: 1318.76, tabu list size: 44
it: 124, best fitness: 1383.14, curr fitness: 1383.14, tabu list size: 44
it: 125, best fitness: 1383.14, curr fitness: 1383.14, tabu list size: 44
it: 126, best fitness: 1383.14, curr fitness: 1356.88, tabu list size: 44
it: 127, best fitness: 1383.14, curr fitness: 1306.42, tabu list size: 44
it: 128, best fitness: 1383.14, curr fitness: 1306.07, tabu list size: 44
it: 129, best fitness: 1383.14, curr fitness: 1356.88, tabu list size: 44
it: 130, best fitness: 1383.14, curr fitness: 1295.1, tabu list size: 44
it: 131, best fitness: 1383.14, curr fitness: 1356.88, tabu list size: 44
it: 132, best fitness: 1383.14, curr fitness: 1357.25, tabu list size: 44
it: 133, best fitness: 1383.14, curr fitness: 1356.88, tabu list size: 44
it: 134, best fitness: 1383.14, curr fitness: 1287.45, tabu list size: 44
it: 135, best fitness: 1383.14, curr fitness: 1312.52, tabu list size: 44
it: 136, best fitness: 1383.14, curr fitness: 1312.52, tabu list size: 44
it: 137, best fitness: 1383.14, curr fitness: 1320.1, tabu list size: 44
it: 138, best fitness: 1383.14, curr fitness: 1312.52, tabu list size: 44
it: 139, best fitness: 1383.14, curr fitness: 1312.52, tabu list size: 44
it: 140, best fitness: 1383.14, curr fitness: 1312.52, tabu list size: 44
it: 141, best fitness: 1383.14, curr fitness: 1312.52, tabu list size: 44
it: 142, best fitness: 1383.14, curr fitness: 1263.07, tabu list size: 44
it: 143, best fitness: 1383.14, curr fitness: 1312.52, tabu list size: 44
it: 144, best fitness: 1383.14, curr fitness: 1312.52, tabu list size: 44
it: 145, best fitness: 1383.14, curr fitness: 1312.52, tabu list size: 44
it: 146, best fitness: 1383.14, curr fitness: 1295.1, tabu list size: 44
it: 147, best fitness: 1383.14, curr fitness: 1320.1, tabu list size: 44
it: 148, best fitness: 1383.14, curr fitness: 1312.52, tabu list size: 44
it: 149, best fitness: 1383.14, curr fitness: 1287.45, tabu list size: 44
it: 150, best fitness: 1383.14, curr fitness: 1287.8, tabu list size: 44
it: 151, best fitness: 1383.14, curr fitness: 1295.1, tabu list size: 43
it: 152, best fitness: 1383.14, curr fitness: 1312.52, tabu list size: 43
it: 153, best fitness: 1383.14, curr fitness: 933.633, tabu list size: 43
it: 154, best fitness: 1383.14, curr fitness: 935.902, tabu list size: 43
it: 155, best fitness: 1383.14, curr fitness: 945.701, tabu list size: 43
it: 156, best fitness: 1383.14, curr fitness: 935.902, tabu list size: 43
it: 157, best fitness: 1383.14, curr fitness: 935.902, tabu list size: 43
it: 158, best fitness: 1383.14, curr fitness: 935.902, tabu list size: 43
it: 159, best fitness: 1383.14, curr fitness: 974.828, tabu list size: 43
it: 160, best fitness: 1383.14, curr fitness: 974.828, tabu list size: 42
it: 161, best fitness: 1383.14, curr fitness: 942.063, tabu list size: 42
it: 162, best fitness: 1383.14, curr fitness: 1306.07, tabu list size: 42
it: 163, best fitness: 1383.14, curr fitness: 1306.07, tabu list size: 42
it: 164, best fitness: 1383.14, curr fitness: 1356.88, tabu list size: 42
it: 165, best fitness: 1383.14, curr fitness: 1356.88, tabu list size: 42
it: 166, best fitness: 1383.14, curr fitness: 1383.14, tabu list size: 42
it: 167, best fitness: 1383.14, curr fitness: 1357.25, tabu list size: 42
it: 168, best fitness: 1383.14, curr fitness: 1364.77, tabu list size: 42
it: 169, best fitness: 1383.14, curr fitness: 1364.77, tabu list size: 41
it: 170, best fitness: 1383.14, curr fitness: 1313.83, tabu list size: 42
it: 171, best fitness: 1383.14, curr fitness: 1313.83, tabu list size: 42
it: 172, best fitness: 1383.14, curr fitness: 1313.83, tabu list size: 42
it: 173, best fitness: 1383.14, curr fitness: 1306.07, tabu list size: 42
it: 174, best fitness: 1383.14, curr fitness: 1313.83, tabu list size: 42
it: 175, best fitness: 1383.14, curr fitness: 1246.63, tabu list size: 42
it: 176, best fitness: 1383.14, curr fitness: 1313.83, tabu list size: 42
it: 177, best fitness: 1383.14, curr fitness: 1313.83, tabu list size: 42
it: 178, best fitness: 1383.14, curr fitness: 1313.83, tabu list size: 43
it: 179, best fitness: 1383.14, curr fitness: 1331.52, tabu list size: 43
it: 180, best fitness: 1383.14, curr fitness: 1356.88, tabu list size: 42
it: 181, best fitness: 1383.14, curr fitness: 1356.88, tabu list size: 42
it: 182, best fitness: 1383.14, curr fitness: 1287.8, tabu list size: 42
it: 183, best fitness: 1383.14, curr fitness: 1287.8, tabu list size: 41
it: 184, best fitness: 1383.14, curr fitness: 1287.8, tabu list size: 41
it: 185, best fitness: 1383.14, curr fitness: 1357.25, tabu list size: 41
it: 186, best fitness: 1383.14, curr fitness: 1306.42, tabu list size: 41
it: 187, best fitness: 1383.14, curr fitness: 1357.25, tabu list size: 41
it: 188, best fitness: 1383.14, curr fitness: 1357.25, tabu list size: 40
it: 189, best fitness: 1383.14, curr fitness: 1383.14, tabu list size: 40
it: 190, best fitness: 1383.14, curr fitness: 1356.88, tabu list size: 40
it: 191, best fitness: 1383.14, curr fitness: 1312.52, tabu list size: 40
