candles read:
from: 2018-Apr-17 04:02:00
to: 2023-Apr-12 11:26:00
difference: 1821d 07:24:00.000000
count: 2616803
duration: 3.237980
began: 2023-Apr-20 19:10:01
it: 0, best value: 262.263, curr value: 262.263, tabu list size: 1
it: 1, best value: 274.791, curr value: 274.791, tabu list size: 2
it: 2, best value: 366.631, curr value: 366.631, tabu list size: 3
it: 3, best value: 366.631, curr value: 366.631, tabu list size: 4
it: 4, best value: 425.248, curr value: 425.248, tabu list size: 5
it: 5, best value: 586.389, curr value: 586.389, tabu list size: 6
it: 6, best value: 674.684, curr value: 674.684, tabu list size: 7
it: 7, best value: 674.684, curr value: 674.684, tabu list size: 8
it: 8, best value: 719.938, curr value: 719.938, tabu list size: 9
it: 9, best value: 730.81, curr value: 730.81, tabu list size: 10
it: 10, best value: 741.19, curr value: 741.19, tabu list size: 11
it: 11, best value: 749.789, curr value: 749.789, tabu list size: 12
it: 12, best value: 751.215, curr value: 751.215, tabu list size: 13
it: 13, best value: 751.445, curr value: 751.445, tabu list size: 14
it: 14, best value: 751.445, curr value: 746.227, tabu list size: 15
it: 15, best value: 751.445, curr value: 741.013, tabu list size: 16
it: 16, best value: 751.445, curr value: 705.032, tabu list size: 17
it: 17, best value: 751.445, curr value: 711.189, tabu list size: 18
it: 18, best value: 751.445, curr value: 674.718, tabu list size: 19
it: 19, best value: 751.445, curr value: 674.718, tabu list size: 19
it: 20, best value: 751.445, curr value: 601.627, tabu list size: 20
it: 21, best value: 751.445, curr value: 594.322, tabu list size: 21
it: 22, best value: 751.445, curr value: 594.322, tabu list size: 21
it: 23, best value: 751.445, curr value: 651.241, tabu list size: 22
it: 24, best value: 751.445, curr value: 746.227, tabu list size: 23
it: 25, best value: 751.445, curr value: 746.227, tabu list size: 23
it: 26, best value: 751.445, curr value: 685.442, tabu list size: 24
it: 27, best value: 751.445, curr value: 749.789, tabu list size: 25
it: 28, best value: 751.445, curr value: 686.894, tabu list size: 26
it: 29, best value: 751.445, curr value: 751.445, tabu list size: 27
it: 30, best value: 751.445, curr value: 706.781, tabu list size: 28
it: 31, best value: 751.445, curr value: 665.263, tabu list size: 29
it: 32, best value: 751.445, curr value: 728.265, tabu list size: 30
it: 33, best value: 751.445, curr value: 678.943, tabu list size: 31
it: 34, best value: 751.445, curr value: 656.438, tabu list size: 32
it: 35, best value: 751.445, curr value: 598.768, tabu list size: 33
it: 36, best value: 751.445, curr value: 571.394, tabu list size: 34
it: 37, best value: 751.445, curr value: 520.072, tabu list size: 35
it: 38, best value: 751.445, curr value: 598.768, tabu list size: 36
it: 39, best value: 751.445, curr value: 653.451, tabu list size: 37
it: 40, best value: 751.445, curr value: 686.592, tabu list size: 38
it: 41, best value: 751.445, curr value: 686.894, tabu list size: 39
ended: 2023-Apr-20 19:11:06
duration: 1:04.729081
