candles read:
from: 2018-Apr-17 04:02:00
to: 2023-Apr-12 11:26:00
difference: 1821d 07:24:00.000000
count: 2616803
duration: 3.175028
began: 2023-Apr-21 15:13:56
it: 0, best value: -52.075, curr value: -52.075, tabu list size: 1
it: 1, best value: -50.579, curr value: -50.579, tabu list size: 2
it: 2, best value: -23.7025, curr value: -23.7025, tabu list size: 3
it: 3, best value: -23.7025, curr value: -23.7025, tabu list size: 4
it: 4, best value: 59.9242, curr value: 59.9242, tabu list size: 5
it: 5, best value: 59.9242, curr value: 59.9242, tabu list size: 6
it: 6, best value: 67.997, curr value: 67.997, tabu list size: 7
it: 7, best value: 377.255, curr value: 377.255, tabu list size: 8
it: 8, best value: 639.075, curr value: 639.075, tabu list size: 9
it: 9, best value: 646.658, curr value: 646.658, tabu list size: 10
it: 10, best value: 646.658, curr value: 646.658, tabu list size: 11
it: 11, best value: 654.529, curr value: 654.529, tabu list size: 12
it: 12, best value: 751.215, curr value: 751.215, tabu list size: 13
it: 13, best value: 751.445, curr value: 751.445, tabu list size: 14
it: 14, best value: 751.445, curr value: 749.789, tabu list size: 15
it: 15, best value: 751.445, curr value: 749.789, tabu list size: 15
it: 16, best value: 751.445, curr value: 749.789, tabu list size: 15
it: 17, best value: 751.445, curr value: 746.227, tabu list size: 16
it: 18, best value: 751.445, curr value: 741.19, tabu list size: 17
it: 19, best value: 751.445, curr value: 749.084, tabu list size: 18
it: 20, best value: 751.445, curr value: 749.084, tabu list size: 18
it: 21, best value: 754.849, curr value: 754.849, tabu list size: 19
it: 22, best value: 754.849, curr value: 723.292, tabu list size: 20
it: 23, best value: 754.849, curr value: 719.938, tabu list size: 21
it: 24, best value: 754.849, curr value: 730.81, tabu list size: 22
it: 25, best value: 754.849, curr value: 723.292, tabu list size: 22
it: 26, best value: 754.849, curr value: 698.142, tabu list size: 23
it: 27, best value: 754.849, curr value: 723.292, tabu list size: 24
it: 28, best value: 754.849, curr value: 666.717, tabu list size: 25
it: 29, best value: 754.849, curr value: 719.938, tabu list size: 26
it: 30, best value: 754.849, curr value: 699.676, tabu list size: 27
it: 31, best value: 754.849, curr value: 667.841, tabu list size: 28
it: 32, best value: 754.849, curr value: 730.81, tabu list size: 28
it: 33, best value: 754.849, curr value: 708.823, tabu list size: 28
it: 34, best value: 754.849, curr value: 723.292, tabu list size: 28
it: 35, best value: 754.849, curr value: 723.292, tabu list size: 27
it: 36, best value: 754.849, curr value: 683.933, tabu list size: 27
it: 37, best value: 754.849, curr value: 645.961, tabu list size: 27
it: 38, best value: 754.849, curr value: 703.918, tabu list size: 26
it: 39, best value: 754.849, curr value: 703.918, tabu list size: 26
it: 40, best value: 754.849, curr value: 718.324, tabu list size: 25
it: 41, best value: 754.849, curr value: 675.174, tabu list size: 25
it: 42, best value: 754.849, curr value: 730.727, tabu list size: 25
it: 43, best value: 754.849, curr value: 730.727, tabu list size: 25
it: 44, best value: 754.849, curr value: 730.727, tabu list size: 25
it: 45, best value: 754.849, curr value: 686.71, tabu list size: 25
it: 46, best value: 754.849, curr value: 741.013, tabu list size: 25
it: 47, best value: 754.849, curr value: 730.727, tabu list size: 26
it: 48, best value: 754.849, curr value: 718.324, tabu list size: 27
it: 49, best value: 754.849, curr value: 670.288, tabu list size: 27
it: 50, best value: 754.849, curr value: 648.2, tabu list size: 27
it: 51, best value: 754.849, curr value: 651.241, tabu list size: 27
it: 52, best value: 754.849, curr value: 741.013, tabu list size: 28
it: 53, best value: 754.849, curr value: 749.084, tabu list size: 28
it: 54, best value: 754.849, curr value: 703.582, tabu list size: 28
it: 55, best value: 754.849, curr value: 754.849, tabu list size: 28
it: 56, best value: 754.849, curr value: 703.582, tabu list size: 28
it: 57, best value: 754.849, curr value: 749.084, tabu list size: 29
it: 58, best value: 754.849, curr value: 754.849, tabu list size: 29
it: 59, best value: 754.849, curr value: 730.81, tabu list size: 29
it: 60, best value: 754.849, curr value: 723.292, tabu list size: 29
