candles read:
from: 2017-Aug-17 04:00:00
to: 2023-Apr-11 22:10:00
difference: 2063d 18:10:00.000000
count: 2963250
duration: 3.813904
began: 2023-Apr-21 15:17:48
it: 0, best value: -77.2593, curr value: -77.2593, tabu list size: 1
it: 1, best value: 59.2193, curr value: 59.2193, tabu list size: 2
it: 2, best value: 98.4537, curr value: 98.4537, tabu list size: 3
it: 3, best value: 101.757, curr value: 101.757, tabu list size: 4
it: 4, best value: 101.757, curr value: 101.757, tabu list size: 5
it: 5, best value: 104.522, curr value: 104.522, tabu list size: 6
it: 6, best value: 104.522, curr value: 104.522, tabu list size: 7
it: 7, best value: 119.438, curr value: 119.438, tabu list size: 8
it: 8, best value: 238.96, curr value: 238.96, tabu list size: 9
it: 9, best value: 265.192, curr value: 265.192, tabu list size: 10
it: 10, best value: 277.027, curr value: 277.027, tabu list size: 11
it: 11, best value: 300.063, curr value: 300.063, tabu list size: 12
it: 12, best value: 309.017, curr value: 309.017, tabu list size: 13
it: 13, best value: 314.1, curr value: 314.1, tabu list size: 14
it: 14, best value: 314.1, curr value: 311.306, tabu list size: 15
it: 15, best value: 314.1, curr value: 311.087, tabu list size: 16
it: 16, best value: 314.1, curr value: 312.283, tabu list size: 17
it: 17, best value: 314.1, curr value: 302.51, tabu list size: 18
it: 18, best value: 314.1, curr value: 312.283, tabu list size: 19
it: 19, best value: 314.1, curr value: 304.076, tabu list size: 20
it: 20, best value: 314.1, curr value: 300.357, tabu list size: 21
it: 21, best value: 314.1, curr value: 313.438, tabu list size: 22
it: 22, best value: 314.1, curr value: 261.608, tabu list size: 23
it: 23, best value: 314.1, curr value: 273.739, tabu list size: 24
it: 24, best value: 314.1, curr value: 278.534, tabu list size: 25
it: 25, best value: 314.1, curr value: 267.423, tabu list size: 26
it: 26, best value: 314.1, curr value: 308.473, tabu list size: 27
it: 27, best value: 314.1, curr value: 286.233, tabu list size: 28
it: 28, best value: 336.648, curr value: 336.648, tabu list size: 29
it: 29, best value: 336.648, curr value: 293.15, tabu list size: 30
it: 30, best value: 336.648, curr value: 331.552, tabu list size: 31
it: 31, best value: 336.648, curr value: 301.457, tabu list size: 32
it: 32, best value: 336.648, curr value: 301.457, tabu list size: 31
it: 33, best value: 336.648, curr value: 293.047, tabu list size: 31
it: 34, best value: 336.648, curr value: 269.543, tabu list size: 31
it: 35, best value: 336.648, curr value: 241.888, tabu list size: 31
it: 36, best value: 336.648, curr value: 267.563, tabu list size: 31
it: 37, best value: 336.648, curr value: 267.563, tabu list size: 31
it: 38, best value: 336.648, curr value: 260.539, tabu list size: 31
it: 39, best value: 336.648, curr value: 280.417, tabu list size: 31
it: 40, best value: 336.648, curr value: 280.417, tabu list size: 31
it: 41, best value: 336.648, curr value: 248.772, tabu list size: 31
it: 42, best value: 336.648, curr value: 262.797, tabu list size: 31
it: 43, best value: 336.648, curr value: 280.417, tabu list size: 31
it: 44, best value: 336.648, curr value: 248.772, tabu list size: 30
it: 45, best value: 336.648, curr value: 232.7, tabu list size: 30
it: 46, best value: 336.648, curr value: 262.797, tabu list size: 30
it: 47, best value: 336.648, curr value: 257.294, tabu list size: 30
it: 48, best value: 336.648, curr value: 279.658, tabu list size: 29
it: 49, best value: 336.648, curr value: 293.622, tabu list size: 29
it: 50, best value: 336.648, curr value: 296.002, tabu list size: 29
it: 51, best value: 336.648, curr value: 280.421, tabu list size: 29
it: 52, best value: 336.648, curr value: 282.808, tabu list size: 29
it: 53, best value: 336.648, curr value: 274.454, tabu list size: 29
it: 54, best value: 336.648, curr value: 265.655, tabu list size: 29
it: 55, best value: 336.648, curr value: 274.454, tabu list size: 28
it: 56, best value: 336.648, curr value: 258.046, tabu list size: 28
it: 57, best value: 336.648, curr value: 257.128, tabu list size: 28
it: 58, best value: 336.648, curr value: 284.832, tabu list size: 28
it: 59, best value: 336.648, curr value: 280.647, tabu list size: 28
it: 60, best value: 336.648, curr value: 284.832, tabu list size: 28
it: 61, best value: 336.648, curr value: 260.763, tabu list size: 28
it: 62, best value: 336.648, curr value: 299.736, tabu list size: 28
it: 63, best value: 336.648, curr value: 286.411, tabu list size: 29
it: 64, best value: 336.648, curr value: 271.476, tabu list size: 30
it: 65, best value: 336.648, curr value: 288.132, tabu list size: 30
it: 66, best value: 336.648, curr value: 288.132, tabu list size: 29
it: 67, best value: 336.648, curr value: 273.376, tabu list size: 28
it: 68, best value: 336.648, curr value: 294.383, tabu list size: 29
it: 69, best value: 336.648, curr value: 278.257, tabu list size: 29
it: 70, best value: 336.648, curr value: 278.257, tabu list size: 29
it: 71, best value: 336.648, curr value: 284.955, tabu list size: 29
it: 72, best value: 336.648, curr value: 285.32, tabu list size: 29
it: 73, best value: 336.648, curr value: 302.33, tabu list size: 29
it: 74, best value: 336.648, curr value: 302.33, tabu list size: 29
it: 75, best value: 336.648, curr value: 294.383, tabu list size: 29
it: 76, best value: 336.648, curr value: 247.716, tabu list size: 30
it: 77, best value: 336.648, curr value: 247.716, tabu list size: 29
it: 78, best value: 336.648, curr value: 246.632, tabu list size: 29
it: 79, best value: 336.648, curr value: 279.665, tabu list size: 29
it: 80, best value: 336.648, curr value: 305.814, tabu list size: 29
it: 81, best value: 336.648, curr value: 300.063, tabu list size: 29
it: 82, best value: 336.648, curr value: 258.643, tabu list size: 29
it: 83, best value: 336.648, curr value: 279.665, tabu list size: 28
it: 84, best value: 336.648, curr value: 289.307, tabu list size: 28
it: 85, best value: 336.648, curr value: 289.354, tabu list size: 28
it: 86, best value: 336.648, curr value: 286.935, tabu list size: 28
it: 87, best value: 336.648, curr value: 281.632, tabu list size: 29
it: 88, best value: 336.648, curr value: 277.229, tabu list size: 29
it: 89, best value: 336.648, curr value: 284.197, tabu list size: 29
it: 90, best value: 336.648, curr value: 272.64, tabu list size: 29
it: 91, best value: 336.648, curr value: 278.534, tabu list size: 29
it: 92, best value: 336.648, curr value: 280.671, tabu list size: 29
it: 93, best value: 336.648, curr value: 267.423, tabu list size: 29
it: 94, best value: 336.648, curr value: 287.618, tabu list size: 29
it: 95, best value: 336.648, curr value: 308.02, tabu list size: 29
it: 96, best value: 336.648, curr value: 321.137, tabu list size: 29
it: 97, best value: 336.648, curr value: 308.02, tabu list size: 29
it: 98, best value: 336.648, curr value: 296.502, tabu list size: 30
it: 99, best value: 336.648, curr value: 284.55, tabu list size: 30
it: 100, best value: 336.648, curr value: 284.55, tabu list size: 29
it: 101, best value: 336.648, curr value: 273.081, tabu list size: 29
it: 102, best value: 336.648, curr value: 273.081, tabu list size: 28
it: 103, best value: 336.648, curr value: 284.55, tabu list size: 28
it: 104, best value: 336.648, curr value: 284.55, tabu list size: 28
it: 105, best value: 336.648, curr value: 275.315, tabu list size: 28
it: 106, best value: 336.648, curr value: 317.342, tabu list size: 28
it: 107, best value: 336.648, curr value: 317.342, tabu list size: 28
it: 108, best value: 336.648, curr value: 310.406, tabu list size: 28
it: 109, best value: 336.648, curr value: 310.406, tabu list size: 28
it: 110, best value: 336.648, curr value: 326.755, tabu list size: 29
it: 111, best value: 336.648, curr value: 326.755, tabu list size: 28
it: 112, best value: 336.648, curr value: 310.406, tabu list size: 28
it: 113, best value: 336.648, curr value: 317.342, tabu list size: 28
it: 114, best value: 336.648, curr value: 296.111, tabu list size: 28
it: 115, best value: 336.648, curr value: 270.755, tabu list size: 28
it: 116, best value: 336.648, curr value: 317.342, tabu list size: 28
it: 117, best value: 336.648, curr value: 295.772, tabu list size: 28
it: 118, best value: 336.648, curr value: 290.948, tabu list size: 28
it: 119, best value: 336.648, curr value: 295.772, tabu list size: 27
it: 120, best value: 336.648, curr value: 295.772, tabu list size: 26
it: 121, best value: 336.648, curr value: 257.285, tabu list size: 26
it: 122, best value: 336.648, curr value: 257.454, tabu list size: 26
it: 123, best value: 336.648, curr value: 254.512, tabu list size: 26
it: 124, best value: 336.648, curr value: 238.766, tabu list size: 26
it: 125, best value: 336.648, curr value: 257.285, tabu list size: 25
it: 126, best value: 336.648, curr value: 324.695, tabu list size: 25
it: 127, best value: 370.685, curr value: 370.685, tabu list size: 25
ended: 2023-Apr-21 15:21:07
duration: 3:19.436150
