candles read:
from: 2019-Mar-28 04:00:00
to: 2023-Apr-12 09:28:00
difference: 1476d 05:28:00.000000
count: 2122039
duration: 2.749175
began: 2023-Apr-20 19:17:50
it: 0, best value: 64.2578, curr value: 64.2578, tabu list size: 1
it: 1, best value: 64.2578, curr value: 64.2578, tabu list size: 2
it: 2, best value: 66.7108, curr value: 66.7108, tabu list size: 3
it: 3, best value: 66.7108, curr value: 66.7108, tabu list size: 4
it: 4, best value: 81.7458, curr value: 81.7458, tabu list size: 5
it: 5, best value: 82.4759, curr value: 82.4759, tabu list size: 6
it: 6, best value: 82.5623, curr value: 82.5623, tabu list size: 7
it: 7, best value: 82.5623, curr value: 82.2477, tabu list size: 8
it: 8, best value: 82.5623, curr value: 82.5623, tabu list size: 9
it: 9, best value: 83.6804, curr value: 83.6804, tabu list size: 10
it: 10, best value: 87.0804, curr value: 87.0804, tabu list size: 11
it: 11, best value: 91.2684, curr value: 91.2684, tabu list size: 12
it: 12, best value: 91.2684, curr value: 79.8975, tabu list size: 13
it: 13, best value: 91.2684, curr value: 90.0549, tabu list size: 14
it: 14, best value: 91.2684, curr value: 85.3542, tabu list size: 15
it: 15, best value: 91.2684, curr value: 83.3452, tabu list size: 16
it: 16, best value: 91.2684, curr value: 88.3301, tabu list size: 17
it: 17, best value: 91.5366, curr value: 91.5366, tabu list size: 18
it: 18, best value: 98.0107, curr value: 98.0107, tabu list size: 19
it: 19, best value: 105.902, curr value: 105.902, tabu list size: 20
it: 20, best value: 107.956, curr value: 107.956, tabu list size: 21
it: 21, best value: 107.956, curr value: 91.7242, tabu list size: 22
it: 22, best value: 107.956, curr value: 107.956, tabu list size: 23
it: 23, best value: 107.956, curr value: 107.956, tabu list size: 23
it: 24, best value: 107.956, curr value: 87.064, tabu list size: 24
it: 25, best value: 107.956, curr value: 82.6141, tabu list size: 25
it: 26, best value: 107.956, curr value: 87.064, tabu list size: 26
it: 27, best value: 107.956, curr value: 103.861, tabu list size: 27
it: 28, best value: 107.956, curr value: 103.861, tabu list size: 27
it: 29, best value: 107.956, curr value: 107.956, tabu list size: 28
it: 30, best value: 107.956, curr value: 103.796, tabu list size: 28
it: 31, best value: 107.956, curr value: 94.8711, tabu list size: 29
it: 32, best value: 107.956, curr value: 103.796, tabu list size: 30
it: 33, best value: 107.956, curr value: 76.5139, tabu list size: 31
it: 34, best value: 107.956, curr value: 94.2906, tabu list size: 32
it: 35, best value: 107.956, curr value: 93.6517, tabu list size: 33
it: 36, best value: 107.956, curr value: 89.3232, tabu list size: 33
it: 37, best value: 107.956, curr value: 85.5676, tabu list size: 34
it: 38, best value: 107.956, curr value: 73.3366, tabu list size: 35
it: 39, best value: 107.956, curr value: 85.5723, tabu list size: 36
it: 40, best value: 107.956, curr value: 91.7242, tabu list size: 37
it: 41, best value: 107.956, curr value: 107.956, tabu list size: 37
it: 42, best value: 107.956, curr value: 88.4696, tabu list size: 37
it: 43, best value: 107.956, curr value: 77.3168, tabu list size: 37
it: 44, best value: 107.956, curr value: 77.3168, tabu list size: 36
it: 45, best value: 107.956, curr value: 107.829, tabu list size: 36
it: 46, best value: 107.956, curr value: 107.829, tabu list size: 36
it: 47, best value: 107.956, curr value: 92.2209, tabu list size: 36
it: 48, best value: 107.956, curr value: 96.2471, tabu list size: 36
it: 49, best value: 107.956, curr value: 99.919, tabu list size: 36
it: 50, best value: 107.956, curr value: 99.919, tabu list size: 36
it: 51, best value: 107.956, curr value: 88.0804, tabu list size: 36
it: 52, best value: 107.956, curr value: 99.6609, tabu list size: 36
it: 53, best value: 107.956, curr value: 99.1142, tabu list size: 36
it: 54, best value: 107.956, curr value: 97.5442, tabu list size: 36
it: 55, best value: 107.956, curr value: 104.568, tabu list size: 36
it: 56, best value: 107.956, curr value: 104.568, tabu list size: 35
it: 57, best value: 107.956, curr value: 104.568, tabu list size: 34
it: 58, best value: 107.956, curr value: 99.919, tabu list size: 33
it: 59, best value: 107.956, curr value: 88.6272, tabu list size: 33
it: 60, best value: 107.956, curr value: 99.919, tabu list size: 33
it: 61, best value: 107.956, curr value: 77.4992, tabu list size: 33
it: 62, best value: 107.956, curr value: 92.7002, tabu list size: 33
it: 63, best value: 107.956, curr value: 96.1096, tabu list size: 33
it: 64, best value: 107.956, curr value: 103.263, tabu list size: 33
it: 65, best value: 107.956, curr value: 102.581, tabu list size: 34
it: 66, best value: 107.956, curr value: 103.263, tabu list size: 34
it: 67, best value: 107.956, curr value: 96.6205, tabu list size: 34
it: 68, best value: 107.956, curr value: 102.581, tabu list size: 34
it: 69, best value: 107.956, curr value: 100.79, tabu list size: 34
it: 70, best value: 107.956, curr value: 102.263, tabu list size: 35
it: 71, best value: 107.956, curr value: 97.2665, tabu list size: 35
it: 72, best value: 107.956, curr value: 102.263, tabu list size: 36
it: 73, best value: 107.956, curr value: 98.3968, tabu list size: 36
it: 74, best value: 107.956, curr value: 99.5235, tabu list size: 35
it: 75, best value: 107.956, curr value: 54.4385, tabu list size: 35
it: 76, best value: 107.956, curr value: 88.9861, tabu list size: 35
it: 77, best value: 107.956, curr value: 97.0239, tabu list size: 35
it: 78, best value: 107.956, curr value: 97.0239, tabu list size: 35
it: 79, best value: 107.956, curr value: 96.042, tabu list size: 35
it: 80, best value: 107.956, curr value: 99.8273, tabu list size: 34
it: 81, best value: 107.956, curr value: 102.695, tabu list size: 34
it: 82, best value: 107.956, curr value: 102.695, tabu list size: 33
it: 83, best value: 107.956, curr value: 100.597, tabu list size: 34
it: 84, best value: 107.956, curr value: 88.551, tabu list size: 34
it: 85, best value: 107.956, curr value: 59.558, tabu list size: 34
it: 86, best value: 107.956, curr value: 104, tabu list size: 35
it: 87, best value: 107.956, curr value: 100.757, tabu list size: 35
it: 88, best value: 114.88, curr value: 114.88, tabu list size: 35
it: 89, best value: 114.88, curr value: 114.88, tabu list size: 35
it: 90, best value: 114.88, curr value: 113.846, tabu list size: 34
it: 91, best value: 130.22, curr value: 130.22, tabu list size: 34
it: 92, best value: 130.22, curr value: 80.8282, tabu list size: 34
it: 93, best value: 130.22, curr value: 98.5387, tabu list size: 34
it: 94, best value: 130.22, curr value: 98.5387, tabu list size: 34
it: 95, best value: 130.22, curr value: 124.53, tabu list size: 34
it: 96, best value: 130.22, curr value: 124.53, tabu list size: 33
it: 97, best value: 130.22, curr value: 97.6015, tabu list size: 33
it: 98, best value: 130.22, curr value: 104.568, tabu list size: 34
it: 99, best value: 130.22, curr value: 104, tabu list size: 35
it: 100, best value: 130.22, curr value: 104.568, tabu list size: 36
it: 101, best value: 130.22, curr value: 98.1385, tabu list size: 36
it: 102, best value: 130.22, curr value: 99.919, tabu list size: 36
it: 103, best value: 130.22, curr value: 88.6272, tabu list size: 36
it: 104, best value: 130.22, curr value: 83.4873, tabu list size: 35
it: 105, best value: 130.22, curr value: 99.6609, tabu list size: 35
it: 106, best value: 130.22, curr value: 99.919, tabu list size: 35
it: 107, best value: 130.22, curr value: 90.0107, tabu list size: 35
it: 108, best value: 130.22, curr value: 101.586, tabu list size: 35
it: 109, best value: 130.22, curr value: 101.586, tabu list size: 34
it: 110, best value: 130.22, curr value: 104.568, tabu list size: 34
it: 111, best value: 130.22, curr value: 104.568, tabu list size: 33
it: 112, best value: 130.22, curr value: 102.695, tabu list size: 33
it: 113, best value: 130.22, curr value: 100.79, tabu list size: 33
it: 114, best value: 130.22, curr value: 90.8713, tabu list size: 33
it: 115, best value: 130.22, curr value: 100.79, tabu list size: 33
it: 116, best value: 130.22, curr value: 103.263, tabu list size: 34
it: 117, best value: 130.22, curr value: 102.581, tabu list size: 34
it: 118, best value: 130.22, curr value: 102.263, tabu list size: 34
it: 119, best value: 130.22, curr value: 101.299, tabu list size: 34
it: 120, best value: 130.22, curr value: 99.4868, tabu list size: 34
it: 121, best value: 130.22, curr value: 110.729, tabu list size: 33
it: 122, best value: 130.22, curr value: 113.799, tabu list size: 34
it: 123, best value: 130.22, curr value: 88.6702, tabu list size: 34
it: 124, best value: 130.22, curr value: 113.799, tabu list size: 35
it: 125, best value: 130.22, curr value: 55.2496, tabu list size: 35
it: 126, best value: 130.22, curr value: 77.0107, tabu list size: 35
it: 127, best value: 130.22, curr value: 78.5461, tabu list size: 35
ended: 2023-Apr-20 19:18:40
duration: 50.178736
