candles read:
from: 2019-Mar-28 04:00:00
to: 2023-Apr-12 09:28:00
difference: 1476d 05:28:00.000000
count: 2122039
duration: 2.548258
began: 2023-Apr-20 19:38:19
it: 0, best value: -16.5658, curr value: -16.5658, tabu list size: 1
it: 1, best value: -16.4776, curr value: -16.4776, tabu list size: 2
it: 2, best value: -16.4776, curr value: -16.4776, tabu list size: 3
it: 3, best value: -16.4776, curr value: -16.4776, tabu list size: 4
it: 4, best value: -10.6289, curr value: -10.6289, tabu list size: 5
it: 5, best value: -1.97381, curr value: -1.97381, tabu list size: 6
it: 6, best value: 23.0332, curr value: 23.0332, tabu list size: 7
it: 7, best value: 25.9465, curr value: 25.9465, tabu list size: 8
it: 8, best value: 37.4572, curr value: 37.4572, tabu list size: 9
it: 9, best value: 60.6444, curr value: 60.6444, tabu list size: 10
it: 10, best value: 62.5139, curr value: 62.5139, tabu list size: 11
it: 11, best value: 71.5499, curr value: 71.5499, tabu list size: 12
it: 12, best value: 72.8624, curr value: 72.8624, tabu list size: 13
it: 13, best value: 72.9121, curr value: 72.9121, tabu list size: 14
it: 14, best value: 72.9121, curr value: 66.5609, tabu list size: 15
it: 15, best value: 72.9121, curr value: 72.9121, tabu list size: 16
it: 16, best value: 72.9121, curr value: 72.3552, tabu list size: 17
it: 17, best value: 72.9121, curr value: 72.7008, tabu list size: 18
it: 18, best value: 72.9121, curr value: 65.8057, tabu list size: 19
it: 19, best value: 72.9121, curr value: 59.7744, tabu list size: 20
it: 20, best value: 72.9121, curr value: 72.7008, tabu list size: 21
it: 21, best value: 72.9121, curr value: 64.7273, tabu list size: 22
it: 22, best value: 72.9121, curr value: 72.7008, tabu list size: 23
it: 23, best value: 72.9121, curr value: 62.2041, tabu list size: 24
it: 24, best value: 72.9121, curr value: 62.2161, tabu list size: 25
it: 25, best value: 72.9121, curr value: 66.6185, tabu list size: 26
it: 26, best value: 72.9121, curr value: 69.5971, tabu list size: 27
it: 27, best value: 72.9121, curr value: 71.2309, tabu list size: 28
it: 28, best value: 72.9121, curr value: 69.5971, tabu list size: 29
it: 29, best value: 72.9121, curr value: 70.0817, tabu list size: 30
it: 30, best value: 72.9121, curr value: 72.6307, tabu list size: 31
it: 31, best value: 72.9121, curr value: 63.0109, tabu list size: 32
it: 32, best value: 85.1454, curr value: 85.1454, tabu list size: 33
it: 33, best value: 85.1454, curr value: 84.0201, tabu list size: 34
it: 34, best value: 85.1454, curr value: 83.138, tabu list size: 35
it: 35, best value: 85.1454, curr value: 84.0201, tabu list size: 36
it: 36, best value: 85.1454, curr value: 82.7216, tabu list size: 37
it: 37, best value: 85.1454, curr value: 82.0254, tabu list size: 38
it: 38, best value: 85.1454, curr value: 83.138, tabu list size: 39
it: 39, best value: 85.1454, curr value: 82.0254, tabu list size: 40
it: 40, best value: 85.1454, curr value: 82.7216, tabu list size: 41
it: 41, best value: 85.1454, curr value: 81.0344, tabu list size: 42
it: 42, best value: 85.1454, curr value: 85.1454, tabu list size: 41
it: 43, best value: 85.1454, curr value: 80.2644, tabu list size: 41
it: 44, best value: 85.1454, curr value: 80.7422, tabu list size: 41
it: 45, best value: 85.1454, curr value: 82.7216, tabu list size: 41
it: 46, best value: 85.1454, curr value: 82.7216, tabu list size: 41
it: 47, best value: 85.1454, curr value: 80.7422, tabu list size: 41
it: 48, best value: 85.1454, curr value: 80.7422, tabu list size: 40
it: 49, best value: 85.1454, curr value: 80.2644, tabu list size: 40
it: 50, best value: 85.1454, curr value: 78.8373, tabu list size: 40
it: 51, best value: 85.1454, curr value: 78.8373, tabu list size: 40
it: 52, best value: 85.1454, curr value: 81.3657, tabu list size: 40
it: 53, best value: 85.1454, curr value: 81.3657, tabu list size: 39
it: 54, best value: 85.1454, curr value: 68.9014, tabu list size: 39
it: 55, best value: 85.1454, curr value: 68.9014, tabu list size: 38
it: 56, best value: 85.1454, curr value: 67.5485, tabu list size: 38
it: 57, best value: 85.1454, curr value: 71.1896, tabu list size: 38
it: 58, best value: 85.1454, curr value: 69.3251, tabu list size: 38
