candles read:
from: 2017-Aug-17 04:00:00
to: 2023-Apr-11 22:10:00
difference: 2063d 18:10:00.000000
count: 2963250
duration: 3.758286
began: 2023-Apr-21 09:17:23
it: 0, best value: 52.7472, curr value: 52.7472, tabu list size: 1
it: 1, best value: 53.3446, curr value: 53.3446, tabu list size: 2
it: 2, best value: 53.3446, curr value: 53.3446, tabu list size: 3
it: 3, best value: 73.926, curr value: 73.926, tabu list size: 4
it: 4, best value: 85.0224, curr value: 85.0224, tabu list size: 5
it: 5, best value: 103.014, curr value: 103.014, tabu list size: 6
it: 6, best value: 138.162, curr value: 138.162, tabu list size: 7
it: 7, best value: 148.769, curr value: 148.769, tabu list size: 8
it: 8, best value: 193.032, curr value: 193.032, tabu list size: 9
it: 9, best value: 258.834, curr value: 258.834, tabu list size: 10
it: 10, best value: 273.973, curr value: 273.973, tabu list size: 11
it: 11, best value: 286.935, curr value: 286.935, tabu list size: 12
it: 12, best value: 286.935, curr value: 286.935, tabu list size: 13
it: 13, best value: 311.306, curr value: 311.306, tabu list size: 14
it: 14, best value: 311.306, curr value: 311.306, tabu list size: 14
it: 15, best value: 314.1, curr value: 314.1, tabu list size: 15
it: 16, best value: 314.1, curr value: 311.306, tabu list size: 16
it: 17, best value: 314.1, curr value: 311.306, tabu list size: 16
it: 18, best value: 314.1, curr value: 311.306, tabu list size: 16
it: 19, best value: 314.1, curr value: 309.017, tabu list size: 17
it: 20, best value: 314.1, curr value: 302.551, tabu list size: 18
it: 21, best value: 314.1, curr value: 291.185, tabu list size: 19
it: 22, best value: 314.1, curr value: 302.551, tabu list size: 20
it: 23, best value: 314.1, curr value: 311.087, tabu list size: 21
it: 24, best value: 314.1, curr value: 312.283, tabu list size: 22
it: 25, best value: 314.1, curr value: 313.438, tabu list size: 23
it: 26, best value: 314.1, curr value: 312.283, tabu list size: 24
it: 27, best value: 314.1, curr value: 312.283, tabu list size: 24
it: 28, best value: 314.1, curr value: 300.667, tabu list size: 25
it: 29, best value: 314.1, curr value: 300.357, tabu list size: 26
it: 30, best value: 316.874, curr value: 316.874, tabu list size: 27
it: 31, best value: 316.874, curr value: 305.814, tabu list size: 28
it: 32, best value: 316.874, curr value: 293.876, tabu list size: 28
it: 33, best value: 316.874, curr value: 305.814, tabu list size: 28
it: 34, best value: 316.874, curr value: 284.992, tabu list size: 28
it: 35, best value: 316.874, curr value: 302.51, tabu list size: 28
it: 36, best value: 316.874, curr value: 302.51, tabu list size: 28
it: 37, best value: 316.874, curr value: 293.49, tabu list size: 28
it: 38, best value: 316.874, curr value: 303.162, tabu list size: 28
it: 39, best value: 316.874, curr value: 248.995, tabu list size: 28
it: 40, best value: 316.874, curr value: 303.162, tabu list size: 28
it: 41, best value: 316.874, curr value: 302.51, tabu list size: 28
it: 42, best value: 316.874, curr value: 245.478, tabu list size: 28
it: 43, best value: 336.318, curr value: 336.318, tabu list size: 28
it: 44, best value: 351.647, curr value: 351.647, tabu list size: 28
it: 45, best value: 351.647, curr value: 351.647, tabu list size: 29
it: 46, best value: 351.647, curr value: 336.318, tabu list size: 30
