candles read:
from: 2018-Jan-04 00:00:00
to: 2022-Oct-29 18:00:00
difference: 1759d 18:00:00.000000
count: 2526055
duration: 3.297972s
it: 0, best fitness: 40.9312, curr fitness: 40.9312, tabu list size: 1
it: 1, best fitness: 52.5636, curr fitness: 52.5636, tabu list size: 2
it: 2, best fitness: 100.103, curr fitness: 100.103, tabu list size: 3
it: 3, best fitness: 150.575, curr fitness: 150.575, tabu list size: 4
it: 4, best fitness: 174.453, curr fitness: 174.453, tabu list size: 5
it: 5, best fitness: 345.087, curr fitness: 345.087, tabu list size: 6
it: 6, best fitness: 548.842, curr fitness: 548.842, tabu list size: 7
it: 7, best fitness: 641.866, curr fitness: 641.866, tabu list size: 8
it: 8, best fitness: 658.003, curr fitness: 658.003, tabu list size: 9
it: 9, best fitness: 667.978, curr fitness: 667.978, tabu list size: 10
it: 10, best fitness: 669.885, curr fitness: 669.885, tabu list size: 11
it: 11, best fitness: 686.477, curr fitness: 686.477, tabu list size: 12
it: 12, best fitness: 701.216, curr fitness: 701.216, tabu list size: 13
it: 13, best fitness: 718.146, curr fitness: 718.146, tabu list size: 14
it: 14, best fitness: 734.425, curr fitness: 734.425, tabu list size: 15
it: 15, best fitness: 765.949, curr fitness: 765.949, tabu list size: 16
it: 16, best fitness: 765.949, curr fitness: 765.949, tabu list size: 17
it: 17, best fitness: 765.949, curr fitness: 755.462, tabu list size: 18
it: 18, best fitness: 765.949, curr fitness: 748.382, tabu list size: 19
it: 19, best fitness: 765.949, curr fitness: 748.382, tabu list size: 20
it: 20, best fitness: 765.949, curr fitness: 747.929, tabu list size: 21
it: 21, best fitness: 765.949, curr fitness: 755.462, tabu list size: 22
it: 22, best fitness: 765.949, curr fitness: 747.929, tabu list size: 23
it: 23, best fitness: 765.949, curr fitness: 747.929, tabu list size: 23
it: 24, best fitness: 765.949, curr fitness: 730.71, tabu list size: 24
it: 25, best fitness: 765.949, curr fitness: 748.382, tabu list size: 25
it: 26, best fitness: 765.949, curr fitness: 737.992, tabu list size: 26
it: 27, best fitness: 765.949, curr fitness: 726.325, tabu list size: 27
it: 28, best fitness: 765.949, curr fitness: 722.477, tabu list size: 28
it: 29, best fitness: 765.949, curr fitness: 717.451, tabu list size: 29
it: 30, best fitness: 765.949, curr fitness: 717.451, tabu list size: 30
it: 31, best fitness: 765.949, curr fitness: 723.876, tabu list size: 31
it: 32, best fitness: 765.949, curr fitness: 717.451, tabu list size: 32
it: 33, best fitness: 765.949, curr fitness: 717.451, tabu list size: 33
it: 34, best fitness: 765.949, curr fitness: 726.325, tabu list size: 33
it: 35, best fitness: 765.949, curr fitness: 720.583, tabu list size: 34
it: 36, best fitness: 765.949, curr fitness: 711.798, tabu list size: 35
it: 37, best fitness: 765.949, curr fitness: 711.798, tabu list size: 36
it: 38, best fitness: 765.949, curr fitness: 711.798, tabu list size: 37
it: 39, best fitness: 765.949, curr fitness: 711.798, tabu list size: 38
it: 40, best fitness: 765.949, curr fitness: 711.798, tabu list size: 39
it: 41, best fitness: 765.949, curr fitness: 711.798, tabu list size: 39
it: 42, best fitness: 765.949, curr fitness: 711.798, tabu list size: 40
it: 43, best fitness: 765.949, curr fitness: 711.798, tabu list size: 40
it: 44, best fitness: 765.949, curr fitness: 711.798, tabu list size: 41
it: 45, best fitness: 765.949, curr fitness: 711.798, tabu list size: 42
it: 46, best fitness: 765.949, curr fitness: 711.798, tabu list size: 43
it: 47, best fitness: 765.949, curr fitness: 711.798, tabu list size: 43
it: 48, best fitness: 765.949, curr fitness: 717.451, tabu list size: 42
it: 49, best fitness: 765.949, curr fitness: 717.451, tabu list size: 42
it: 50, best fitness: 765.949, curr fitness: 728.423, tabu list size: 42
it: 51, best fitness: 765.949, curr fitness: 717.451, tabu list size: 42
it: 52, best fitness: 765.949, curr fitness: 744.954, tabu list size: 42
it: 53, best fitness: 765.949, curr fitness: 734.425, tabu list size: 43
it: 54, best fitness: 765.949, curr fitness: 718.243, tabu list size: 44
it: 55, best fitness: 765.949, curr fitness: 744.954, tabu list size: 45
it: 56, best fitness: 765.949, curr fitness: 728.533, tabu list size: 46
it: 57, best fitness: 765.949, curr fitness: 744.954, tabu list size: 47
it: 58, best fitness: 765.949, curr fitness: 727.98, tabu list size: 47
it: 59, best fitness: 765.949, curr fitness: 727.98, tabu list size: 47
it: 60, best fitness: 765.949, curr fitness: 737.544, tabu list size: 47
it: 61, best fitness: 765.949, curr fitness: 722.659, tabu list size: 47
it: 62, best fitness: 765.949, curr fitness: 727.98, tabu list size: 47
it: 63, best fitness: 765.949, curr fitness: 744.954, tabu list size: 47
it: 64, best fitness: 765.949, curr fitness: 737.544, tabu list size: 47
it: 65, best fitness: 765.949, curr fitness: 737.992, tabu list size: 47
it: 66, best fitness: 765.949, curr fitness: 720.597, tabu list size: 48
it: 67, best fitness: 765.949, curr fitness: 748.382, tabu list size: 49
it: 68, best fitness: 765.949, curr fitness: 732.656, tabu list size: 49
it: 69, best fitness: 765.949, curr fitness: 736.554, tabu list size: 49
it: 70, best fitness: 765.949, curr fitness: 727.567, tabu list size: 49
it: 71, best fitness: 765.949, curr fitness: 734.074, tabu list size: 49
it: 72, best fitness: 765.949, curr fitness: 734.074, tabu list size: 49
it: 73, best fitness: 765.949, curr fitness: 734.074, tabu list size: 49
it: 74, best fitness: 765.949, curr fitness: 732.656, tabu list size: 48
it: 75, best fitness: 765.949, curr fitness: 727.567, tabu list size: 49
it: 76, best fitness: 765.949, curr fitness: 727.567, tabu list size: 49
it: 77, best fitness: 765.949, curr fitness: 727.567, tabu list size: 49
it: 78, best fitness: 765.949, curr fitness: 727.567, tabu list size: 49
it: 79, best fitness: 765.949, curr fitness: 727.567, tabu list size: 49
it: 80, best fitness: 765.949, curr fitness: 727.567, tabu list size: 49
it: 81, best fitness: 765.949, curr fitness: 710.389, tabu list size: 50
it: 82, best fitness: 765.949, curr fitness: 737.659, tabu list size: 51
it: 83, best fitness: 765.949, curr fitness: 737.659, tabu list size: 51
it: 84, best fitness: 765.949, curr fitness: 737.659, tabu list size: 51
it: 85, best fitness: 765.949, curr fitness: 737.659, tabu list size: 51
it: 86, best fitness: 765.949, curr fitness: 722.216, tabu list size: 51
it: 87, best fitness: 765.949, curr fitness: 748.91, tabu list size: 51
it: 88, best fitness: 765.949, curr fitness: 742.942, tabu list size: 51
it: 89, best fitness: 765.949, curr fitness: 758.749, tabu list size: 51
it: 90, best fitness: 765.949, curr fitness: 741.726, tabu list size: 51
it: 91, best fitness: 765.949, curr fitness: 722.851, tabu list size: 52
it: 92, best fitness: 765.949, curr fitness: 758.288, tabu list size: 52
it: 93, best fitness: 765.949, curr fitness: 758.288, tabu list size: 52
it: 94, best fitness: 765.949, curr fitness: 737.237, tabu list size: 52
it: 95, best fitness: 765.949, curr fitness: 748.456, tabu list size: 52
it: 96, best fitness: 765.949, curr fitness: 737.237, tabu list size: 52
it: 97, best fitness: 765.949, curr fitness: 737.237, tabu list size: 52
it: 98, best fitness: 765.949, curr fitness: 737.237, tabu list size: 52
it: 99, best fitness: 765.949, curr fitness: 737.237, tabu list size: 52
duration: 5:33.641606
