best fitness,curr fitness,tabu list size
40.931221,40.931221,1
52.563614,52.563614,2
100.102852,100.102852,3
150.574524,150.574524,4
174.452560,174.452560,5
345.086731,345.086731,6
548.841553,548.841553,7
641.865723,641.865723,8
658.002625,658.002625,9
667.978210,667.978210,10
669.885254,669.885254,11
686.476929,686.476929,12
701.215942,701.215942,13
718.146118,718.146118,14
734.425171,734.425171,15
765.948914,765.948914,16
765.948914,765.948914,17
765.948914,755.462341,18
765.948914,748.382080,19
765.948914,748.382080,20
765.948914,747.928589,21
765.948914,755.462341,22
765.948914,747.928589,23
765.948914,747.928589,23
765.948914,730.709717,24
765.948914,748.382080,25
765.948914,737.991943,26
765.948914,726.325012,27
765.948914,722.476807,28
765.948914,717.450928,29
765.948914,717.450928,30
765.948914,723.875793,31
765.948914,717.450928,32
765.948914,717.450928,33
765.948914,726.325012,33
765.948914,720.582764,34
765.948914,711.798340,35
765.948914,711.798340,36
765.948914,711.798340,37
765.948914,711.798340,38
765.948914,711.798340,39
765.948914,711.798340,39
765.948914,711.798340,40
765.948914,711.798340,40
765.948914,711.798340,41
765.948914,711.798340,42
765.948914,711.798340,43
765.948914,711.798340,43
765.948914,717.450928,42
765.948914,717.450928,42
765.948914,728.422668,42
765.948914,717.450928,42
765.948914,744.953918,42
765.948914,734.425171,43
765.948914,718.243469,44
765.948914,744.953918,45
765.948914,728.533203,46
765.948914,744.953918,47
765.948914,727.980164,47
765.948914,727.980164,47
765.948914,737.544067,47
765.948914,722.658630,47
765.948914,727.980164,47
765.948914,744.953918,47
765.948914,737.544067,47
765.948914,737.991943,47
765.948914,720.596680,48
765.948914,748.382080,49
765.948914,732.656494,49
765.948914,736.554199,49
765.948914,727.566895,49
765.948914,734.073608,49
765.948914,734.073608,49
765.948914,734.073608,49
765.948914,732.656494,48
765.948914,727.566895,49
765.948914,727.566895,49
765.948914,727.566895,49
765.948914,727.566895,49
765.948914,727.566895,49
765.948914,727.566895,49
765.948914,710.389404,50
765.948914,737.659058,51
765.948914,737.659058,51
765.948914,737.659058,51
765.948914,737.659058,51
765.948914,722.215576,51
765.948914,748.910095,51
765.948914,742.941956,51
765.948914,758.748657,51
765.948914,741.725525,51
765.948914,722.851257,52
765.948914,758.288330,52
765.948914,758.288330,52
765.948914,737.236816,52
765.948914,748.455811,52
765.948914,737.236816,52
765.948914,737.236816,52
765.948914,737.236816,52
765.948914,737.236816,52
