candles read:
from: 2018-Jan-04 00:00:00
to: 2022-Oct-29 18:00:00
difference: 1759d 18:00:00.000000
count: 2524282
duration: 5.778586s
it: 0, best fitness: 1.49303, curr fitness: 1.49303, tabu list size: 1
it: 1, best fitness: 7.00472, curr fitness: 7.00472, tabu list size: 2
it: 2, best fitness: 114.463, curr fitness: 114.463, tabu list size: 3
it: 3, best fitness: 191.13, curr fitness: 191.13, tabu list size: 4
it: 4, best fitness: 212.333, curr fitness: 212.333, tabu list size: 5
it: 5, best fitness: 216.6, curr fitness: 216.6, tabu list size: 6
it: 6, best fitness: 231.59, curr fitness: 231.59, tabu list size: 7
it: 7, best fitness: 426.681, curr fitness: 426.681, tabu list size: 8
it: 8, best fitness: 432.288, curr fitness: 432.288, tabu list size: 9
it: 9, best fitness: 475.12, curr fitness: 475.12, tabu list size: 10
it: 10, best fitness: 1051.9, curr fitness: 1051.9, tabu list size: 11
it: 11, best fitness: 1051.9, curr fitness: 1051.9, tabu list size: 12
it: 12, best fitness: 1186.83, curr fitness: 1186.83, tabu list size: 13
it: 13, best fitness: 1186.83, curr fitness: 1186.83, tabu list size: 14
it: 14, best fitness: 1192.76, curr fitness: 1192.76, tabu list size: 15
it: 15, best fitness: 1192.76, curr fitness: 1192.76, tabu list size: 15
it: 16, best fitness: 1192.76, curr fitness: 1186.83, tabu list size: 16
it: 17, best fitness: 1192.76, curr fitness: 1186.83, tabu list size: 17
it: 18, best fitness: 1210.01, curr fitness: 1210.01, tabu list size: 18
it: 19, best fitness: 1210.01, curr fitness: 1210.01, tabu list size: 19
it: 20, best fitness: 1216.07, curr fitness: 1216.07, tabu list size: 20
it: 21, best fitness: 1216.07, curr fitness: 1203.28, tabu list size: 21
it: 22, best fitness: 1216.07, curr fitness: 1203.93, tabu list size: 22
it: 23, best fitness: 1216.07, curr fitness: 1197.93, tabu list size: 23
it: 24, best fitness: 1223.24, curr fitness: 1223.24, tabu list size: 24
it: 25, best fitness: 1223.24, curr fitness: 1212, tabu list size: 25
it: 26, best fitness: 1223.24, curr fitness: 1202.58, tabu list size: 25
it: 27, best fitness: 1223.24, curr fitness: 1202.58, tabu list size: 25
it: 28, best fitness: 1223.24, curr fitness: 1202.58, tabu list size: 25
it: 29, best fitness: 1235.59, curr fitness: 1235.59, tabu list size: 25
it: 30, best fitness: 1235.59, curr fitness: 1210.01, tabu list size: 25
it: 31, best fitness: 1235.59, curr fitness: 1177.56, tabu list size: 25
it: 32, best fitness: 1235.59, curr fitness: 1177.56, tabu list size: 25
it: 33, best fitness: 1235.59, curr fitness: 1183.49, tabu list size: 25
it: 34, best fitness: 1235.59, curr fitness: 1194.62, tabu list size: 25
it: 35, best fitness: 1235.59, curr fitness: 1194.62, tabu list size: 25
it: 36, best fitness: 1235.59, curr fitness: 1188.62, tabu list size: 25
it: 37, best fitness: 1235.59, curr fitness: 1213.78, tabu list size: 25
it: 38, best fitness: 1235.59, curr fitness: 1213.78, tabu list size: 25
it: 39, best fitness: 1235.59, curr fitness: 1213.78, tabu list size: 25
it: 40, best fitness: 1235.59, curr fitness: 1213.78, tabu list size: 25
it: 41, best fitness: 1235.59, curr fitness: 1194.62, tabu list size: 25
it: 42, best fitness: 1235.59, curr fitness: 1194.62, tabu list size: 25
it: 43, best fitness: 1235.59, curr fitness: 1188.62, tabu list size: 25
it: 44, best fitness: 1235.59, curr fitness: 1188.62, tabu list size: 25
it: 45, best fitness: 1235.59, curr fitness: 1188.62, tabu list size: 25
it: 46, best fitness: 1235.59, curr fitness: 1188.62, tabu list size: 25
it: 47, best fitness: 1235.59, curr fitness: 1210.01, tabu list size: 25
it: 48, best fitness: 1235.59, curr fitness: 1210.01, tabu list size: 25
it: 49, best fitness: 1235.59, curr fitness: 1197.93, tabu list size: 25
it: 50, best fitness: 1235.59, curr fitness: 1197.93, tabu list size: 25
it: 51, best fitness: 1235.59, curr fitness: 1188.62, tabu list size: 25
it: 52, best fitness: 1235.59, curr fitness: 1188.62, tabu list size: 25
it: 53, best fitness: 1235.59, curr fitness: 1188.62, tabu list size: 25
it: 54, best fitness: 1235.59, curr fitness: 1188.62, tabu list size: 25
it: 55, best fitness: 1235.59, curr fitness: 1210.01, tabu list size: 25
it: 56, best fitness: 1235.59, curr fitness: 1197.27, tabu list size: 25
it: 57, best fitness: 1235.59, curr fitness: 1197.27, tabu list size: 25
it: 58, best fitness: 1235.59, curr fitness: 1194.62, tabu list size: 25
it: 59, best fitness: 1235.59, curr fitness: 1188.62, tabu list size: 25
it: 60, best fitness: 1235.59, curr fitness: 1188.62, tabu list size: 25
it: 61, best fitness: 1235.59, curr fitness: 1156.73, tabu list size: 25
it: 62, best fitness: 1235.59, curr fitness: 1156.73, tabu list size: 25
it: 63, best fitness: 1235.59, curr fitness: 1181.33, tabu list size: 25
it: 64, best fitness: 1235.59, curr fitness: 1213.78, tabu list size: 25
it: 65, best fitness: 1235.59, curr fitness: 1219.87, tabu list size: 25
it: 66, best fitness: 1235.59, curr fitness: 1213.78, tabu list size: 25
it: 67, best fitness: 1235.59, curr fitness: 1213.78, tabu list size: 25
it: 68, best fitness: 1235.59, curr fitness: 1213.78, tabu list size: 25
it: 69, best fitness: 1235.59, curr fitness: 1223.24, tabu list size: 25
it: 70, best fitness: 1235.59, curr fitness: 1213.78, tabu list size: 25
it: 71, best fitness: 1235.59, curr fitness: 1181.33, tabu list size: 25
it: 72, best fitness: 1235.59, curr fitness: 1181.33, tabu list size: 25
it: 73, best fitness: 1235.59, curr fitness: 1181.33, tabu list size: 25
it: 74, best fitness: 1235.59, curr fitness: 1202.58, tabu list size: 25
it: 75, best fitness: 1235.59, curr fitness: 902.123, tabu list size: 26
