best fitness,curr fitness,tabu list size
9.023486,9.023486,1
15.672988,15.672988,2
49.779305,49.779305,3
110.600388,110.600388,4
139.436951,139.436951,5
148.209763,148.209763,6
164.698746,164.698746,7
197.328262,197.328262,8
209.872803,209.872803,9
211.990768,211.990768,10
237.406921,237.406921,11
295.537018,295.537018,12
333.024109,333.024109,13
485.954559,485.954559,14
552.274475,552.274475,15
593.651917,593.651917,16
608.854614,608.854614,17
615.267029,615.267029,18
615.267029,615.267029,19
651.842773,651.842773,20
651.842773,645.854065,21
656.368103,656.368103,22
735.807800,735.807800,23
744.772583,744.772583,24
770.523193,770.523193,25
770.523193,770.523193,26
791.858582,791.858582,27
791.858582,787.682739,28
791.858582,770.557800,29
791.858582,761.814392,30
791.858582,768.456787,30
791.858582,774.584717,30
791.858582,766.484375,31
791.858582,771.586365,31
791.858582,771.586365,31
791.858582,756.504395,31
791.858582,761.098022,31
791.858582,758.828674,31
791.858582,754.816772,32
791.858582,726.214722,32
791.858582,730.735535,32
791.858582,759.489319,32
791.858582,781.653198,32
791.858582,781.653198,33
791.858582,781.653198,34
791.858582,779.410095,34
791.858582,751.959778,35
791.858582,764.838623,35
791.858582,764.838623,35
791.858582,764.838623,35
791.858582,751.959778,35
791.858582,751.959778,35
791.858582,767.053772,35
791.858582,752.889038,35
791.858582,752.889038,35
791.858582,767.053772,35
791.858582,767.053772,35
791.858582,774.009460,35
791.858582,767.053772,35
791.858582,772.684021,35
791.858582,780.623230,35
791.858582,764.838623,36
791.858582,764.838623,36
791.858582,764.838623,35
791.858582,764.838623,35
791.858582,768.916565,35
791.858582,768.916565,35
791.858582,764.838623,35
791.858582,751.959778,35
791.858582,764.838623,35
791.858582,764.838623,35
791.858582,735.936157,35
791.858582,748.550293,35
791.858582,764.838623,34
791.858582,764.838623,34
791.858582,764.838623,34
791.858582,751.959778,34
791.858582,751.959778,34
791.858582,669.187622,34
791.858582,710.776672,34
791.858582,714.573608,34
791.858582,767.053772,34
791.858582,751.959778,34
791.858582,767.053772,34
791.858582,767.053772,34
791.858582,757.780273,34
791.858582,767.219177,34
791.858582,777.067627,34
791.858582,770.961792,34
791.858582,779.302917,34
791.858582,783.745544,34
791.858582,783.745544,34
791.858582,777.012817,34
791.858582,774.676270,34
791.858582,774.676270,33
791.858582,762.508667,33
791.858582,768.379578,33
791.858582,766.563049,33
791.858582,761.810242,33
791.858582,758.815552,33
791.858582,759.617798,33
791.858582,762.446960,33
791.858582,771.168457,33
791.858582,764.643372,33
791.858582,749.652039,33
791.858582,742.895996,33
791.858582,769.979553,33
791.858582,769.979553,33
791.858582,763.857605,33
791.858582,769.979553,33
791.858582,725.432678,33
791.858582,731.053589,33
791.858582,740.141724,33
791.858582,775.902222,33
791.858582,769.979553,33
791.858582,784.101257,33
791.858582,779.985779,33
791.858582,765.956665,33
791.858582,771.849426,33
791.858582,765.956665,33
791.858582,765.956665,33
791.858582,765.956665,33
791.858582,761.702393,33
791.858582,761.702393,33
791.858582,775.106506,33
791.858582,775.106506,33
791.858582,757.074219,33
791.858582,765.537109,33
791.858582,780.771973,33
791.858582,780.771973,34
795.170410,795.170410,34
795.170410,795.170410,34
795.170410,795.170410,33
797.253479,797.253479,34
797.253479,782.580444,34
797.253479,797.253479,34
797.253479,795.170410,34
797.253479,782.580444,35
797.253479,795.170410,35
797.253479,795.170410,34
797.253479,780.771973,34
797.253479,774.358765,34
797.253479,782.792603,34
797.253479,792.617676,34
797.253479,792.617676,33
797.253479,782.824829,33
797.253479,758.872620,33
797.253479,754.813721,33
797.253479,754.813721,33
797.253479,724.936707,34
797.253479,747.784546,34
797.253479,752.564880,34
797.253479,747.109558,34
797.253479,744.308655,34
797.253479,763.034424,34
797.253479,758.938477,34
797.253479,761.420837,34
797.253479,761.420837,34
797.253479,761.420837,34
797.253479,761.420837,34
797.253479,663.568726,35
797.253479,638.804993,36
797.253479,732.677917,36
797.253479,722.917664,36
797.253479,712.499023,36
797.253479,712.499023,36
797.253479,738.311890,36
797.253479,761.702393,36
797.253479,766.252380,37
797.253479,766.252380,37
797.253479,763.857605,37
797.253479,767.996521,37
797.253479,769.979553,37
797.253479,759.836914,37
797.253479,757.193726,37
797.253479,761.207947,37
797.253479,764.032776,37
797.253479,764.032776,37
797.253479,757.193726,37
797.253479,730.595398,37
797.253479,743.064575,37
797.253479,656.031494,38
797.253479,662.988037,38
797.253479,657.767029,38
797.253479,652.672485,38
797.253479,652.672485,38
797.253479,655.209045,38
797.253479,655.209045,38
797.253479,676.673828,38
797.253479,686.622375,38
797.253479,688.202393,38
797.253479,688.202393,38
797.253479,672.960571,38
797.253479,672.960571,37
797.253479,661.357910,37
797.253479,707.288574,37
797.253479,787.119446,37
797.253479,772.787964,37
797.253479,748.854309,37
797.253479,748.854309,37
797.253479,773.629578,37
797.253479,783.742798,37
797.253479,747.703857,37
797.253479,761.638855,37
797.253479,777.456238,37
797.253479,750.892578,37
797.253479,753.998291,37
797.253479,754.862122,37
797.253479,760.345825,37
797.253479,756.375610,37
797.253479,756.375610,37
797.253479,756.375610,37
797.253479,760.345825,37
797.253479,756.375610,37
797.253479,750.892578,37
797.253479,755.257080,37
797.253479,771.045166,37
797.253479,771.045166,37
797.253479,771.045166,37
797.253479,771.045166,37
797.253479,771.045166,37
798.106079,798.106079,37
798.106079,781.861389,37
798.106079,783.794373,37
798.106079,779.586975,37
798.106079,760.769775,37
798.106079,778.780701,37
798.106079,778.780701,37
798.106079,785.596802,37
798.106079,774.975525,37
798.106079,774.975525,37
798.106079,768.406372,38
798.106079,765.602417,38
798.106079,761.638855,38
798.106079,773.809570,38
798.106079,789.918274,38
798.106079,783.841919,38
798.106079,787.627258,38
798.106079,766.614868,38
798.106079,768.854919,38
806.953064,806.953064,38
806.953064,790.739624,38
806.953064,794.786560,37
806.953064,789.617371,37
806.953064,767.022949,37
806.953064,794.786560,37
806.953064,764.106262,37
806.953064,760.013428,37
806.953064,733.699036,37
806.953064,739.180969,37
806.953064,739.180969,37
806.953064,754.872375,37
806.953064,774.480591,37
806.953064,738.795532,38
806.953064,733.113220,38
806.953064,740.784729,38
806.953064,745.082520,38
806.953064,729.652039,38
806.953064,733.735413,38
806.953064,758.578918,38
806.953064,733.735413,38
806.953064,745.324158,38
806.953064,745.324158,38
806.953064,736.541321,38
806.953064,729.652039,38
806.953064,745.082520,38
806.953064,761.946716,39
806.953064,755.213074,39
806.953064,755.213074,39
806.953064,744.704590,39
806.953064,745.395325,39
806.953064,738.390015,39
806.953064,738.390015,39
806.953064,751.136414,39
806.953064,751.136414,39
806.953064,735.541016,39
806.953064,722.999756,39
806.953064,722.999756,39
806.953064,722.999756,39
806.953064,729.205627,39
806.953064,744.940247,39
806.953064,763.726562,39
806.953064,747.657776,39
806.953064,751.861084,39
806.953064,747.657776,39
806.953064,739.460327,39
806.953064,739.460327,39
806.953064,713.418823,39
806.953064,719.206116,39
806.953064,743.846924,39
806.953064,743.846924,39
806.953064,748.760376,39
806.953064,748.760376,39
806.953064,748.760376,39
806.953064,758.016113,39
806.953064,740.158875,39
806.953064,740.158875,38
806.953064,740.158875,37
806.953064,733.273499,37
806.953064,733.273499,37
806.953064,733.273499,37
806.953064,748.716553,37
806.953064,779.881714,37
806.953064,780.729431,37
806.953064,768.072083,37
806.953064,774.762817,37
806.953064,771.698120,37
806.953064,780.753723,37
806.953064,780.753723,37
806.953064,793.418335,37
807.777893,807.777893,37
807.777893,791.580017,37
807.777893,765.007202,37
807.777893,780.753723,37
807.777893,764.879211,37
807.777893,781.437378,37
807.777893,767.917786,37
807.777893,783.866882,37
807.777893,727.830261,37
807.777893,739.874756,37
807.777893,755.467957,37
807.777893,767.917786,37
807.777893,764.879211,37
807.777893,764.879211,37
807.777893,768.764709,37
807.777893,777.256714,36
807.777893,773.998291,36
807.777893,773.998291,36
807.777893,773.998291,36
807.777893,746.320129,36
807.777893,746.320129,36
807.777893,773.990417,36
807.777893,774.467896,36
807.777893,794.048645,36
807.777893,805.062622,36
807.777893,799.452515,36
807.777893,786.742920,36
807.777893,786.742920,36
807.777893,786.742920,36
807.777893,742.357788,36
807.777893,745.222473,36
807.777893,765.337280,36
807.777893,765.337280,36
807.777893,765.337280,35
807.777893,768.376709,35
807.777893,768.376709,34
807.777893,765.337280,34
807.777893,781.913025,34
807.777893,765.374756,35
807.777893,740.722107,35
807.777893,740.722107,35
807.777893,740.722107,34
807.777893,758.956482,34
807.777893,758.956482,33
807.777893,765.518677,33
807.777893,758.956482,33
807.777893,758.956482,33
807.777893,504.715363,33
807.777893,706.172119,34
825.457825,825.457825,35
825.457825,825.457825,35
825.457825,813.141968,35
826.635986,826.635986,36
829.412659,829.412659,37
869.670410,869.670410,37
878.276184,878.276184,37
878.276184,869.670410,37
878.276184,869.670410,37
888.946716,888.946716,38
888.946716,888.946716,38
894.307007,894.307007,38
912.718018,912.718018,38
912.718018,907.468811,38
929.499207,929.499207,38
935.461914,935.461914,38
944.669495,944.669495,38
944.669495,944.669495,39
944.669495,931.296204,39
944.669495,924.024475,40
944.669495,944.669495,40
944.669495,944.125305,40
945.025208,945.025208,40
945.025208,943.393616,40
955.266418,955.266418,40
955.266418,946.608093,40
