candles read:
from: 2018-Jan-04 00:00:00
to: 2022-Oct-29 18:00:00
difference: 1759d 18:00:00.000000
count: 2524282
duration: 3.589694s
it: 0, best fitness: 13.4873, curr fitness: 13.4873, tabu list size: 1
it: 1, best fitness: 53.7474, curr fitness: 53.7474, tabu list size: 2
it: 2, best fitness: 57.3784, curr fitness: 57.3784, tabu list size: 3
it: 3, best fitness: 64.8054, curr fitness: 64.8054, tabu list size: 4
it: 4, best fitness: 89.7569, curr fitness: 89.7569, tabu list size: 5
it: 5, best fitness: 178.798, curr fitness: 178.798, tabu list size: 6
it: 6, best fitness: 267.658, curr fitness: 267.658, tabu list size: 7
it: 7, best fitness: 276.353, curr fitness: 276.353, tabu list size: 8
it: 8, best fitness: 340.317, curr fitness: 340.317, tabu list size: 9
it: 9, best fitness: 408.806, curr fitness: 408.806, tabu list size: 10
it: 10, best fitness: 408.806, curr fitness: 408.806, tabu list size: 11
it: 11, best fitness: 496.366, curr fitness: 496.366, tabu list size: 12
it: 12, best fitness: 829.765, curr fitness: 829.765, tabu list size: 13
it: 13, best fitness: 870.466, curr fitness: 870.466, tabu list size: 14
it: 14, best fitness: 892.702, curr fitness: 892.702, tabu list size: 15
it: 15, best fitness: 904.943, curr fitness: 904.943, tabu list size: 16
it: 16, best fitness: 904.943, curr fitness: 902.164, tabu list size: 17
it: 17, best fitness: 1037.95, curr fitness: 1037.95, tabu list size: 18
it: 18, best fitness: 1041.15, curr fitness: 1041.15, tabu list size: 19
it: 19, best fitness: 1067.36, curr fitness: 1067.36, tabu list size: 20
it: 20, best fitness: 1067.36, curr fitness: 1067.36, tabu list size: 20
it: 21, best fitness: 1067.36, curr fitness: 1067.36, tabu list size: 20
it: 22, best fitness: 1067.36, curr fitness: 1067.36, tabu list size: 21
it: 23, best fitness: 1067.36, curr fitness: 1052.96, tabu list size: 22
it: 24, best fitness: 1067.36, curr fitness: 1052.96, tabu list size: 23
it: 25, best fitness: 1102.2, curr fitness: 1102.2, tabu list size: 24
it: 26, best fitness: 1102.2, curr fitness: 1102.2, tabu list size: 25
it: 27, best fitness: 1102.2, curr fitness: 1102.2, tabu list size: 26
it: 28, best fitness: 1102.2, curr fitness: 1102.2, tabu list size: 27
it: 29, best fitness: 1102.2, curr fitness: 1102.2, tabu list size: 27
it: 30, best fitness: 1102.2, curr fitness: 1102.2, tabu list size: 28
it: 31, best fitness: 1102.2, curr fitness: 1083.98, tabu list size: 29
it: 32, best fitness: 1102.2, curr fitness: 1102.2, tabu list size: 30
it: 33, best fitness: 1102.2, curr fitness: 1083.98, tabu list size: 31
it: 34, best fitness: 1102.2, curr fitness: 1083.98, tabu list size: 32
it: 35, best fitness: 1102.2, curr fitness: 1083.98, tabu list size: 33
it: 36, best fitness: 1102.2, curr fitness: 1102.2, tabu list size: 34
it: 37, best fitness: 1102.2, curr fitness: 1083.98, tabu list size: 34
it: 38, best fitness: 1102.2, curr fitness: 1083.98, tabu list size: 34
it: 39, best fitness: 1102.2, curr fitness: 1083.98, tabu list size: 34
it: 40, best fitness: 1102.2, curr fitness: 1083.98, tabu list size: 34
it: 41, best fitness: 1102.2, curr fitness: 1098.86, tabu list size: 34
it: 42, best fitness: 1102.2, curr fitness: 1098.86, tabu list size: 34
it: 43, best fitness: 1102.2, curr fitness: 1098.86, tabu list size: 34
it: 44, best fitness: 1102.2, curr fitness: 1083.98, tabu list size: 34
it: 45, best fitness: 1102.2, curr fitness: 1102.2, tabu list size: 34
it: 46, best fitness: 1102.2, curr fitness: 1102.2, tabu list size: 34
it: 47, best fitness: 1102.2, curr fitness: 1102.2, tabu list size: 34
it: 48, best fitness: 1102.2, curr fitness: 1075.2, tabu list size: 35
it: 49, best fitness: 1153.19, curr fitness: 1153.19, tabu list size: 36
it: 50, best fitness: 1153.19, curr fitness: 1134.13, tabu list size: 36
it: 51, best fitness: 1153.19, curr fitness: 1134.13, tabu list size: 36
