best fitness,curr fitness,tabu list size
13.487334,13.487334,1
53.747383,53.747383,2
57.378361,57.378361,3
64.805351,64.805351,4
89.756927,89.756927,5
178.798050,178.798050,6
267.657654,267.657654,7
276.353485,276.353485,8
340.316986,340.316986,9
408.805695,408.805695,10
408.805695,408.805695,11
496.366364,496.366364,12
829.765442,829.765442,13
870.466370,870.466370,14
892.702209,892.702209,15
904.942993,904.942993,16
904.942993,902.163574,17
1037.950439,1037.950439,18
1041.145264,1041.145264,19
1067.356445,1067.356445,20
1067.356445,1067.356445,20
1067.356445,1067.356445,20
1067.356445,1067.356445,21
1067.356445,1052.961914,22
1067.356445,1052.961914,23
1102.202515,1102.202515,24
1102.202515,1102.202515,25
1102.202515,1102.202515,26
1102.202515,1102.202515,27
1102.202515,1102.202515,27
1102.202515,1102.202515,28
1102.202515,1083.976562,29
1102.202515,1102.202515,30
1102.202515,1083.976562,31
1102.202515,1083.976562,32
1102.202515,1083.976562,33
1102.202515,1102.202515,34
1102.202515,1083.976562,34
1102.202515,1083.976562,34
1102.202515,1083.976562,34
1102.202515,1083.976562,34
1102.202515,1098.858398,34
1102.202515,1098.858398,34
1102.202515,1098.858398,34
1102.202515,1083.976562,34
1102.202515,1102.202515,34
1102.202515,1102.202515,34
1102.202515,1102.202515,34
1102.202515,1075.197754,35
1153.185669,1153.185669,36
1153.185669,1134.130493,36
1153.185669,1134.130493,36
1153.185669,1134.130493,36
1153.185669,1134.130493,36
1153.185669,1153.185669,36
1153.185669,1134.130493,36
1153.185669,1153.185669,36
1153.185669,1134.130493,36
1153.185669,1149.686646,36
1153.185669,1149.686646,36
1153.185669,1149.686646,36
1153.185669,1134.130493,36
1153.185669,1134.130493,35
1153.185669,1088.051758,35
1153.185669,1134.130493,35
1153.185669,1134.130493,35
1153.185669,1134.130493,35
1153.185669,1134.130493,34
1153.185669,1149.686646,34
1153.185669,884.145874,35
1153.185669,884.145874,35
1153.185669,870.720825,35
1153.185669,889.846008,35
1153.185669,889.846008,35
1153.185669,870.720825,35
1153.185669,870.720825,35
1153.185669,870.720825,35
1153.185669,742.831665,35
1153.185669,793.218445,35
1153.185669,817.508484,35
1153.185669,830.831665,36
1153.185669,830.831665,36
1153.185669,830.831665,36
1153.185669,843.382202,36
1153.185669,1041.145264,36
1153.185669,1067.356445,35
1153.185669,1052.961914,34
1153.185669,1052.961914,34
1153.185669,1052.961914,34
1153.185669,1052.961914,34
1153.185669,1052.961914,34
1153.185669,1052.961914,34
1153.185669,1035.531250,34
1153.185669,1035.531250,34
1153.185669,1035.531250,34
1153.185669,1035.531250,33
1153.185669,1052.961914,33
1153.185669,1001.681519,33
1153.185669,1001.681519,33
1153.185669,1015.318726,32
1153.185669,1009.036194,32
1153.185669,1015.318726,32
1153.185669,1041.145264,31
1153.185669,1027.133179,31
1153.185669,1027.133179,31
1153.185669,1027.133179,31
1153.185669,1001.681519,30
1153.185669,1001.681519,31
1153.185669,928.853882,31
1153.185669,928.853882,31
1153.185669,952.627686,31
1153.185669,1035.531250,31
1153.185669,1049.765503,31
1153.185669,1049.765503,31
1153.185669,1035.531250,31
1153.185669,1035.531250,31
1153.185669,1035.531250,31
1153.185669,1035.531250,31
1153.185669,1035.531250,32
1153.185669,1035.531250,32
1153.185669,1052.961914,32
1153.185669,1035.531250,33
1153.185669,1035.531250,33
1153.185669,1035.531250,33
1153.185669,1035.531250,33
1153.185669,1035.531250,33
1153.185669,1035.531250,33
1153.185669,1035.531250,33
1153.185669,1035.531250,33
1153.185669,1035.531250,33
1153.185669,1035.531250,33
1153.185669,1052.961914,33
1153.185669,1052.961914,33
1153.185669,1052.961914,33
1153.185669,1067.356445,33
1153.185669,1067.356445,33
1153.185669,1049.765503,33
1153.185669,1035.531250,33
1153.185669,1049.765503,33
1153.185669,1035.531250,33
1153.185669,1035.531250,33
1153.185669,1035.531250,33
